species,Lon,Lat,Temp,Sal,Status
Acartia tonsa,17.62533,58.8031699991648,6.720625,6.68803,PNIS
Acartia tonsa,12.11667,56.6666699991345,8.986888,34.545261,PNIS
Acartia tonsa,11.43333,58.2583299991566,9.791713,31.960474,PNIS
Acartia tonsa,143.28784,-38.91923,14.830025,35.370094,PNIS
Acartia tonsa,147.85005,-38.81186,16.177001,35.457981,PNIS
Acartia tonsa,145.44375,-38.89985,15.019365,35.327961,PNIS
Acartia tonsa,145.82722,-39.04723,14.894843,35.33717,PNIS
Acartia tonsa,130.40015,-37.31649,0.47259,34.707977,PNIS
Acartia tonsa,-77.454748,6.272983,26.47612,33.180351,PNIS
Acartia tonsa,-77.437461,6.272063,26.47612,33.180351,PNIS
Acartia tonsa,-77.412097,6.231994,27.380873,31.263142,PNIS
Acartia tonsa,-77.460554,6.297746,26.47612,33.180351,PNIS
Acartia tonsa,-77.411155,6.25295,27.386562,31.237087,PNIS
Acartia tonsa,-77.403338,6.251811,27.386562,31.237087,PNIS
Acartia tonsa,153.36659,-30.89955,3.770313,34.509533,PNIS
Acartia tonsa,-129.218,50.493,1.835299,34.589718,PNIS
Acartia tonsa,-77.349022,3.925211,27.209243,31.943052,PNIS
Acartia tonsa,-77.351245,3.928604,27.209243,31.943052,PNIS
Acartia tonsa,-77.329396,3.96832,27.211734,31.938311,PNIS
Acartia tonsa,148.74568,-38.46867,2.363642,34.624638,PNIS
Acartia tonsa,149.10387,-38.29018,10.788628,34.946476,PNIS
Acartia tonsa,150.09211,-37.84617,10.792241,34.97855,PNIS
Acartia tonsa,150.73643,-36.73161,0.838787,34.71954,PNIS
Acartia tonsa,147.0512,-39.00556,15.293361,35.506882,PNIS
Acartia tonsa,149.72981,-38.01648,15.142895,35.420021,PNIS
Acartia tonsa,137.90928,-38.32724,0.463329,34.698978,PNIS
Acartia tonsa,150.86639,-36.07234,0.833273,34.720066,PNIS
Acartia tonsa,10.51333,58.2749999991569,6.663638,35.126244,PNIS
Acartia tonsa,136.4473,-35.8322,15.570452,35.457264,PNIS
Acartia tonsa,-78.755942,1.809066,26.852769,32.686481,PNIS
Acartia tonsa,-78.807813,1.849744,24.533453,33.828411,PNIS
Acartia tonsa,-78.757833,1.819308,26.852769,32.686481,PNIS
Acartia tonsa,-78.729661,1.820886,26.863932,32.679596,PNIS
Acartia tonsa,-78.757359,1.819171,26.852769,32.686481,PNIS
Acartia tonsa,-78.738116,1.807601,26.863932,32.679596,PNIS
Acartia tonsa,-78.731566,1.818178,26.863932,32.679596,PNIS
Acartia tonsa,-78.807741,1.851586,24.533453,33.828411,PNIS
Acartia tonsa,-78.731925,1.817926,26.863932,32.679596,PNIS
Acartia tonsa,-78.728848,1.819936,26.863932,32.679596,PNIS
Acartia tonsa,-78.728841,1.819938,26.863932,32.679596,PNIS
Acartia tonsa,-78.755952,1.809023,26.852769,32.686481,PNIS
Acartia tonsa,148.82877,-38.38106,8.996711,34.756538,PNIS
Acartia tonsa,-77.454719,6.27306,26.47612,33.180351,PNIS
Acartia tonsa,-77.402307,6.251378,27.386562,31.237087,PNIS
Acartia tonsa,-77.409232,6.249157,27.380873,31.263142,PNIS
Acartia tonsa,-77.460627,6.297765,26.47612,33.180351,PNIS
Acartia tonsa,-77.358652,3.923322,27.209243,31.943052,PNIS
Acartia tonsa,-77.329259,3.968493,27.211734,31.938311,PNIS
Acartia tonsa,-77.437191,6.272228,26.47612,33.180351,PNIS
Acartia tonsa,-77.349115,3.925192,27.209243,31.943052,PNIS
Acartia tonsa,-77.411468,6.232894,27.380873,31.263142,PNIS
Acartia tonsa,116.56672,-35.34497,16.019287,35.243343,PNIS
Acartia tonsa,136.31435,-37.99486,0.460994,34.699001,PNIS
Acartia tonsa,138.05795,-35.5218,16.579633,35.682831,PNIS
Acartia tonsa,138.66781,-36.31894,16.033108,35.556541,PNIS
Acartia tonsa,139.12084,-36.87766,15.897604,35.508102,PNIS
Acartia tonsa,139.81294,-37.71245,14.608072,35.383068,PNIS
Acartia tonsa,149.6811,-37.91402,15.419088,35.459862,PNIS
Acartia tonsa,151.10153,-35.17076,3.227438,34.5434,PNIS
Acartia tonsa,150.07019,-37.50948,16.752661,35.512142,PNIS
Acartia tonsa,145.71008,-38.95606,14.994602,35.338734,PNIS
Acartia tonsa,144.96812,-38.62723,15.077535,35.345993,PNIS
Acartia tonsa,151.65997,-33.39915,20.231287,35.57885,PNIS
Acartia tonsa,128.42958,-35.45364,0.453174,34.711231,PNIS
Acartia tonsa,143.68415,-38.9714,14.874617,35.363205,PNIS
Acartia tonsa,139.40502,-37.16085,15.68426,35.473385,PNIS
Acartia tonsa,139.18904,-36.87553,15.855639,35.502506,PNIS
Acartia tonsa,139.62264,-37.44577,15.162427,35.409256,PNIS
Acartia tonsa,138.03689,-35.57652,16.579633,35.682831,PNIS
Acartia tonsa,140.10843,-37.97469,14.368621,35.343147,PNIS
Acartia tonsa,139.84192,-37.73029,14.878947,35.380322,PNIS
Acartia tonsa,138.13965,-35.25344,16.55179,35.683826,PNIS
Acartia tonsa,144.10864,-38.93321,14.910088,35.353428,PNIS
Acartia tonsa,152.73562,-24.07068,22.287748,35.533699,PNIS
Acartia tonsa,140.86772,-38.26728,14.874134,35.363838,PNIS
Acartia tonsa,136.73545,-35.33808,16.320379,35.591808,PNIS
Acartia tonsa,135.92111,-35.36477,15.906444,35.498737,PNIS
Acartia tonsa,135.51375,-35.37607,15.818685,35.511639,PNIS
Acartia tonsa,147.05623,-39.01027,15.293361,35.506882,PNIS
Acartia tonsa,147.46266,-38.90719,15.76337,35.494148,PNIS
Acartia tonsa,144.09843,-38.62431,15.045537,35.36425,PNIS
Acartia tonsa,149.65187,-37.95687,15.380989,35.4543,PNIS
Acartia tonsa,153.74901,-27.69527,22.541641,35.561604,PNIS
Acartia tonsa,152.87791,-31.9504,20.243126,35.594524,PNIS
Acartia tonsa,137.61187,-35.40809,16.731897,35.687664,PNIS
Acartia tonsa,135.16515,-35.45965,15.244498,35.428146,PNIS
Acartia tonsa,136.79678,-35.43386,16.435617,35.587593,PNIS
Acartia tonsa,134.75711,-35.46266,8.536895,34.604702,PNIS
Acartia tonsa,137.20439,-35.42173,16.853622,35.696125,PNIS
Acartia tonsa,151.72988,-33.28494,19.561858,35.577995,PNIS
Acartia tonsa,143.97322,-38.7062,15.018044,35.362919,PNIS
Acartia tonsa,153.55468,-29.53127,22.875224,35.57494,PNIS
Acartia tonsa,146.59348,-39.12573,15.045546,35.523716,PNIS
Acartia tonsa,139.59622,-37.44255,15.162427,35.409256,PNIS
Acartia tonsa,138.18725,-35.79917,16.584125,35.68684,PNIS
Acartia tonsa,140.08351,-37.98114,14.368621,35.343147,PNIS
Acartia tonsa,138.67465,-36.33149,16.033108,35.556541,PNIS
Acartia tonsa,139.3633,-37.16545,15.68426,35.473385,PNIS
Acartia tonsa,140.82739,-38.29774,14.504022,35.327808,PNIS
Acartia tonsa,138.90254,-36.60992,15.89055,35.534164,PNIS
Acartia tonsa,-52.176,-32.206,18.651726,24.550907,PNIS
Acartia tonsa,-52.1,-32.148,18.707324,24.553188,PNIS
Acartia tonsa,-52.106,-32.025,18.715195,24.336292,PNIS
Acartia tonsa,151.2267,-34.1192,18.966924,35.545513,PNIS
Acartia tonsa,144.07238,-38.62046,15.033712,35.362564,PNIS
Acartia tonsa,139.65344,-37.51349,14.818907,35.403393,PNIS
Acartia tonsa,144.43038,-38.44086,15.074187,35.354588,PNIS
Acartia tonsa,142.10019,-38.70061,14.728048,35.359592,PNIS
Acartia tonsa,140.55104,-38.17843,14.49288,35.327564,PNIS
Acartia tonsa,139.88714,-37.79075,14.207478,35.326653,PNIS
Acartia tonsa,138.12971,-35.29402,16.55179,35.683826,PNIS
Acartia tonsa,140.18188,-38.01644,14.145429,35.311466,PNIS
Acartia tonsa,121.85,-33.9333,18.083497,35.698345,PNIS
Acartia tonsa,139.30298,-36.983,15.83497,35.494774,PNIS
Acartia tonsa,138.29931,-35.92235,16.36788,35.661007,PNIS
Acartia tonsa,139.55825,-37.24683,15.731398,35.459885,PNIS
