Part,X,Y
"7",67.11408,32.64653
"7",67.11413,32.64669
"7",67.11413,32.64691
"7",67.11420,32.64712
"7",67.11427,32.64720
"7",67.11431,32.64747
"7",67.11431,32.64748
"7",67.11433,32.64767
"7",67.11432,32.64786
"7",67.11432,32.64803
"7",67.11432,32.64848
"7",67.11434,32.64870
"7",67.11433,32.64887
"7",67.11433,32.64887
"7",67.11423,32.64920
"7",67.11416,32.64946
"7",67.11411,32.64987
"7",67.11410,32.64990
"7",67.11411,32.64996
"7",67.11411,32.65023
"7",67.11417,32.65050
"7",67.11424,32.65070
"7",67.11427,32.65079
"7",67.11437,32.65116
"7",67.11439,32.65129
"7",67.11443,32.65152
"7",67.11452,32.65182
"7",67.11453,32.65186
"7",67.11453,32.65188
"7",67.11457,32.65219
"7",67.11455,32.65240
"7",67.11454,32.65251
"7",67.11449,32.65286
"7",67.11448,32.65298
"7",67.11447,32.65311
"7",67.11447,32.65323
"7",67.11447,32.65332
"7",67.11445,32.65338
"7",67.11444,32.65339
"7",67.11431,32.65324
"7",67.11420,32.65323
"7",67.11411,32.65336
"7",67.11404,32.65329
"7",67.11393,32.65323
"7",67.11379,32.65326
"7",67.11378,32.65326
"7",67.11371,32.65331
"7",67.11367,32.65336
"7",67.11364,32.65338
"7",67.11358,32.65343
"7",67.11349,32.65330
"7",67.11338,32.65321
"7",67.11330,32.65314
"7",67.11330,32.65314
"7",67.11315,32.65318
"7",67.11308,32.65314
"7",67.11301,32.65309
"7",67.11298,32.65298
"7",67.11297,32.65293
"7",67.11293,32.65267
"7",67.11288,32.65263
"7",67.11284,32.65261
"7",67.11263,32.65251
"7",67.11247,32.65231
"7",67.11244,32.65227
"7",67.11236,32.65227
"7",67.11235,32.65234
"7",67.11232,32.65252
"7",67.11232,32.65263
"7",67.11231,32.65264
"7",67.11228,32.65265
"7",67.11222,32.65274
"7",67.11220,32.65280
"7",67.11218,32.65287
"7",67.11217,32.65308
"7",67.11212,32.65322
"7",67.11213,32.65330
"7",67.11214,32.65348
"7",67.11217,32.65386
"7",67.11215,32.65404
"7",67.11213,32.65415
"7",67.11211,32.65440
"7",67.11206,32.65454
"7",67.11211,32.65511
"7",67.11210,32.65583
"7",67.11200,32.65661
"7",67.11192,32.65697
"7",67.11183,32.65736
"7",67.11181,32.65787
"7",67.11181,32.65788
"7",67.11181,32.65792
"7",67.11173,32.65877
"7",67.11169,32.65885
"7",67.11156,32.65918
"7",67.11149,32.65962
"7",67.11146,32.66025
"7",67.11146,32.66025
"7",67.11149,32.66108
"7",67.11149,32.66167
"7",67.11140,32.66213
"7",67.11131,32.66215
"7",67.11124,32.66216
"7",67.11109,32.66201
"7",67.11088,32.66220
"7",67.11078,32.66242
"7",67.11069,32.66262
"7",67.11057,32.66287
"7",67.11048,32.66306
"7",67.11042,32.66307
"7",67.11042,32.66306
"7",67.11039,32.66281
"7",67.11045,32.66247
"7",67.11051,32.66233
"7",67.11060,32.66209
"7",67.11071,32.66177
"7",67.11074,32.66164
"7",67.11079,32.66145
"7",67.11083,32.66129
"7",67.11084,32.66122
"7",67.11091,32.66124
"7",67.11092,32.66124
"7",67.11095,32.66115
"7",67.11094,32.66104
"7",67.11094,32.66103
"7",67.11088,32.66097
"7",67.11078,32.66119
"7",67.11072,32.66134
"7",67.11059,32.66168
"7",67.11044,32.66188
"7",67.11036,32.66227
"7",67.11033,32.66234
"7",67.11025,32.66255
"7",67.11019,32.66290
"7",67.11019,32.66291
"7",67.11013,32.66329
"7",67.11008,32.66352
"7",67.11001,32.66437
"7",67.11001,32.66463
"7",67.11007,32.66450
"7",67.11010,32.66432
"7",67.11013,32.66411
"7",67.11021,32.66384
"7",67.11026,32.66371
"7",67.11030,32.66355
"7",67.11038,32.66336
"7",67.11039,32.66336
"7",67.11050,32.66329
"7",67.11059,32.66349
"7",67.11061,32.66358
"7",67.11064,32.66370
"7",67.11072,32.66383
"7",67.11076,32.66399
"7",67.11075,32.66400
"7",67.11073,32.66422
"7",67.11065,32.66446
"7",67.11062,32.66453
"7",67.11061,32.66461
"7",67.11057,32.66481
"7",67.11059,32.66512
"7",67.11054,32.66524
"7",67.11053,32.66529
"7",67.11052,32.66564
"7",67.11052,32.66568
"7",67.11052,32.66568
"7",67.11054,32.66601
"7",67.11056,32.66638
"7",67.11052,32.66660
"7",67.11051,32.66665
