Part,Архип,N,X,Y
"6",Лувеньгский,"231",67.11417,32.65314
"6",Лувеньгский,"232",67.11365,32.65314
"6",Лувеньгский,"233",67.11349,32.65353
"6",Лувеньгский,"234",67.11331,32.65315
"6",Лувеньгский,"235",67.11294,32.65308
"6",Лувеньгский,"236",67.11281,32.65252
"6",Лувеньгский,"237",67.11226,32.65207
"6",Лувеньгский,"238",67.11208,32.65303
"6",Лувеньгский,"239",67.11210,32.65396
"6",Лувеньгский,"240",67.11195,32.65460
"6",Лувеньгский,"241",67.11206,32.65512
"6",Лувеньгский,"242",67.11204,32.65604
"6",Лувеньгский,"243",67.11184,32.65685
"6",Лувеньгский,"244",67.11171,32.65778
"6",Лувеньгский,"245",67.11167,32.65865
"6",Лувеньгский,"246",67.11150,32.65891
"6",Лувеньгский,"247",67.11139,32.65976
"6",Лувеньгский,"248",67.11136,32.66053
"6",Лувеньгский,"249",67.11142,32.66099
"6",Лувеньгский,"250",67.11143,32.66180
"6",Лувеньгский,"251",67.11138,32.66216
"6",Лувеньгский,"252",67.11151,32.66265
"6",Лувеньгский,"253",67.11143,32.66289
"6",Лувеньгский,"254",67.11135,32.66266
"6",Лувеньгский,"255",67.11132,32.66234
"6",Лувеньгский,"256",67.11116,32.66206
"6",Лувеньгский,"257",67.11095,32.66198
"6",Лувеньгский,"258",67.11051,32.66302
"6",Лувеньгский,"259",67.11074,32.66332
"6",Лувеньгский,"260",67.11078,32.66390
"6",Лувеньгский,"261",67.11047,32.66465
"6",Лувеньгский,"262",67.11055,32.66637
"6",Лувеньгский,"263",67.11044,32.66710
"6",Лувеньгский,"264",67.10988,32.66800
"6",Лувеньгский,"265",67.10971,32.66872
"6",Лувеньгский,"266",67.10923,32.66894
"6",Лувеньгский,"267",67.10931,32.66976
"6",Лувеньгский,"268",67.11016,32.66954
"6",Лувеньгский,"269",67.11074,32.66976
"6",Лувеньгский,"270",67.11087,32.66902
"6",Лувеньгский,"271",67.11129,32.66904
"6",Лувеньгский,"272",67.11134,32.67022
"6",Лувеньгский,"273",67.11125,32.67156
"6",Лувеньгский,"274",67.11148,32.67197
"6",Лувеньгский,"275",67.11152,32.67268
"6",Лувеньгский,"276",67.11097,32.67391
"6",Лувеньгский,"277",67.11139,32.67450
"6",Лувеньгский,"278",67.11118,32.67604
"6",Лувеньгский,"279",67.11110,32.67788
"6",Лувеньгский,"280",67.11118,32.67995
"6",Лувеньгский,"281",67.11118,32.68100
"6",Лувеньгский,"282",67.10959,32.68335
"6",Лувеньгский,"283",67.10958,32.68301
"6",Лувеньгский,"284",67.10903,32.68394
"6",Лувеньгский,"285",67.10885,32.68376
"6",Лувеньгский,"286",67.10832,32.68468
"6",Лувеньгский,"287",67.10808,32.68543
"6",Лувеньгский,"288",67.10764,32.68585
"6",Лувеньгский,"289",67.10739,32.68590
"6",Лувеньгский,"290",67.10736,32.68648
"6",Лувеньгский,"291",67.10741,32.68742
"6",Лувеньгский,"292",67.10701,32.68639
"6",Лувеньгский,"293",67.10707,32.68537
"6",Лувеньгский,"294",67.10729,32.68380
"6",Лувеньгский,"295",67.10652,32.68504
"6",Лувеньгский,"296",67.10664,32.68740
"6",Лувеньгский,"297",67.10665,32.68809
"6",Лувеньгский,"298",67.10656,32.68856
"6",Лувеньгский,"299",67.10618,32.68848
"6",Лувеньгский,"300",67.10611,32.68985
"6",Лувеньгский,"301",67.10587,32.69058
"6",Лувеньгский,"302",67.10523,32.69111
"6",Лувеньгский,"303",67.10505,32.69173
"6",Лувеньгский,"304",67.10487,32.69208
"6",Лувеньгский,"305",67.10454,32.69241
"6",Лувеньгский,"306",67.10423,32.69443
"6",Лувеньгский,"307",67.10432,32.69485
"6",Лувеньгский,"308",67.10454,32.69504
"6",Лувеньгский,"309",67.10497,32.69595
"6",Лувеньгский,"310",67.10484,32.69637
"6",Лувеньгский,"311",67.10445,32.69640
"6",Лувеньгский,"312",67.10407,32.69576
"6",Лувеньгский,"313",67.10388,32.69590
"6",Лувеньгский,"314",67.10387,32.69630
"6",Лувеньгский,"315",67.10335,32.69771
"6",Лувеньгский,"316",67.10337,32.69841
"6",Лувеньгский,"317",67.10344,32.69894
"6",Лувеньгский,"318",67.10396,32.69959
"6",Лувеньгский,"319",67.10413,32.70009
"6",Лувеньгский,"320",67.10424,32.70098
"6",Лувеньгский,"321",67.10419,32.70233
"6",Лувеньгский,"322",67.10387,32.70345
"6",Лувеньгский,"323",67.10320,32.70519
"6",Лувеньгский,"324",67.10323,32.70609
"6",Лувеньгский,"325",67.10361,32.70694
"6",Лувеньгский,"326",67.10376,32.70757
"6",Лувеньгский,"327",67.10353,32.70824
"6",Лувеньгский,"328",67.10257,32.70588
"6",Лувеньгский,"329",67.10215,32.70409
"6",Лувеньгский,"330",67.10219,32.70313
"6",Лувеньгский,"331",67.10177,32.70229
"6",Лувеньгский,"332",67.10140,32.70184
"6",Лувеньгский,"333",67.10113,32.70106
"6",Лувеньгский,"334",67.10111,32.69908
"6",Лувеньгский,"335",67.10098,32.69836
"6",Лувеньгский,"336",67.10072,32.69803
"6",Лувеньгский,"337",67.10035,32.69858
"6",Лувеньгский,"338",67.10003,32.69953
"6",Лувеньгский,"339",67.10005,32.70033
"6",Лувеньгский,"340",67.10012,32.70128
"6",Лувеньгский,"341",67.09983,32.70324
"6",Лувеньгский,"342",67.09936,32.70479
"6",Лувеньгский,"343",67.09903,32.70526
"6",Лувеньгский,"344",67.09885,32.70606
"6",Лувеньгский,"345",67.09893,32.70700
"6",Лувеньгский,"346",67.09902,32.70739
"6",Лувеньгский,"347",67.09910,32.70829
"6",Лувеньгский,"348",67.09882,32.70882
"6",Лувеньгский,"349",67.09853,32.70901
"6",Лувеньгский,"350",67.09822,32.70913
"6",Лувеньгский,"351",67.09756,32.70810
"6",Лувеньгский,"352",67.09761,32.70778
"6",Лувеньгский,"353",67.09739,32.70714
"6",Лувеньгский,"354",67.09689,32.70770
"6",Лувеньгский,"355",67.09748,32.70892
"6",Лувеньгский,"356",67.09765,32.70950
"6",Лувеньгский,"357",67.09775,32.71003
"6",Лувеньгский,"358",67.09773,32.71098
"6",Лувеньгский,"359",67.09762,32.71162
"6",Лувеньгский,"360",67.09767,32.71239
"6",Лувеньгский,"361",67.09690,32.71501
"6",Лувеньгский,"362",67.09645,32.71586
"6",Лувеньгский,"363",67.09605,32.71545
"6",Лувеньгский,"364",67.09501,32.71522
"6",Лувеньгский,"365",67.09504,32.71588
"6",Лувеньгский,"366",67.09518,32.71630
"6",Лувеньгский,"367",67.09508,32.71667
"6",Лувеньгский,"368",67.09452,32.71733
"6",Лувеньгский,"369",67.09406,32.71833
"6",Лувеньгский,"370",67.09383,32.71937
"6",Лувеньгский,"371",67.09291,32.71994
"6",Лувеньгский,"372",67.09238,32.71963
"6",Лувеньгский,"373",67.09234,32.71930
"6",Лувеньгский,"374",67.09199,32.71819
"6",Лувеньгский,"375",67.09178,32.71778
"6",Лувеньгский,"376",67.09154,32.71705
"6",Лувеньгский,"377",67.09085,32.71754
"6",Лувеньгский,"378",67.09040,32.71830
"6",Лувеньгский,"379",67.08977,32.71996
"6",Лувеньгский,"380",67.08997,32.72028
"6",Лувеньгский,"381",67.08981,32.72106
"6",Лувеньгский,"382",67.08973,32.72200
"6",Лувеньгский,"383",67.08940,32.72259
"6",Лувеньгский,"384",67.08933,32.72327
"6",Лувеньгский,"385",67.08967,32.72391
"6",Лувеньгский,"386",67.09007,32.72413
"6",Лувеньгский,"387",67.09022,32.72428
"6",Лувеньгский,"388",67.09034,32.72495
"6",Лувеньгский,"389",67.09033,32.72559
"6",Лувеньгский,"390",67.09006,32.72579
"6",Лувеньгский,"391",67.08974,32.72574
"6",Лувеньгский,"392",67.08934,32.72655
"6",Лувеньгский,"393",67.08908,32.72613
"6",Лувеньгский,"394",67.08899,32.72578
"6",Лувеньгский,"395",67.08851,32.72583
"6",Лувеньгский,"396",67.08821,32.72657
