,W1,W2,W3,W4,W5,R1,R2,R3,R4,LD1,LD2,LD3,BF1,BF2,BF3,BF4,BF5,F1,F2,F3,SO1,SO2,SO3,LH1,LH2,LH3,LH4,LH5,LH6,MV1,MV2,MV3,MV4,FH1,FH2,FH3,FH4,FH5
Lebbeus.polaris,0,2,4,0,0,0,0,0,6,6,0,0,0,0,0,6,0,0,2,4,4,2,0,6,0,0,0,0,0,0,0,0,6,0,0,2,4,0
Lepeta.caeca,0,2,1,0,0,0,3,0,0,3,0,0,2,0,2,0,0,0,2,1,2,1,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0
Lepeta.sp.,0,0,3,0,0,0,3,0,0,3,0,0,2,0,2,0,0,0,2,1,2,1,0,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0
Leptasterias.arctica,0,0,2,4,0,0,0,0,6,0,6,0,0,0,6,0,0,0,0,6,6,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0
Leptasterias.groenlandica,0,0,4,2,0,0,0,0,6,0,6,0,0,0,6,0,0,0,0,6,6,0,0,6,0,0,0,0,0,0,0,6,0,0,0,2,4,0
Leptasterias.polaris,0,0,0,4,2,0,2,0,4,0,6,0,0,0,6,0,0,0,0,6,4,2,0,6,0,0,0,0,0,0,2,4,0,0,0,0,6,0
Leptasterias.sp..,0,0,1,2,1,0,0,0,3,0,3,0,0,0,3,0,0,0,0,3,2,1,0,3,0,0,0,0,0,0,1,2,0,0,0,0,3,0
Lethasterias.nanimensis,0,0,2,2,2,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,0,0,2,1,2,1,0,3,0,0,0,0,0,0,1,2,0,0,0,1,2,0
Limneria.undata,0,4,4,0,0,0,0,6,0,0,0,6,4,0,0,0,2,0,6,0,3,0,0,3,0,0,0,0,0,0,0,6,0,0,0,0,6,0
Lumbrineridae,0,4,2,0,0,0,0,6,0,0,0,6,0,6,0,0,0,4,2,0,6,0,0,6,0,0,0,0,0,0,6,0,0,4,0,4,4,0
Maera.danae,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,2,2,0,3,0,0,0,0,3,0,0,0,0,2,0,2,3,0,0,0,0
Maera.prionochira,1,2,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,2,2,0,3,0,0,0,0,3,0,0,0,0,2,0,2,3,0,0,0,0
Margarites.costalis,0,2,4,0,0,0,0,6,0,0,0,6,2,0,0,0,4,0,6,0,2,4,0,6,0,0,0,0,0,0,0,6,0,4,0,0,2,0
Margarites.groenlandicus,0,2,1,0,0,0,0,3,0,0,0,3,1,0,0,0,2,1,2,0,NA,NA,NA,3,0,0,0,0,0,0,0,3,0,3,0,0,0,0
Margarites.helicinus,0,4,2,0,0,0,0,6,0,0,0,6,2,0,0,0,4,0,6,0,2,4,0,4,0,0,0,2,0,0,0,6,0,4,0,0,2,0
Margarites.sp.,0,2,1,0,0,0,0,3,0,0,0,3,1,0,0,0,2,0,3,0,1,2,0,2,0,0,0,1,0,0,0,3,0,2,0,0,1,0
Melaenis.loveni,0,2,4,0,0,0,0,0,6,0,0,6,0,4,2,0,0,2,4,0,6,0,0,6,0,0,0,0,0,0,0,6,0,0,0,4,4,0
Melita.dentata,0,4,2,0,0,0,0,0,6,0,0,6,0,0,0,6,0,0,5,1,5,1,0,3,0,0,0,0,0,0,4,0,3,5,2,0,0,0
Melita.sp..,0,2,1,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,2,0,1,2,2,0,0,0
Melphidippa.sp.,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,3,0,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0
Metopa.spitzbergensis,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,1,2,1,1,0,2,0
Metridium.sp..,0,0,0,2,2,1,2,0,0,3,0,0,1,0,0,0,2,0,2,1,1,2,2,0,0,0,0,0,3,2,0,1,0,0,0,0,3,0
Mohnia.sp..,0,3,0,0,0,0,0,1,0,1,2,3,0,0,1,2,0,3,0,0,NA,NA,NA,0,0,1,2,0,1,0,0,1,2,4,0,0,0,0
Molgula.griffithsii,0,2,1,0,0,0,3,0,0,0,0,3,2,0,0,0,1,0,3,0,2,1,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0
Molgula.retortiformis.,0,0,1,2,0,0,3,0,0,0,0,3,2,0,0,0,1,0,3,0,2,1,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0
Molgula.sp..,0,2,1,0,0,0,3,0,0,0,3,0,2,0,0,0,1,0,2,2,3,0,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0
Monoculodes.diamesus,0,6,0,0,0,0,0,0,6,0,0,6,0,0,0,6,0,NA,NA,NA,6,0,0,4,0,0,4,0,0,0,4,0,2,0,0,0,6,0
Munnopsidae,0,2,1,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,1,2,NA,NA,NA,3,0,0,0,0,0,0,1,1,1,3,0,0,0,0
Munnopsis.typica,0,3,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,2,1,3,0,0,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0
Musculus.glacialis,0,2,4,0,0,0,0,4,2,0,0,6,0,0,0,6,0,0,6,0,0,6,0,0,0,0,0,2,4,6,0,0,0,0,6,0,0,0
Musculus.niger,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,0,3,0,1,0,0,0,0,2,2,1,0,0,0,3,0,0,0
Musculus.sp..,0,2,2,0,0,0,0,1,2,0,0,3,0,0,0,3,0,0,3,0,0,3,0,1,0,0,0,1,2,2,1,0,0,0,3,0,0,0
Myriotrochus.rinkii,0,4,4,0,0,0,6,0,0,6,0,0,2,4,0,0,0,6,0,0,2,4,0,6,0,0,0,0,0,0,0,6,0,6,0,0,0,0
Naticidae,0,1,2,1,0,0,0,3,0,2,1,1,2,0,0,0,1,0,2,1,2,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0
Nemertea,0,2,4,0,0,2,4,0,4,4,4,4,0,4,0,2,0,2,4,0,6,0,0,4,4,0,0,4,0,0,2,4,0,0,0,2,4,0
Nemidia.microlepida,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,1,2,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Neocrangon.communis,0,1,2,0,0,0,0,0,3,0,0,3,0,0,2,1,0,0,0,3,3,0,0,2,0,0,1,0,0,0,0,0,3,0,0,0,3,0
Neohela.monstrosa,0,3,0,0,0,0,0,0,3,0,0,3,0,0,1,2,0,0,3,0,1,2,0,0,0,0,3,0,0,0,2,0,1,2,1,0,0,0
Neoiphinoe.coronata,0,1,2,0,0,0,0,3,0,2,1,0,1,0,0,0,2,0,3,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,2,0,0,1
Neoiphinoe.kroyeri,0,4,4,0,0,0,0,6,0,4,2,0,2,0,0,0,4,0,6,0,6,0,0,6,0,0,0,0,0,0,0,6,0,0,0,4,0,4
Neopleustes.pulchellus.var..euacanthus,0,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Nephtys.longosetosa,0,3,2,1,0,0,6,0,0,6,0,0,0,6,0,0,0,0,6,0,6,0,0,2,0,0,4,0,0,0,6,0,0,0,0,0,6,0
Nepthys.ciliata,0,3,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,3,0
Nepthys.sp.,0,1,2,1,0,0,3,0,0,3,0,0,0,3,0,0,0,0,3,0,3,0,0,1,0,0,2,0,0,0,3,0,0,0,0,0,3,0
Neptunea.communis,0,0,4,4,0,0,0,6,0,0,0,6,2,0,0,0,4,0,0,6,4,2,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0
Neptunea.heros,0,0,0,4,4,0,0,6,0,0,0,6,2,0,0,0,4,0,0,6,3,3,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0
Neptunea.sp.,0,0,2,4,2,0,0,6,0,0,0,6,2,0,0,0,4,0,0,6,4,4,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0
Nereis.sp.,0,0,3,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,3,0,0,1,0,0,2,0,0,0,2,2,0,2,0,2,2,0
Nodulotrophon.coronatus,0,0,6,0,0,0,0,6,0,0,0,6,2,0,0,0,4,0,6,0,6,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0
Nothria.conchylega,0,2,1,0,0,0,0,0,3,NA,NA,NA,0,3,0,0,0,1,2,0,1,2,0,1,0,2,0,0,0,0,0,3,0,1,0,1,1,0
Obesotoma.japonica,0,1,2,0,0,0,0,3,0,NA,NA,NA,2,0,0,0,1,0,3,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0
Obesotoma.sp..,0,4,4,0,0,0,0,6,0,NA,NA,NA,4,0,0,0,2,0,6,0,6,0,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0
Obesotoma.tenuilirata,0,2,2,0,0,0,0,3,0,NA,NA,NA,2,0,0,0,1,0,3,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0
Ocnus.glacialis,0,0,4,2,0,0,0,0,6,0,6,0,2,4,0,0,0,0,6,0,2,4,0,6,0,0,0,0,0,0,0,6,0,4,4,0,0,0
Oenopota.bicarinata,0,3,0,0,0,0,0,3,0,3,0,0,2,0,0,0,1,0,2,1,3,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,3,0
Oenopota.declivis.,0,3,0,0,0,0,0,3,0,3,0,0,2,0,0,0,1,1,2,0,3,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,3,0
Oenopota.elegans,0,3,0,0,0,0,0,3,0,3,0,0,1,0,0,0,2,0,2,1,3,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,3,0
Oenopota.harpa,0,4,2,0,0,0,0,6,0,6,0,0,4,0,0,0,2,0,4,2,6,0,0,6,0,0,0,0,0,0,4,2,0,0,0,0,6,0
Oenopota.impressa,0,4,2,0,0,0,0,6,0,6,0,0,4,0,0,0,2,0,4,2,6,0,0,6,0,0,0,0,0,0,4,2,0,0,0,0,6,0
Oenopota.pyramidalis,0,2,2,0,0,0,0,3,0,3,0,0,2,0,0,0,1,0,2,2,3,0,0,3,0,0,0,0,0,0,2,1,0,0,0,0,3,0
Oenopota.sp..,0,4,2,0,0,0,0,6,0,6,0,0,4,0,0,0,2,2,4,2,6,0,0,6,0,0,0,0,0,0,4,2,0,0,0,0,6,0
Onchidiopsis.sp.,0,0,1,3,2,0,6,0,0,6,0,0,6,0,0,0,0,2,4,0,4,2,0,4,0,0,0,2,0,0,0,6,0,0,0,0,6,0
Ophiacantha.bidentata,0,1,2,0,0,0,3,0,0,0,3,0,0,0,3,0,0,1,2,0,1,2,0,2,0,0,0,1,0,0,0,3,0,2,2,0,0,0
Ophiocten.sericeum,0,6,0,0,0,0,6,0,0,6,0,0,0,0,6,0,0,2,4,0,2,4,0,6,0,0,0,0,0,0,0,6,0,4,0,4,2,0
Ophiopholis.aculeata,0,2,4,0,0,0,6,0,0,6,0,0,0,0,6,0,0,2,4,0,4,2,0,4,4,0,0,0,0,0,0,6,0,4,4,0,2,0
Ophiopleura.borealis,0,2,2,0,0,NA,NA,NA,NA,3,0,0,0,0,3,0,0,1,2,0,1,2,0,3,0,0,0,0,0,0,0,3,0,3,2,0,0,0
Ophiura.robusta,0,4,4,0,0,0,6,0,0,6,0,0,0,0,6,0,0,2,4,0,2,4,0,6,0,0,0,0,0,0,0,6,0,2,2,4,2,0
Ophiura.sarsii,0,0,4,2,0,0,6,0,0,6,0,0,0,0,6,0,0,2,4,0,4,4,0,6,0,0,0,0,0,0,0,4,2,2,0,2,4,0
Ophiuroidea,2,2,4,2,0,0,6,0,0,6,0,0,0,0,6,0,0,2,4,0,4,4,0,6,0,0,0,0,0,0,0,4,2,4,2,4,4,0
Opisthobranchia,0,4,2,0,0,0,0,4,2,4,2,0,4,2,2,0,2,0,4,2,4,2,0,6,0,0,0,0,0,0,2,4,2,2,0,0,4,0
Orchomene.pinguis,3,0,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,1,2,0,3,0,0,0,0,0,0,0,1,2,0,0,2,1,0
Orchomene.sp..,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,1,2,0,3,0,0,0,0,0,0,0,1,2,0,0,2,1,0
Orchomenella.minuta,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,2,0,1,1,0,2,0,0
Pagurus.capillatus,0,0,4,2,0,0,0,0,6,6,0,0,0,0,4,0,4,0,2,4,4,2,0,6,0,0,0,0,0,0,0,6,0,4,0,4,0,0
Pagurus.rathbuni,0,0,1,2,0,0,0,0,3,3,0,0,0,0,2,0,2,0,1,2,3,1,0,3,0,0,0,0,0,0,0,3,0,2,0,2,0,0
Pagurus.sp.,0,0,4,2,0,0,0,0,6,6,0,0,0,0,4,0,4,0,2,4,4,2,0,6,0,0,0,0,0,0,0,6,0,4,0,4,0,0
Pagurus.trigonocheirus,0,0,4,2,0,0,0,0,6,6,0,0,0,0,4,0,4,0,2,4,4,2,0,6,0,0,0,0,0,0,0,6,0,4,0,4,0,0
Pandalina.sp..,0,2,2,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,1,2,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,1,2,0
Pandalus.borealis,0,2,2,0,0,0,0,0,3,3,0,0,0,0,0,3,0,3,0,0,2,1,0,3,0,0,0,0,0,0,0,1,2,1,0,1,2,0
Pandalus.goniurus,0,4,4,0,0,0,0,0,6,6,0,0,0,0,0,6,0,2,4,0,4,2,0,6,0,0,0,0,0,0,0,4,2,0,0,0,6,0
Pandora.glacialis,0,2,4,0,0,0,0,6,0,0,6,0,0,0,0,6,0,4,2,0,4,2,0,6,0,0,0,0,0,0,4,4,0,0,6,0,0,0
Pannychia.moseleyi,0,0,0,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Paramphithoe.cuspidata,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,2,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Paramphithoe.polyacantha,0,4,2,0,0,0,0,0,6,0,0,6,0,0,0,6,0,0,6,0,4,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Paroediceros.lynceus,0,4,2,0,0,0,0,0,6,0,0,6,0,0,0,6,0,4,2,0,4,4,0,4,0,0,2,0,0,0,4,0,2,0,6,0,0,0
Paroediceros.propinquus,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Pelonaia.corrugata,0,0,4,2,0,0,6,0,0,0,0,6,0,6,0,0,0,0,2,4,6,0,0,6,0,0,0,0,0,6,0,0,0,0,6,0,0,0
Philine.sp..,0,2,1,0,0,0,1,2,0,0,3,0,2,0,0,0,1,0,3,0,3,0,0,3,0,0,0,0,0,0,1,2,0,0,0,1,2,0
Photis.sp..,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,3,0,0,1,0,2,0,0,0,0,0,0,3,3,0,0,0,0
Phyllodoce.groenlandica,0,2,4,0,0,0,0,6,0,6,0,0,0,6,0,0,0,0,6,0,4,2,0,2,0,0,4,0,0,0,6,0,0,0,0,4,4,0
Phyllodocidae,0,4,2,0,0,0,0,6,0,6,0,0,0,6,0,0,0,0,6,0,4,2,0,2,0,0,4,0,0,0,4,4,2,0,0,0,6,0
Platyhelminthes,0,2,4,0,0,0,0,0,6,0,0,6,0,0,6,0,0,2,4,0,6,0,0,4,0,0,0,2,0,0,0,6,0,0,0,0,6,0
Pleustes.cataphractus,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,1,2,3,0,0,3,0,0,0,0,0,0,0,0,3,1,0,1,2,0
Pleustes.panopla,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,3,1,0,1,2,0
Plicifusus.kroeyeri,0,0,4,4,0,0,0,6,0,0,0,6,2,0,0,0,4,0,4,4,4,2,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0
Plicifusus.sp..,0,0,3,0,0,0,0,3,0,0,0,3,1,0,0,0,2,0,2,2,2,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0
Polymastia.sp.,0,0,2,4,0,2,0,4,0,0,6,0,0,0,4,0,2,0,4,2,0,0,6,0,0,0,0,0,6,6,0,0,0,0,6,0,0,0
Polynoidae,0,2,4,0,0,0,4,2,4,4,0,2,0,4,2,0,0,2,4,0,4,2,0,4,0,2,2,2,0,0,4,4,2,2,0,2,4,0
Pontoporeia.femorata,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,2,1,0,1,0,0,2,0,0,0,2,0,1,2,2,0,0,0
Porifera,0,2,4,4,2,2,2,2,2,0,6,0,2,0,4,0,4,2,4,2,2,2,4,2,0,0,0,2,4,6,0,0,0,0,6,0,0,0
Propebela.arctica,0,5,2,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,4,0,6,0,2,4,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0
Propebela.nobilis,0,4,4,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,4,0,6,0,2,4,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0
Propebela.sp..,0,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,2,0,3,0,1,2,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0
Protomedeia.grandimana,0,6,0,0,0,0,0,0,6,0,0,6,0,0,0,6,0,0,6,0,6,0,0,0,0,6,0,0,0,0,4,2,0,2,4,0,0,0
Protomedia.sp.,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,3,0,0,0,0,3,0,0,0,0,2,1,0,1,2,0,0,0
Pseudoliomesus.ooides,0,2,2,0,0,0,0,3,0,0,0,3,1,0,0,0,2,0,2,1,NA,NA,NA,3,0,0,0,0,0,0,0,3,0,0,0,1,2,0
Psolus.peronii,0,0,0,6,0,0,6,0,0,0,6,0,4,2,0,0,0,0,0,6,2,4,0,6,0,0,0,0,0,0,0,6,0,4,4,0,0,0
Psolus.phantapus,0,0,0,3,0,0,3,0,0,0,3,0,2,1,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,2,1,0,2,2,0,0,0
Pteraster.jordani,0,0,0,3,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,3,0,1,0,2,2,0
Pteraster.militaris,0,0,1,2,0,0,0,0,3,0,1,2,0,0,3,0,0,0,1,2,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0
Pteraster.obscurus,0,0,0,4,2,0,0,0,6,0,6,0,0,0,6,0,0,0,0,6,6,0,0,6,0,0,0,0,0,0,0,6,0,2,0,4,4,0
Pteraster.sp..,0,0,1,2,1,0,0,0,3,0,3,0,0,0,3,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,3,0,1,0,2,2,0
Pycnogonidae,4,4,2,3,0,0,0,3,3,3,0,3,1,0,1,0,4,1,3,2,5,2,0,6,0,0,0,0,0,0,0,5,1,0,0,2,3,1
Pyrulofusus.deformis,0,0,0,6,0,0,0,3,3,3,0,3,1,0,1,0,4,0,4,2,5,2,0,6,0,0,0,0,0,0,0,5,1,0,0,2,4,0
Quasimelita.formosa,0,4,2,0,0,0,0,0,6,0,0,6,0,0,0,6,0,0,6,0,6,0,0,6,0,0,0,0,0,0,0,0,6,4,2,0,0,0
Quasimelita.quadrispinosa,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,2,0,1,2,2,0,0,0
Retifusus.sp..,0,1,2,0,0,0,0,3,0,0,0,3,1,0,0,0,2,0,1,2,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,1,2,0
Rhachotropis.aculeata,0,2,4,0,0,0,0,0,6,0,0,6,0,0,0,6,0,0,6,0,4,2,0,6,0,0,0,0,0,0,0,0,6,0,0,0,6,0
Rhachotropis.oculata,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0
Rhegaster.tumidus,0,0,1,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Rozinante.fragilis,0,6,0,0,0,0,0,0,6,0,0,6,0,0,0,6,0,0,6,0,6,0,0,6,0,0,0,0,0,0,0,0,6,4,0,2,0,0
Sabinea.septemcarinata,0,0,4,2,0,0,0,0,6,6,0,0,0,0,4,2,0,0,4,2,6,0,0,6,0,0,0,0,0,0,0,0,6,0,0,0,6,0
Saduria.entomon,0,0,2,1,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,3,2,1,0,3,0,0,0,0,0,0,2,0,1,0,0,1,2,0
Saduria.sabini,0,0,2,1,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,2,0,1,0,0,2,1,0
Saduria.sibirica,1,2,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,3,2,1,0,3,0,0,0,0,0,0,0,3,0,0,0,2,2,0
Sclerocrangon.boreas,0,0,2,1,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,2,2,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,0
Scoletoma.fragilis,0,1,2,0,0,NA,NA,NA,NA,0,3,0,3,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0,0,2,0,0,0,3,0,0,2,0,0,2,0
Scoletoma.sp..,0,1,2,0,0,NA,NA,NA,NA,0,3,0,3,0,0,0,0,NA,NA,NA,NA,NA,NA,1,0,0,2,0,0,0,3,0,0,2,0,0,2,0
Semisuberites.cribrosa,0,2,4,0,0,NA,NA,NA,NA,0,6,0,0,0,0,0,6,0,4,2,0,0,6,0,0,0,0,0,6,6,0,0,0,0,6,0,0,0
Serripes.groenlandicus,0,0,4,4,0,0,6,0,0,6,0,0,0,0,0,6,0,0,4,2,2,4,0,6,0,0,0,0,0,0,4,2,0,4,4,0,0,0
Serripes.sp..,0,2,1,0,0,0,3,0,0,3,0,0,0,0,0,3,0,0,2,1,1,2,0,3,0,0,0,0,0,0,2,1,0,2,2,0,0,0
Sertularia.sp...Thuiaria.sp.,2,2,0,0,0,1,2,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,3,0,0,0,0,2,1,3,0,0,0,0,0,0,3,0
Similipecten.greenlandicus,0,2,1,0,0,0,0,0,3,0,0,3,0,0,3,0,0,3,0,0,2,1,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0
Socarnes.bidenticulatus,0,0,6,0,0,0,0,0,6,0,0,6,0,0,0,6,0,0,6,0,2,4,0,6,0,0,0,0,0,0,0,0,6,0,0,6,0,0
Solariella.obscura,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,2,0,0,0,1,1,2,0,1,2,0,3,0,0,0,0,0,0,0,3,0,1,0,0,2,0
Solaster.sp.,0,0,0,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Spinther.sp..,0,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,3,0,0,1,2,0,3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,1,2
Spirontocaris.sp.,0,0,6,0,0,0,0,0,6,6,0,0,0,0,0,6,0,0,4,2,4,2,0,6,0,0,0,0,0,0,0,4,4,0,0,0,6,0
Stegocephalus.ampulla,0,2,1,0,0,0,0,0,3,0,0,3,1,0,0,2,0,0,2,2,2,1,0,2,0,0,0,1,0,0,0,0,3,0,2,2,2,0
Stegocephalus.inflatus,0,0,4,2,0,0,0,0,6,0,0,6,2,0,0,4,0,0,4,4,4,2,0,4,0,0,0,2,0,0,0,0,6,0,4,4,4,0
Stegocephalus.sp.,0,4,4,0,0,0,0,0,6,0,0,6,2,0,0,4,0,0,4,4,4,2,0,4,0,0,0,2,0,0,0,0,6,0,4,4,4,0
Stegophiura.nodosa,0,4,4,0,0,0,0,0,6,0,0,6,0,0,6,0,0,2,4,0,4,2,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0
Stenosemus.albus,0,6,0,0,0,0,6,0,0,0,6,0,0,0,6,0,0,0,4,2,6,0,0,4,0,0,0,2,0,0,0,6,0,6,0,0,0,0
Stomphia.sp.,0,0,0,6,0,0,6,0,0,4,4,0,2,0,0,0,4,0,2,4,4,2,0,2,0,0,0,0,4,4,0,2,2,0,0,0,6,0
Strongylocentrotus.pallidus,0,0,0,6,0,0,6,0,0,6,0,0,6,0,0,0,0,0,0,6,6,0,0,6,0,0,0,0,0,0,0,6,0,6,0,0,0,0
Styela.rustica,0,0,2,4,0,0,6,0,0,0,6,0,0,0,0,0,6,0,4,2,0,6,0,0,0,0,0,4,4,6,0,0,0,0,6,0,0,0
Styela.sp.,0,0,0,3,0,0,3,0,0,0,3,0,0,0,0,0,3,0,2,1,0,3,0,0,0,0,0,2,2,3,0,0,0,0,3,0,0,0
Suberites.sp..,0,0,2,2,0,1,0,2,0,0,3,0,0,0,3,0,0,0,1,2,0,0,3,2,0,0,0,1,1,3,0,0,0,0,3,0,0,0
Syllis.armillaris,2,2,0,0,0,0,3,0,0,3,0,0,0,3,0,0,0,1,2,0,3,0,0,3,0,0,0,0,0,0,2,1,0,1,0,0,2,0
Synidotea.bicuspida,0,2,4,0,0,0,0,0,6,0,0,6,2,0,4,0,0,0,0,6,6,0,0,6,0,0,0,0,0,0,0,6,0,2,4,0,0,0
Synidotea.sp.,0,2,2,0,0,0,0,0,3,0,0,3,1,0,2,0,0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,3,0,1,2,0,0,0
Syrrhoe.crenulata,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,NA,NA,NA,3,0,0,3,0,0,0,0,0,0,0,0,3,0,3,0,0,0
Tachyrhynchus.erosus,0,2,4,0,0,0,6,0,0,6,0,0,0,0,0,0,6,0,4,2,2,4,0,6,0,0,0,0,0,0,2,4,0,0,0,2,4,0
Tachyrhynchus.sp..,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,0,2,1,1,2,0,3,0,0,0,0,0,0,1,2,0,0,0,0,3,0
Tanaidacea,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,3,0,0,1,1,1,1,0,0,0,2,1,0,2,0,0,1,0
