,W1,W2,W3,W4,W5,R1,R2,R3,R4,LD1,LD2,LD3,BF1,BF2,BF3,BF4,BF5,F1,F2,F3,SO1,SO2,SO3,LH1,LH2,LH3,LH4,LH5,LH6,MV1,MV2,MV3,MV4,FH1,FH2,FH3,FH4,FH5
Dulichia.spinosissima,0,0,3,0,0,0,0,0,3,0,0,3,0,0,0,3,0,3,0,0,3,0,0,0,0,2,0,1,0,0,0,2,1,3,0,0,0,0
Echinarachnius.parma,0,0,2,1,0,0,3,0,0,0,0,2,1,0,3,0,0,0,2,1,1,2,0,2,0,0,2,0,0,0,3,0,0,2,2,0,0,0
Edwardsia.sp..,0,0,3,0,0,1,2,0,0,1,2,0,0,3,0,0,0,1,2,0,1,2,0,0,2,0,1,0,0,1,2,0,0,3,0,0,0,0
Ericthonius.sp.,2,2,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,3,0,0,0,0,3,0,0,0,0,0,1,2,0,3,0,0,0
Eteone.spetsbergensis,0,3,0,0,0,0,0,0,3,0,3,0,0,3,0,0,0,1,2,0,3,0,0,1,0,0,2,0,0,0,3,0,0,1,0,0,2,0
Eualus.sp..,0,2,2,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,2,1,2,2,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,0
Eucratea.loricata,0,1,5,0,0,2,0,0,4,0,6,0,0,0,0,0,6,0,6,0,0,0,6,0,0,0,0,2,4,6,0,0,0,0,6,0,0,0
Eudistoma.parvum,0,0,2,2,1,1,0,0,2,0,3,0,NA,NA,NA,NA,NA,1,2,0,0,0,3,0,0,0,0,1,2,3,0,0,0,0,3,0,0,0
Eugyra.sp..,0,3,0,0,0,0,0,0,3,0,0,3,3,0,0,0,0,1,2,0,3,0,0,3,0,0,0,0,0,3,0,0,0,0,3,0,0,0
Eunicidae,0,1,2,0,0,0,2,1,0,2,1,0,0,2,1,0,0,0,3,0,2,1,0,1,0,1,1,0,0,0,3,0,0,1,0,1,1,0
Eunoe.depressa,0,2,4,0,0,0,0,0,6,6,0,0,0,4,2,0,0,0,6,0,6,0,0,2,0,0,0,4,0,0,0,6,0,0,0,0,6,0
Eunoe.nodosa,0,0,6,0,0,0,0,0,6,6,0,0,0,4,2,0,0,2,4,0,6,0,0,4,0,0,0,2,0,0,6,0,0,0,0,0,6,0
Eunoe.oerstedi,0,2,4,0,0,0,0,0,6,6,0,0,0,4,2,0,0,2,4,0,6,0,0,6,0,0,0,0,0,NA,NA,NA,NA,0,0,0,6,0
Eunoe.sp.,0,2,4,0,0,0,0,0,6,6,0,0,0,4,2,0,0,2,4,0,6,0,0,4,0,0,0,2,0,0,2,2,0,0,0,0,6,0
Euphrosinidae,0,3,0,0,0,0,3,0,0,3,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,0,0,0,0,0,NA,NA,NA,NA,0,0,0,3,0
Eupyrgus.scaber,0,2,2,0,0,0,3,0,0,3,0,0,2,1,0,0,0,0,1,2,3,0,0,3,0,0,0,0,0,NA,NA,NA,NA,3,0,0,0,0
Eusirus.cuspidatus,0,2,4,0,0,0,0,0,6,0,0,6,0,0,0,6,0,0,4,2,6,0,0,6,0,0,0,0,0,0,2,0,4,0,0,0,6,0
Euspira.pallida,0,2,4,2,0,0,0,6,0,0,2,4,4,0,0,0,2,0,4,2,4,2,0,6,0,0,0,0,0,0,0,6,0,0,0,0,6,0
Evasterias.echinosoma,0,0,0,0,3,0,3,0,0,3,0,0,0,0,3,0,0,0,0,3,2,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0
Flabelligera.mastigophora,0,0,3,0,0,0,0,0,3,0,0,3,0,3,0,0,0,2,1,0,3,0,0,2,2,0,0,0,0,0,3,0,0,3,0,0,0,0
Flabellina.sp..,0,2,1,0,0,0,0,3,0,3,0,0,1,0,2,0,0,0,3,0,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0
Florometra,0,0,1,2,0,0,3,0,0,0,2,0,0,0,0,0,3,0,2,1,0,3,0,3,0,0,0,0,0,0,0,2,1,0,3,0,0,0
Gammaridae,1,2,1,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,2,1,2,1,0,0,0,3,0,0,0,0,0,3,0,2,1,0,0,0
Gastropoda,0,2,2,1,1,0,0,3,0,0,0,3,2,0,0,0,1,0,1,2,3,0,0,3,0,0,0,0,0,0,1,2,0,2,0,2,2,0
Gattyana.amondseni,2,4,0,0,0,0,6,0,0,6,0,0,0,4,2,0,0,2,4,0,6,0,0,2,0,0,4,0,0,0,6,0,0,0,0,0,6,0
Gattyana.ciliata,0,0,4,2,0,0,6,0,0,6,0,0,0,4,2,0,0,2,4,0,6,0,0,6,0,0,0,0,0,0,4,4,0,0,0,0,6,0
Gattyana.cirrhosa,0,0,4,2,0,0,6,0,0,6,0,0,0,4,2,0,0,2,4,0,4,2,0,2,0,0,4,2,0,0,4,2,0,0,0,0,6,0
Gattyana.sp.,0,0,4,2,0,0,6,0,0,6,0,0,0,4,2,0,0,2,4,0,4,2,0,4,0,0,4,2,0,0,4,2,0,0,0,0,6,0
Gaudichaudius.iphionelloides,0,3,0,0,0,NA,NA,NA,NA,NA,NA,NA,0,2,1,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA
Gersemia.rubiformis,0,4,4,0,0,0,0,0,6,0,6,0,2,0,0,0,4,0,6,0,0,0,6,0,0,0,0,0,6,6,0,0,0,0,6,0,0,0
Gorgonocephalus.sp.,0,0,0,4,2,0,0,6,0,0,6,0,0,0,4,0,4,0,0,6,4,2,0,6,0,0,0,0,0,0,0,6,0,0,4,4,4,0
Granotoma.albrechti,0,4,4,0,0,0,0,6,0,6,0,0,2,0,0,0,4,0,6,0,6,0,0,6,0,0,0,0,0,0,4,4,0,0,0,0,6,0
Halichondria.sp.,0,4,4,4,4,2,0,0,4,0,6,0,2,0,2,0,2,0,6,0,0,0,6,0,0,0,0,4,2,6,0,0,0,0,6,0,0,0
Haliclona.sp.,0,0,0,4,4,2,0,0,4,0,6,0,0,0,4,0,2,4,2,0,0,0,6,0,0,0,0,0,6,6,0,0,0,0,6,0,0,0
Halirages.nilssoni,0,6,0,0,0,0,0,0,6,0,0,6,0,0,0,6,0,0,4,2,6,0,0,6,0,0,0,0,0,0,0,0,6,0,6,0,0,0
Haliclystus.,0,2,2,0,0,0,3,0,0,0,2,0,0,0,0,0,3,0,2,1,0,3,0,3,0,0,0,0,0,0,0,2,1,0,3,0,0,0
Halocynthia.aurantium,0,0,0,4,4,0,6,0,0,6,0,0,4,0,0,0,4,0,2,4,4,2,0,0,0,0,0,0,6,6,0,0,0,0,6,0,0,0
Harmothoe.extenuata,0,6,0,0,0,0,0,0,6,6,0,0,0,4,2,0,0,2,4,0,4,2,0,2,0,0,4,2,0,0,6,0,0,0,0,0,6,0
Harmothoe.imbricata,0,6,0,0,0,0,2,0,4,2,0,4,0,4,2,0,0,2,4,0,4,2,0,4,0,0,0,2,0,0,4,4,4,2,0,0,6,0
Harmothoe.sp.,0,6,0,0,0,0,2,0,4,4,0,2,0,4,2,0,0,2,4,0,4,2,0,4,0,0,2,2,0,0,4,2,2,2,0,0,4,0
Henricia.sanguinolenta,0,0,3,0,0,0,1,0,2,0,3,0,0,0,3,0,0,0,0,3,2,1,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0
Henricia.sp.,0,2,2,1,0,0,1,0,2,0,3,0,0,0,3,0,0,0,2,2,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0
Henricia.tumida,0,1,2,0,0,0,1,0,2,0,3,0,0,0,3,0,0,0,2,2,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,3,0
Heteropora.sp.,0,2,2,4,4,2,0,0,4,0,6,0,0,0,0,0,6,0,4,2,0,0,6,0,0,0,0,0,6,6,0,0,0,0,6,0,0,0
Hexactinellida,0,2,2,0,0,1,0,0,2,0,3,0,0,0,0,0,3,1,1,1,2,1,0,0,0,0,0,0,3,3,0,0,0,0,3,0,0,0
Hiatella.arctica,0,6,0,0,0,0,6,0,0,6,0,0,0,0,0,6,0,2,4,0,4,2,0,0,0,0,0,4,4,6,0,0,0,0,6,0,0,0
Hippomedon.rylovi,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,1,2,0,2,1,0,3,0,0,0,0,0,0,0,2,2,0,0,2,1,0
Hippomedon.sp.,0,6,0,0,0,0,0,0,6,0,0,6,0,0,0,6,0,2,4,0,4,2,0,6,0,0,0,0,0,0,0,4,4,0,0,4,2,0
Holothuroidea,0,2,2,0,0,0,2,0,1,1,2,0,2,2,0,0,0,1,1,2,2,2,0,2,0,0,1,0,0,0,1,2,0,2,2,0,0,0
Hormathia.nodosa,0,0,0,3,0,0,0,0,3,0,1,2,1,0,0,0,2,0,1,2,2,2,0,0,0,0,0,0,3,2,0,1,0,0,NA,NA,NA,NA
Hyas.coarctatus,0,0,2,4,0,0,0,0,6,6,0,0,0,0,4,0,4,0,0,6,4,2,0,6,0,0,0,0,0,0,0,6,0,0,0,4,4,0
Hydrozoa,2,2,4,2,0,4,2,0,4,0,4,2,0,0,0,0,6,2,4,0,2,2,4,0,0,0,0,2,4,6,0,0,0,0,2,0,4,0
Ischyrocerus.latipes,0,4,2,0,0,0,0,0,6,0,0,6,0,0,0,6,0,0,6,0,4,4,0,2,0,4,0,0,0,0,0,0,6,0,6,0,0,0
Ischyrocerus.sp..,0,3,0,0,0,0,0,0,3,0,0,3,0,0,0,3,0,0,3,0,2,2,0,1,0,2,0,0,0,0,0,0,3,0,3,0,0,0
Isopoda,0,3,0,0,0,0,0,0,3,0,0,3,0,0,3,0,0,0,0,3,2,1,0,3,0,0,0,0,0,0,2,0,1,0,0,1,2,0
Labidochirus.splendescens,0,0,6,0,0,0,0,0,6,0,0,6,0,0,6,0,2,0,0,6,4,2,0,6,0,0,0,0,0,0,0,6,0,2,0,4,4,0
Lacuna.crassior,0,4,2,0,0,0,0,6,0,NA,NA,NA,4,0,0,0,2,2,4,0,6,0,0,6,0,0,0,0,0,0,0,6,0,6,0,0,0,0
Lafoeina.maxima,0,0,6,0,0,2,0,0,4,NA,NA,NA,0,0,0,0,6,4,2,0,0,0,6,0,0,0,0,2,4,6,0,0,0,0,6,0,0,0
Latisipho.hypolispus,0,0,2,1,0,0,0,3,0,0,0,3,1,0,0,0,2,1,2,1,3,0,0,3,0,0,0,0,0,0,0,3,0,0,0,2,2,0
Lebbeus.groenlandicus,0,0,6,0,0,0,0,0,6,4,0,2,0,0,0,6,0,0,2,4,6,0,0,6,0,0,0,0,0,0,0,4,4,0,0,0,6,0
