"","BF1","BF2","BF3","BF4","BF5","BS1","BS2","BS3","BS4","BS5","FH1","FH2","FH3","FH4","FH5","F1","F2","F3","LD1","LD2","LD3","LH1","LH2","LH3","LH4","LH5","LH6","MV1","MV2","MV3","MV4","R1","R2","R3","R4","SO1","SO2","SO3"
"Didemnum.albidum",0,0,6,0,0,0,3,3,0,0,0,6,0,0,0,2,4,0,0,6,0,0,0,0,0,2,4,6,0,0,0,2,0,0,4,0,0,6
"Distaplia.alaskensis",0,0,3,0,0,0,2,1,0,0,0,3,0,0,0,1,2,0,0,3,0,0,0,0,0,0,3,3,0,0,0,1,0,0,2,0,0,3
"Distaplia.occidentalis",3,0,0,0,0,0,0,2,2,0,0,3,0,0,0,0,3,0,0,3,0,0,0,0,0,0,3,3,0,0,0,1,0,0,2,0,0,3
"Dulichia.spinosissima",0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,3,0,0,0,0,3,0,0,2,0,1,0,0,0,2,1,0,0,0,3,3,0,0
"Echinarachnius.parma",1,0,3,0,0,0,0,2,1,0,2,2,0,0,0,0,2,1,0,0,2,2,0,0,2,0,0,0,3,0,0,0,3,0,0,1,2,0
"Edwardsia.sp..",0,3,0,0,0,0,0,3,0,0,3,0,0,0,0,1,2,0,1,2,0,0,2,0,1,0,0,1,2,0,0,1,2,0,0,1,2,0
"Ericthonius.sp.",0,0,0,3,0,2,2,0,0,0,0,3,0,0,0,0,3,0,0,0,3,0,0,3,0,0,0,0,0,1,2,0,0,0,3,3,0,0
"Eteone.spetsbergensis",0,3,0,0,0,0,3,0,0,0,1,0,0,2,0,1,2,0,0,3,0,1,0,0,2,0,0,0,3,0,0,0,0,0,3,3,0,0
"Eualus.sp..",0,0,0,3,0,0,2,2,0,0,0,0,0,3,0,0,2,1,3,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,3,2,2,0
"Eucratea.loricata",0,0,0,0,6,0,1,5,0,0,0,6,0,0,0,0,6,0,0,6,0,0,0,0,0,2,4,6,0,0,0,2,0,0,4,0,0,6
"Eudistoma.parvum",NA,NA,NA,NA,NA,0,0,2,2,1,0,3,0,0,0,1,2,0,0,3,0,0,0,0,0,1,2,3,0,0,0,1,0,0,2,0,0,3
"Eugyra.sp..",3,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,2,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,3,3,0,0
"Eunicidae",0,2,1,0,0,0,1,2,0,0,1,0,1,1,0,0,3,0,2,1,0,1,0,1,1,0,0,0,3,0,0,0,2,1,0,2,1,0
"Eunoe.depressa",0,4,2,0,0,0,2,4,0,0,0,0,0,6,0,0,6,0,6,0,0,2,0,0,0,4,0,0,0,6,0,0,0,0,6,6,0,0
"Eunoe.nodosa",0,4,2,0,0,0,0,6,0,0,0,0,0,6,0,2,4,0,6,0,0,4,0,0,0,2,0,0,6,0,0,0,0,0,6,6,0,0
"Eunoe.oerstedi",0,4,2,0,0,0,2,4,0,0,0,0,0,6,0,2,4,0,6,0,0,6,0,0,0,0,0,NA,NA,NA,NA,0,0,0,6,6,0,0
"Eunoe.sp.",0,4,2,0,0,0,2,4,0,0,0,0,0,6,0,2,4,0,6,0,0,4,0,0,0,2,0,0,2,2,0,0,0,0,6,6,0,0
"Euphrosinidae",NA,NA,NA,NA,NA,0,3,0,0,0,0,0,0,3,0,NA,NA,NA,3,0,0,3,0,0,0,0,0,NA,NA,NA,NA,0,3,0,0,NA,NA,NA
"Eupyrgus.scaber",2,1,0,0,0,0,2,2,0,0,3,0,0,0,0,0,1,2,3,0,0,3,0,0,0,0,0,NA,NA,NA,NA,0,3,0,0,3,0,0
