Species;Place;Ring;Room;Sex;Experiment;Exp;Date;dpi;Mass;BMR;Bad;Leaks;Phase;Parasitemy;Survival
Spinus spinus;Rybachy;xj27265;Sparta;m;Exp_1;1;02.09.2020;12;13,26;19,23726326;0;0;2;15;Yes
Spinus spinus;Rybachy;xj27268;Sparta;f;Exp_1;1;02.09.2020;12;13;16,56567108;0;0;2;20;Yes
Spinus spinus;Rybachy;xj26746;Siskinary;m;Exp_2;1;03.09.2020;9;12,29;22,46877742;0;0;2;2,255;Yes
Spinus spinus;Rybachy;xj27031;Siskinary;m;Exp_2;1;03.09.2020;9;11,93;24,06257917;0;0;2;1,7;No
Spinus spinus;Rybachy;xj27247;Sparta;f;Exp_1;1;03.09.2020;13;11,69;19,63052411;0;0;2;20,83333333;No
Spinus spinus;Rybachy;xj27259;Sparta;m;Exp_1;1;03.09.2020;13;12,59;21,51517324;0;0;2;38,33333333;No
Spinus spinus;Rybachy;xj26909;Siskinary;m;Exp_2;1;04.09.2020;10;13,74;25,49214784;0;0;2;0,896666667;No
Spinus spinus;Rybachy;xj27015;Siskinary;m;Exp_2;1;04.09.2020;10;13,53;19,22724343;0;0;2;1,603333333;Yes
Spinus spinus;Rybachy;xj27243;Sparta;m;Exp_2;1;04.09.2020;10;13,89;18,55635662;0;0;2;0,9;Yes
Spinus spinus;Rybachy;xj27274;Sparta;m;Exp_2;1;04.09.2020;10;12,52;16,33584968;0;0;2;0,95;Yes
Spinus spinus;Rybachy;xj27155;Siskinary;m;Exp_2;1;05.09.2020;11;12,96;20,00856983;0;0;2;8,35;Yes
Spinus spinus;Rybachy;xj27181;Siskinary;m;Exp_2;1;05.09.2020;11;13,5;25,12084603;0;0;2;1,425;No
Spinus spinus;Rybachy;xj27402;Sparta;m;Exp_2;1;05.09.2020;11;14,13;23,46029927;0;0;2;0,835;Yes
Spinus spinus;Rybachy;xj27410;Sparta;m;Exp_2;1;05.09.2020;11;12,99;21,56015703;0;0;2;0,42;Yes
Spinus spinus;Rybachy;xj27225;Siskinary;f;Exp_2;1;07.09.2020;13;11,66;25,7768258;0;0;2;12,5;No
Spinus spinus;Rybachy;xj27255;Sparta;m;Exp_2;1;07.09.2020;13;13,22;21,66816669;0;0;2;1,591666667;Yes
Spinus spinus;Rybachy;xj27394;Sparta;m;Exp_2;1;07.09.2020;13;12,47;21,85226673;0;0;2;2,775;No
Spinus spinus;Rybachy;xj27400;Sparta;m;Exp_2;1;07.09.2020;13;12,33;21,18532417;0;0;2;6,416666667;Yes
Spinus spinus;Rybachy;xj21523;Sparta;f;Exp_2;1;08.09.2020;14;11,54;23,42642694;0;0;2;14,94666667;No
Spinus spinus;Rybachy;xj26793;Siskinary;m;Cont;0;08.09.2020;9;13,87;25,79199958;0;0;2;0;Yes
Spinus spinus;Rybachy;xj27075;Sparta;f;Exp_2;1;08.09.2020;14;13,4;24,08576563;0;0;2;27,33333333;Yes
Spinus spinus;Rybachy;xj27381;Sparta;m;Exp_2;1;08.09.2020;14;12,72;23,06078944;0;0;2;12,16666667;Yes
Spinus spinus;Rybachy;xj21557;Siskinary;m;Cont;0;09.09.2020;10;13,18;20,39734166;0;0;2;0;Yes
Spinus spinus;Rybachy;xj26977;Siskinary;m;Cont;0;09.09.2020;10;12,57;23,28372668;0;0;2;0;Yes
Spinus spinus;Rybachy;xj27084;Siskinary;m;Cont;0;09.09.2020;10;13,7;21,96393084;0;0;2;0;Yes
Spinus spinus;Rybachy;xj27143;Siskinary;m;Cont;0;09.09.2020;10;11,91;24,39818657;0;0;2;0;Yes
Spinus spinus;Rybachy;xj26984;Sparta;m;Cont;0;10.09.2020;11;13,1;23,84266299;0;0;2;0;Yes
Spinus spinus;Rybachy;xj27403;Sparta;m;Cont;0;10.09.2020;11;12,17;25,16109708;0;0;2;0;No
Spinus spinus;Rybachy;xj27404;Sparta;m;Cont;0;10.09.2020;11;12,8;26,24552865;0;0;2;0;No
Spinus spinus;Rybachy;xj27406;Sparta;m;Cont;0;10.09.2020;11;13,41;25,2389191;0;0;2;0;Yes
Spinus spinus;Rybachy;xj21514;Siskinary;m;Cont;0;11.09.2020;12;13,13;21,50579847;0;0;2;0;Yes
Spinus spinus;Rybachy;xj27085;Siskinary;m;Cont;0;11.09.2020;12;13,36;22,18390871;0;0;2;0;Yes
Spinus spinus;Rybachy;xj27247;Sparta;f;Exp_1;1;11.09.2020;21;9,67;15,77173204;0;0;3;67,5;No
Spinus spinus;Rybachy;xj27265;Sparta;m;Exp_1;1;11.09.2020;21;11,69;22,66311009;0;0;3;90;Yes
Spinus spinus;Rybachy;xj21528;Sparta;m;Cont;0;12.09.2020;13;12,73;24,93935942;0;0;2;0;Yes
Spinus spinus;Rybachy;xj26972;Siskinary;f;Cont;0;12.09.2020;13;13,35;28,58562724;0;0;2;0;Yes
Spinus spinus;Rybachy;xj27156;Siskinary;m;Exp_1;1;13.09.2020;23;13,63;27,77486845;0;0;3;54,16666667;Yes
Spinus spinus;Rybachy;xj27181;Siskinary;m;Exp_2;1;13.09.2020;19;10,07;18,78713912;0;0;3;12;No
Spinus spinus;Rybachy;xj27186;Siskinary;m;Exp_1;1;13.09.2020;23;10,91;18,83307273;0;0;3;84,16666667;No
Spinus spinus;Rybachy;xj27231;Siskinary;f;Cont;0;13.09.2020;14;12,14;24,93581079;0;0;2;0;Yes
Spinus spinus;Rybachy;xj26917;Siskinary;f;Exp_1;1;14.09.2020;24;11,24;19,80161738;0;0;3;65;Yes
Spinus spinus;Rybachy;xj27171;Siskinary;m;Exp_1;1;14.09.2020;24;9,78;19,11641161;0;0;3;90;No
Spinus spinus;Rybachy;xj27173;Siskinary;m;Exp_1;1;14.09.2020;24;13,31;23,94907618;0;0;3;0,1;Yes
Spinus spinus;Rybachy;xj27183;Siskinary;m;Exp_1;1;14.09.2020;24;13,33;22,17328571;0;0;3;2,5;Yes
Spinus spinus;Rybachy;xj27260;Sparta;m;Exp_1;1;15.09.2020;25;13,37;22,71904385;0;0;3;3,343333333;Yes
Spinus spinus;Rybachy;xj27266;Sparta;m;Exp_1;1;15.09.2020;25;12,91;20,00385466;0;0;3;0,093333333;Yes
Spinus spinus;Rybachy;xj27407;Sparta;m;Exp_1;1;15.09.2020;25;13,1;20,11770665;0;0;3;10,66666667;Yes
Spinus spinus;Rybachy;xj27409;Sparta;m;Exp_1;1;15.09.2020;25;14,27;21,78175324;0;0;3;20,85;Yes
Spinus spinus;Rybachy;xj26909;Siskinary;m;Exp_2;1;16.09.2020;22;11,88;22,97756226;0;0;3;27;No
Spinus spinus;Rybachy;xj27015;Siskinary;m;Exp_2;1;16.09.2020;22;13,88;27,48511016;0;0;3;64;Yes
Spinus spinus;Rybachy;xj27268;Sparta;f;Exp_1;1;16.09.2020;26;13,11;20,97504331;0;0;3;2,333333333;Yes
Spinus spinus;Rybachy;xj26746;Siskinary;m;Exp_2;1;17.09.2020;23;12,41;24,66389134;0;0;3;7,916666667;Yes
Spinus spinus;Rybachy;xj27155;Siskinary;m;Exp_2;1;17.09.2020;23;13,32;27,44832372;0;0;3;6,666666667;Yes
Spinus spinus;Rybachy;xj27243;Sparta;m;Exp_2;1;17.09.2020;23;13,76;27,43793217;0;0;3;38;Yes
Spinus spinus;Rybachy;xj27274;Sparta;m;Exp_2;1;17.09.2020;23;12,35;22,86370381;0;0;3;38,33333333;Yes
Spinus spinus;Rybachy;xj27394;Sparta;m;Exp_2;1;18.09.2020;24;10,31;19,55206707;0;0;3;60;No
Spinus spinus;Rybachy;xj27400;Sparta;m;Exp_2;1;18.09.2020;24;12,88;23,45082205;0;0;3;17;Yes
Spinus spinus;Rybachy;xj27402;Sparta;m;Exp_2;1;18.09.2020;24;11,66;25,16709078;0;0;3;10;Yes
Spinus spinus;Rybachy;xj27410;Sparta;m;Exp_2;1;18.09.2020;24;12,77;24,78246503;0;0;3;7;Yes
Spinus spinus;Rybachy;xj26793;Siskinary;m;Cont;0;19.09.2020;20;13,01;26,01425421;0;0;3;0;Yes
Spinus spinus;Rybachy;xj27075;Sparta;f;Exp_2;1;19.09.2020;25;11,12;20,17673138;0;0;3;50;Yes
Spinus spinus;Rybachy;xj27255;Sparta;m;Exp_2;1;19.09.2020;25;13,42;26,66344596;0;0;3;39,08333333;Yes
Spinus spinus;Rybachy;xj27381;Sparta;m;Exp_2;1;19.09.2020;25;12,31;23,25927097;0;0;3;43,75;Yes
Spinus spinus;Rybachy;xj21557;Siskinary;m;Cont;0;20.09.2020;21;12,28;23,9629321;0;0;3;0;Yes
Spinus spinus;Rybachy;xj26977;Siskinary;m;Cont;0;20.09.2020;21;12,71;25,34668548;0;0;3;0;Yes
Spinus spinus;Rybachy;xj27084;Siskinary;m;Cont;0;20.09.2020;21;13,37;24,62266556;0;0;3;0;Yes
Spinus spinus;Rybachy;xj27143;Siskinary;m;Cont;0;20.09.2020;21;12,8;24,77906853;0;0;3;0;Yes
Spinus spinus;Rybachy;xj21514;Siskinary;m;Cont;0;21.09.2020;22;12,94;20,75545174;0;0;3;0;Yes
Spinus spinus;Rybachy;xj26972;Siskinary;f;Cont;0;21.09.2020;22;14,61;23,34058825;0;0;3;0;Yes
Spinus spinus;Rybachy;xj27085;Siskinary;m;Cont;0;21.09.2020;22;13,7;22,31121037;0;0;3;0;Yes
Spinus spinus;Rybachy;xj27231;Siskinary;f;Cont;0;21.09.2020;22;13,07;24,1941765;0;0;3;0;Yes
Spinus spinus;Rybachy;xj26984;Sparta;m;Cont;0;22.09.2020;23;11,76;23,06065975;0;0;3;0;Yes
Spinus spinus;Rybachy;xj27403;Sparta;m;Cont;0;22.09.2020;23;12,11;22,67607937;0;0;3;0;No
Spinus spinus;Rybachy;xj27404;Sparta;m;Cont;0;22.09.2020;23;13,01;26,70882151;0;0;3;0;No
Spinus spinus;Rybachy;xj27406;Sparta;m;Cont;0;22.09.2020;23;13,65;23,95710902;0;0;3;0;Yes
Spinus spinus;Rybachy;xj21517;Sparta;f;Cont;0;23.09.2020;24;12,61;23,5512653;0;0;3;0;Yes
Spinus spinus;Rybachy;xj21528;Sparta;m;Cont;0;23.09.2020;24;12,86;23,81450812;0;0;3;0;Yes
Spinus spinus;Rybachy;xj27093;Sparta;m;Cont;0;23.09.2020;24;12,81;22,45913898;0;0;3;0;Yes
Spinus spinus;Rybachy;xj27261;Sparta;f;Cont;0;23.09.2020;24;11,87;22,99374138;0;0;3;0;Yes
Spinus spinus;Rybachy;xj26917;Siskinary;f;Exp_1;1;24.09.2020;34;11,72;21,04178586;0;0;4;0;Yes
Spinus spinus;Rybachy;xj27156;Siskinary;m;Exp_1;1;24.09.2020;34;12,25;28,85926125;0;0;4;16,68;Yes
Spinus spinus;Rybachy;xj27173;Siskinary;m;Exp_1;1;24.09.2020;34;13,03;24,31350803;0;0;4;0,136666667;Yes
Spinus spinus;Rybachy;xj27183;Siskinary;m;Exp_1;1;24.09.2020;34;13,25;22,18305821;0;0;4;2,666666667;Yes
Spinus spinus;Rybachy;xj27265;Sparta;m;Exp_1;1;25.09.2020;35;13,3;26,21662723;0;1;4;19,41666667;Yes
Spinus spinus;Rybachy;xj27266;Sparta;m;Exp_1;1;25.09.2020;35;12,54;25,97909669;0;1;4;0,218333333;Yes
Spinus spinus;Rybachy;xj27407;Sparta;m;Exp_1;1;25.09.2020;35;15,52;23,6359045;0;1;4;0,833333333;Yes
Spinus spinus;Rybachy;xj27409;Sparta;m;Exp_1;1;25.09.2020;35;15,24;21,38539872;0;1;4;0,233333333;Yes
Spinus spinus;Rybachy;xj26746;Siskinary;m;Exp_2;1;26.09.2020;32;12,6;24,84598927;0;1;4;1,686666667;Yes
Spinus spinus;Rybachy;xj27015;Siskinary;m;Exp_2;1;26.09.2020;32;13,63;26,27315872;0;1;4;4,2;Yes
Spinus spinus;Rybachy;xj27260;Sparta;m;Exp_1;1;26.09.2020;36;13,24;25,12255188;0;1;4;0,04;Yes
Spinus spinus;Rybachy;xj27268;Sparta;f;Exp_1;1;26.09.2020;36;12,77;21,80636522;0;1;4;0,06;Yes
Spinus spinus;Rybachy;xj27155;Siskinary;m;Exp_2;1;28.09.2020;34;11,8;22,4233208;0;1;4;1,466666667;Yes
Spinus spinus;Rybachy;xj27243;Sparta;m;Exp_2;1;28.09.2020;34;15,34;25,59197135;0;1;4;5,35;Yes
Spinus spinus;Rybachy;xj27274;Sparta;m;Exp_2;1;28.09.2020;34;12,43;21,1038833;0;1;4;4,566666667;Yes
Spinus spinus;Rybachy;xj27402;Sparta;m;Exp_2;1;28.09.2020;34;12,21;23,40820548;0;1;4;1,566666667;Yes
Spinus spinus;Rybachy;xj27255;Sparta;m;Exp_2;1;29.09.2020;35;13,58;25,02141158;0;1;4;55,75;Yes
Spinus spinus;Rybachy;xj27381;Sparta;m;Exp_2;1;29.09.2020;35;13,07;23,00684104;0;1;4;10,41666667;Yes
Spinus spinus;Rybachy;xj27400;Sparta;m;Exp_2;1;29.09.2020;35;13,08;22,36367892;0;1;4;1,433333333;Yes
Spinus spinus;Rybachy;xj27410;Sparta;m;Exp_2;1;29.09.2020;35;13,22;24,1691636;0;1;4;3,05;Yes
Spinus spinus;Rybachy;xj26793;Siskinary;m;Cont;0;30.09.2020;31;12,82;24,38165968;0;1;4;0;Yes
Spinus spinus;Rybachy;xj26977;Siskinary;m;Cont;0;30.09.2020;31;12,46;23,29357693;0;1;4;0;Yes
Spinus spinus;Rybachy;xj27075;Sparta;f;Exp_2;1;30.09.2020;31;12,08;22,84186475;0;1;4;20;Yes
Spinus spinus;Rybachy;xj27143;Siskinary;m;Cont;0;30.09.2020;31;12,8;25,92245587;0;1;4;0;Yes
