Ring;Date;Experiment;RMR;IL
xj27400;12.10.2020;Exp2;"24,22901455";"6,37"
xj27402;22.08.2020;Exp2;"21,69087349";"9,98"
xj27402;05.09.2020;Exp2;"23,46029927";"11,94"
xj27402;18.09.2020;Exp2;"25,16709078";"10,24"
xj27402;28.09.2020;Exp2;"23,40820548";"14,99333333"
xj27402;12.10.2020;Exp2;"21,85521438";"6,66"
xj27410;21.08.2020;Exp2;"23,98760275";"8,43"
xj27410;05.09.2020;Exp2;"21,56015703";"17,30833333"
xj27410;18.09.2020;Exp2;"24,78246503";"14,22"
xj27410;29.09.2020;Exp2;"24,1691636";"10,05666667"
xj27410;12.10.2020;Exp2;"23,60161473";"6,48"
