Species;Place;Ring;Room;Sex;Experiment;Exp;Date;dpi;Mass;MassSpecificRMR;RMR;Bad;Phase;Parasitemy
Spinus spinus;Rybachy;xj27085;Siskinary;m;Cont;0;26.08.2020;0;13,94;3,08493668;20,74637647;0;1;0
Spinus spinus;Rybachy;xj27085;Siskinary;m;Cont;0;11.09.2020;12;13,36;3,441901082;22,18390871;0;2;0
Spinus spinus;Rybachy;xj27085;Siskinary;m;Cont;0;21.09.2020;22;13,7;3,375742704;22,31121037;0;3;0
Spinus spinus;Rybachy;xj27085;Siskinary;m;Cont;0;01.10.2020;32;13,48;3,52261361;22,90805026;0;4;0
Spinus spinus;Rybachy;xj27085;Siskinary;m;Cont;0;08.10.2020;39;13,55;3,702261684;24,20135231;0;5;0
Spinus spinus;Rybachy;xj27093;Sparta;m;Cont;0;27.08.2020;0;13,3;3,342978269;21,44956163;0;1;0
Spinus spinus;Rybachy;xj27093;Sparta;m;Cont;0;23.09.2020;24;12,81;3,634216087;22,45913898;0;3;0
Spinus spinus;Rybachy;xj27093;Sparta;m;Cont;0;03.10.2020;34;12,88;3,650990776;22,68609911;0;4;0
Spinus spinus;Rybachy;xj27093;Sparta;m;Cont;0;16.10.2020;47;12,96;3,381118246;21,13968868;0;5;0
Spinus spinus;Rybachy;xj27143;Siskinary;m;Cont;0;25.08.2020;0;12,94;4,250775019;26,53601001;0;1;0
Spinus spinus;Rybachy;xj27143;Siskinary;m;Cont;0;09.09.2020;10;11,91;4,246318445;24,39818657;0;2;0
Spinus spinus;Rybachy;xj27143;Siskinary;m;Cont;0;20.09.2020;21;12,8;4,012747019;24,77906853;0;3;0
Spinus spinus;Rybachy;xj27143;Siskinary;m;Cont;0;30.09.2020;31;12,8;4,197908303;25,92245587;0;4;0
Spinus spinus;Rybachy;xj27143;Siskinary;m;Cont;0;14.10.2020;45;12,88;4,101604618;25,48607066;0;5;0
Spinus spinus;Rybachy;xj27155;Siskinary;m;Exp_2;1;16.08.2020;0;13,52;3,016385171;19,67418338;0;1;0
Spinus spinus;Rybachy;xj27155;Siskinary;m;Exp_2;1;05.09.2020;11;12,96;3,200205147;20,00856983;0;2;8,35
Spinus spinus;Rybachy;xj27155;Siskinary;m;Exp_2;1;17.09.2020;23;13,32;4,271479987;27,44832372;0;3;6,666666667
Spinus spinus;Rybachy;xj27155;Siskinary;m;Exp_2;1;28.09.2020;34;11,8;3,938988351;22,4233208;0;4;1,466666667
