"Year","Season","Bank","Sample","L","Status","Number_of_crushed"
1996,"August","vor2","4",29,"alive",NA
1996,"August","vor2","4",30,"alive",NA
1996,"August","vor2","4",17,"alive",NA
1996,"August","vor2","4",21,"alive",NA
1996,"August","vor2","4",40,"alive",NA
1996,"August","vor2","4",20,"alive",NA
1996,"August","vor2","4",16,"alive",NA
1996,"August","vor2","4",40,"alive",NA
1996,"August","vor2","4",19,"alive",NA
1996,"August","vor2","4",24,"alive",NA
1996,"August","vor2","3",39,"alive",NA
1996,"August","vor2","3",30,"alive",NA
1996,"August","vor2","3",29,"alive",NA
1996,"August","vor2","3",28,"alive",NA
1996,"August","vor2","3",35,"alive",NA
1996,"August","vor2","3",23,"alive",NA
1996,"August","vor2","3",22,"alive",NA
1996,"August","vor2","3",15,"alive",NA
1996,"August","vor2","3",36,"alive",NA
1996,"August","vor2","3",36,"alive",NA
1996,"August","vor2","3",30,"alive",NA
1996,"August","vor2","3",16,"alive",NA
1996,"August","vor2","3",45,"alive",NA
1996,"August","vor2","3",30,"alive",NA
1996,"August","vor2","3",22,"alive",NA
1996,"August","vor2","3",20,"alive",NA
1996,"August","vor2","3",30,"alive",NA
1996,"August","vor2","3",38,"alive",NA
1996,"August","vor2","3",13,"alive",NA
1996,"August","vor2","3",32,"alive",NA
1996,"August","vor2","3",32,"alive",NA
1996,"August","vor2","3",32,"alive",NA
1996,"August","vor2","3",25,"alive",NA
1996,"August","vor2","3",37,"alive",NA
1996,"August","vor2","3",23,"alive",NA
1996,"August","vor2","3",30,"alive",NA
1996,"August","vor2","3",29,"alive",NA
1996,"August","vor2","3",25,"alive",NA
1996,"August","vor2","3",32,"alive",NA
1996,"August","vor2","3",39,"alive",NA
1996,"August","vor2","3",19,"alive",NA
1996,"August","vor2","3",26,"alive",NA
1996,"August","vor2","3",32,"alive",NA
1996,"August","vor2","3",18,"alive",NA
1996,"August","vor2","3",26,"alive",NA
1996,"August","vor2","3",29,"alive",NA
1996,"August","vor2","3",19,"alive",NA
1996,"August","vor2","3",16,"alive",NA
1996,"August","vor2","3",30,"alive",NA
1996,"August","vor2","3",17,"alive",NA
1996,"August","vor2","3",19,"alive",NA
1996,"August","vor2","1",32,"alive",NA
1996,"August","vor2","1",22,"alive",NA
1996,"August","vor2","1",21,"alive",NA
1996,"August","vor2","1",25,"alive",NA
1996,"August","vor2","1",32,"alive",NA
1996,"August","vor2","1",32,"alive",NA
1996,"August","vor2","1",24,"alive",NA
1996,"August","vor2","1",26,"alive",NA
1996,"August","vor2","1",27,"alive",NA
1996,"August","vor2","1",16,"alive",NA
1996,"August","vor2","1",28,"alive",NA
1996,"August","vor2","1",26,"alive",NA
1996,"August","vor2","1",30,"alive",NA
1996,"August","vor2","1",27,"alive",NA
1996,"August","vor2","1",23,"alive",NA
1996,"August","vor2","1",29,"alive",NA
1996,"August","vor2","1",22,"alive",NA
1996,"August","vor2","1",26,"alive",NA
1996,"August","vor2","1",15,"alive",NA
1996,"August","vor2","1",23,"alive",NA
1996,"August","vor2","1",27,"alive",NA
1996,"August","vor2","1",29,"alive",NA
1996,"August","vor2","1",26,"alive",NA
1996,"August","vor2","1",24,"alive",NA
1996,"August","vor2","1",12,"alive",NA
1996,"August","vor2","1",23,"alive",NA
1996,"August","vor2","1",23,"alive",NA
1996,"August","vor2","1",13,"alive",NA
1996,"August","vor2","1",22,"alive",NA
1996,"August","vor2","1",28,"alive",NA
1996,"August","vor2","1",26,"alive",NA
1996,"August","vor2","1",26,"alive",NA
1996,"August","vor2","1",18,"alive",NA
1996,"August","vor2","1",24,"alive",NA
1996,"August","vor2","1",13,"alive",NA
1996,"August","vor2","1",28,"alive",NA
1996,"August","vor2","1",23,"alive",NA
1996,"August","vor2","1",28,"alive",NA
1996,"August","vor2","1",32,"alive",NA
1996,"August","vor2","1",27,"alive",NA
1996,"August","vor2","1",32,"alive",NA
1996,"August","vor2","1",30,"alive",NA
1996,"August","vor2","1",18,"alive",NA
1996,"August","vor2","1",24,"alive",NA
1996,"August","vor2","1",25,"alive",NA
1996,"August","vor2","1",26,"alive",NA
1996,"August","vor2","1",18,"alive",NA
1996,"August","vor2","1",29,"alive",NA
1996,"August","vor2","1",25,"alive",NA
1996,"August","vor2","1",24,"alive",NA
1996,"August","vor2","1",13,"alive",NA
1996,"August","vor2","1",33,"alive",NA
1996,"August","vor2","1",31,"alive",NA
1996,"August","vor2","1",21,"alive",NA
1996,"August","vor2","1",14,"alive",NA
1996,"August","vor2","1",29,"alive",NA
1996,"August","vor2","1",25,"alive",NA
1996,"August","vor2","1",27,"alive",NA
1996,"August","vor2","1",16,"alive",NA
1996,"August","vor4","3",36,"alive",NA
1996,"August","vor4","3",25,"alive",NA
1996,"August","vor4","3",24,"alive",NA
1996,"August","vor4","3",35,"alive",NA
1996,"August","vor4","3",32,"alive",NA
1996,"August","vor4","3",35,"alive",NA
1996,"August","vor4","3",28,"alive",NA
1996,"August","vor4","3",26,"alive",NA
1996,"August","vor4","3",25,"alive",NA
1996,"August","vor4","3",30,"alive",NA
1996,"August","vor4","3",31,"alive",NA
1996,"August","vor4","3",28,"alive",NA
1996,"August","vor4","3",20,"alive",NA
1996,"August","vor4","3",26,"alive",NA
1996,"August","vor4","3",27,"alive",NA
1996,"August","vor4","3",26,"alive",NA
1996,"August","vor4","3",27,"alive",NA
1996,"August","vor4","3",25,"alive",NA
1996,"August","vor4","3",20,"alive",NA
1996,"August","vor4","3",28,"alive",NA
1996,"August","vor4","3",19,"alive",NA
1996,"August","vor4","3",25,"alive",NA
1996,"August","vor4","3",23,"alive",NA
1996,"August","vor4","3",25,"alive",NA
1996,"August","vor4","3",20,"alive",NA
1996,"August","vor4","3",19,"alive",NA
1996,"August","vor4","3",18,"alive",NA
1996,"August","vor4","3",17,"alive",NA
1996,"August","vor4","3",25,"alive",NA
1996,"August","vor4","3",21,"alive",NA
1996,"August","vor4","3",19,"alive",NA
1996,"August","vor4","3",22,"alive",NA
1996,"August","vor4","3",19,"alive",NA
1996,"August","vor4","3",21,"alive",NA
1996,"August","vor4","3",21,"alive",NA
1996,"August","vor4","3",26,"alive",NA
1996,"August","vor4","3",22,"alive",NA
1996,"August","vor4","3",22,"alive",NA
1996,"August","vor4","3",17,"alive",NA
1996,"August","vor4","3",17,"alive",NA
1996,"August","vor4","3",18,"alive",NA
1996,"August","vor4","3",15,"alive",NA
1996,"August","vor4","3",23,"alive",NA
1996,"August","vor4","3",19,"alive",NA
1996,"August","vor4","3",18,"alive",NA
1996,"August","vor4","3",18,"alive",NA
1996,"August","vor4","3",15,"alive",NA
1996,"August","vor4","3",17,"alive",NA
1996,"August","vor4","3",18,"alive",NA
1996,"August","vor4","3",20,"alive",NA
1996,"August","vor4","3",17,"alive",NA
1996,"August","vor4","3",6,"alive",NA
1996,"August","vor4","3",9,"alive",NA
1996,"August","vor4","3",7,"alive",NA
1996,"August","vor4","3",8,"alive",NA
1996,"August","vor4","3",7,"alive",NA
1996,"August","vor4","3",6,"alive",NA
1996,"August","vor4","3",8,"alive",NA
1996,"August","vor4","3",4,"alive",NA
1996,"August","vor4","3",5,"alive",NA
1996,"August","vor4","3",2,"alive",NA
1996,"August","vor4","3",6,"alive",NA
1996,"August","vor4","3",5,"alive",NA
1996,"August","vor4","3",8,"alive",NA
1996,"August","vor4","3",4,"alive",NA
1996,"August","vor4","3",6,"alive",NA
1996,"August","vor4","3",6,"alive",NA
1996,"August","vor4","3",3,"alive",NA
1996,"August","vor4","3",4,"alive",NA
1996,"August","vor4","3",3,"alive",NA
1996,"August","vor4","3",7,"alive",NA
1996,"August","vor4","3",4,"alive",NA
1996,"August","vor4","3",6,"alive",NA
1996,"August","vor4","3",5,"alive",NA
1996,"August","vor4","3",4,"alive",NA
1996,"August","vor4","3",6,"alive",NA
1996,"August","vor4","3",4,"alive",NA
1996,"August","vor4","3",6,"alive",NA
1996,"August","vor4","3",2,"alive",NA
1996,"August","vor4","3",3,"alive",NA
1996,"August","vor4","3",3,"alive",NA
1996,"August","vor4","3",3,"alive",NA
1996,"August","vor4","3",3,"alive",NA
1996,"August","vor4","3",6,"alive",NA
1996,"August","vor4","3",4,"alive",NA
1996,"August","vor4","3",5,"alive",NA
1996,"August","vor4","3",5,"alive",NA
1996,"August","vor4","3",1,"alive",NA
1996,"August","vor4","3",6,"alive",NA
1996,"August","vor4","3",8,"alive",NA
1996,"August","vor4","3",3,"alive",NA
1996,"August","vor4","3",14,"alive",NA
1996,"August","vor4","3",4,"alive",NA
1996,"August","vor4","3",10,"alive",NA
1996,"August","vor4","3",5,"alive",NA
1996,"August","vor4","3",16,"alive",NA
1996,"August","vor4","3",7,"alive",NA
1996,"August","vor4","3",11,"alive",NA
1996,"August","vor4","3",9,"alive",NA
1996,"August","vor4","3",13,"alive",NA
1996,"August","vor4","3",9,"alive",NA
1996,"August","vor4","3",6,"alive",NA
1996,"August","vor4","3",9,"alive",NA
1996,"August","vor4","3",12,"alive",NA
1996,"August","vor4","3",4,"alive",NA
1996,"August","vor4","3",3,"alive",NA
1996,"August","vor4","3",4,"alive",NA
1996,"August","vor4","3",3,"alive",NA
1996,"August","vor4","5",33,"alive",NA
1996,"August","vor4","5",32,"alive",NA
1996,"August","vor4","5",36,"alive",NA
1996,"August","vor4","5",23,"alive",NA
1996,"August","vor4","5",32,"alive",NA
1996,"August","vor4","5",27,"alive",NA
1996,"August","vor4","5",34,"alive",NA
1996,"August","vor4","5",31,"alive",NA
1996,"August","vor4","5",34,"alive",NA
1996,"August","vor4","5",26,"alive",NA
1996,"August","vor4","5",25,"alive",NA
1996,"August","vor4","5",30,"alive",NA
1996,"August","vor4","5",21,"alive",NA
1996,"August","vor4","5",20,"alive",NA
1996,"August","vor4","5",25,"alive",NA
1996,"August","vor4","5",22,"alive",NA
1996,"August","vor4","5",30,"alive",NA
1996,"August","vor4","5",28,"alive",NA
1996,"August","vor4","5",24,"alive",NA
1996,"August","vor4","5",23,"alive",NA
1996,"August","vor4","5",34,"alive",NA
1996,"August","vor4","5",23,"alive",NA
1996,"August","vor4","5",25,"alive",NA
1996,"August","vor4","5",24,"alive",NA
1996,"August","vor4","5",28,"alive",NA
1996,"August","vor4","5",19,"alive",NA
1996,"August","vor4","5",27,"alive",NA
1996,"August","vor4","5",20,"alive",NA
1996,"August","vor4","5",26,"alive",NA
1996,"August","vor4","5",23,"alive",NA
1996,"August","vor4","5",20,"alive",NA
1996,"August","vor4","5",25,"alive",NA
1996,"August","vor4","5",28,"alive",NA
1996,"August","vor4","5",22,"alive",NA
1996,"August","vor4","5",26,"alive",NA
1996,"August","vor4","5",23,"alive",NA
1996,"August","vor4","5",15,"alive",NA
1996,"August","vor4","5",21,"alive",NA
1996,"August","vor4","5",19,"alive",NA
1996,"August","vor4","5",16,"alive",NA
1996,"August","vor4","5",28,"alive",NA
1996,"August","vor4","5",17,"alive",NA
1996,"August","vor4","5",20,"alive",NA
1996,"August","vor4","5",22,"alive",NA
1996,"August","vor4","5",19,"alive",NA
1996,"August","vor4","5",15,"alive",NA
1996,"August","vor4","5",13,"alive",NA
1996,"August","vor4","5",12,"alive",NA
1996,"August","vor4","5",11,"alive",NA
1996,"August","vor4","5",12,"alive",NA
1996,"August","vor4","5",10,"alive",NA
1996,"August","vor4","5",10,"alive",NA
1996,"August","vor4","5",5,"alive",NA
1996,"August","vor4","5",10,"alive",NA
1996,"August","vor4","5",7,"alive",NA
1996,"August","vor4","5",4,"alive",NA
1996,"August","vor4","5",6,"alive",NA
1996,"August","vor4","5",6,"alive",NA
1996,"August","vor4","5",2,"alive",NA
1996,"August","vor4","5",18,"alive",NA
1996,"August","vor4","5",20,"alive",NA
1996,"August","vor4","5",22,"alive",NA
1996,"August","vor4","5",27,"alive",NA
1996,"August","vor4","5",25,"alive",NA
1996,"August","vor4","5",23,"alive",NA
1996,"August","vor4","5",25,"alive",NA
1996,"August","vor4","5",20,"alive",NA
1996,"August","vor4","5",22,"alive",NA
1996,"August","vor4","5",13,"alive",NA
1996,"August","vor4","5",8,"alive",NA
1996,"August","vor4","5",20,"alive",NA
1996,"August","vor4","5",13,"alive",NA
1996,"August","vor4","5",15,"alive",NA
1996,"August","vor4","5",12,"alive",NA
1996,"August","vor4","5",12,"alive",NA
1996,"August","vor4","5",10,"alive",NA
1996,"August","vor4","5",8,"alive",NA
1996,"August","vor4","5",9,"alive",NA
1996,"August","vor4","5",8,"alive",NA
1996,"August","vor4","5",9,"alive",NA
1996,"August","vor4","5",8,"alive",NA
1996,"August","vor4","5",7,"alive",NA
