species,lon,lat,Status
Acanthocyclops capillatus,10.153428,61.518069,Native
Acanthocyclops capillatus,10.066228,61.537788,Native
Acanthocyclops capillatus,10.101899,61.534108,Native
Acanthocyclops capillatus,10.131756,61.52331,Native
Acanthocyclops capillatus,7.883686,58.794621,Native
Acanthocyclops capillatus,10.219068,61.420035,Native
Acanthocyclops capillatus,10.092867,61.532997,Native
Acanthocyclops capillatus,7.893575,58.796653,Native
Acanthocyclops capillatus,10.116058,61.533206,Native
Acanthocyclops capillatus,10.220611,61.418082,Native
Acanthocyclops capillatus,30.781296,69.550691,Native
Acanthocyclops capillatus,30.766503,69.711586,Native
Acanthocyclops capillatus,7.900939,58.798113,Native
Acanthocyclops capillatus,9.489281,60.559932,Native
Acanthocyclops capillatus,7.90399,58.796875,Native
Acanthocyclops capillatus,7.909345,58.794294,Native
Acanthocyclops capillatus,6.278647,58.742657,Native
Acanthocyclops capillatus,6.277064,58.69298,Native
Acanthocyclops capillatus,6.013079,58.502701,Native
Acanthocyclops capillatus,6.225749,58.626618,Native
Acanthocyclops capillatus,7.922911,58.795142,Native
Acanthocyclops capillatus,7.928704,58.78216,Native
Acanthocyclops capillatus,7.936821,58.77684,Native
Acanthocyclops capillatus,7.929385,58.780019,Native
Acanthocyclops capillatus,7.936874,58.777531,Native
Acanthocyclops capillatus,10.282021,59.81314,Native
Acanthocyclops capillatus,-87.9167,48.8,Native
Acanthocyclops capillatus,3.95,51.02,Native
Acanthocyclops capillatus,4.347861,51.23219,Native
Acanthocyclops capillatus,2.86,50.97,Native
Acanthocyclops capillatus,4.239408,51.090194,Native
Acanthocyclops capillatus,4.35,51.98,Native
Acanthocyclops capillatus,6.002797,52.722398,Native
Acanthocyclops capillatus,5.036461,51.822039,Native
Acanthocyclops capillatus,4.615797,51.225244,Native
Acanthocyclops capillatus,3.916634,50.791971,Native
Acanthocyclops capillatus,5.143452,51.264241,Native
Acanthocyclops capillatus,3.288341,50.801061,Native
Acanthocyclops capillatus,5.448729,50.947184,Native
Acanthocyclops capillatus,5.446138,50.948379,Native
Acanthocyclops capillatus,5.287732,51.24869,Native
Acanthocyclops capillatus,5.125364,52.294362,Native
Acanthocyclops capillatus,4.66,50.84,Native
Acanthocyclops capillatus,4.66,50.85,Native
Acanthocyclops capillatus,4.715109,50.863275,Native
Acanthocyclops capillatus,5.77,51.06,Native
Acanthocyclops capillatus,5.11,50.99,Native
Acanthocyclops capillatus,5.336862,50.966554,Native
Acanthocyclops capillatus,4.729979,52.031485,Native
Acanthocyclops capillatus,5.145553,50.96118,Native
Acanthocyclops capillatus,3.945194,51.01631,Native
Acanthocyclops capillatus,3.656171,51.067215,Native
Acanthocyclops capillatus,2.863064,50.984633,Native
Acanthocyclops capillatus,5.26,51.02,Native
Acanthocyclops capillatus,3.09879,51.146884,Native
Acanthocyclops capillatus,3.097383,51.147811,Native
Acanthocyclops capillatus,3.09273,51.143269,Native
Acanthocyclops capillatus,5.432096,50.971576,Native
Acanthocyclops capillatus,5.43246,50.970279,Native
Acanthocyclops capillatus,5.006502,52.192993,Native
Acanthocyclops capillatus,3.330011,50.87692,Native
Acanthocyclops robustus,31.239774,49.917914,PNIS
Acanthocyclops robustus,30.996504,49.951265,PNIS
Acanthocyclops robustus,50.7584,61.8189,PNIS
Acanthocyclops robustus,50.7527,61.8158,PNIS
Acanthocyclops robustus,50.7563,61.8163,PNIS
Acanthocyclops robustus,50.3599,61.9739,PNIS
Acanthocyclops robustus,50.3657,61.9696,PNIS
Acanthocyclops robustus,9.718923,63.012613,PNIS
Acanthocyclops robustus,50.9638,61.7128,PNIS
Acanthocyclops robustus,50.5997,62.0007,PNIS
Acanthocyclops robustus,50.9605,61.7091,PNIS
Acanthocyclops robustus,50.1893,61.9837,PNIS
Acanthocyclops robustus,50.1954,61.985,PNIS
Acanthocyclops robustus,19.745682,68.515868,PNIS
Acanthocyclops robustus,19.398814,68.572103,PNIS
Acanthocyclops robustus,19.599874,68.519542,PNIS
Acanthocyclops robustus,19.083468,68.643331,PNIS
Acanthocyclops robustus,19.365937,68.597669,PNIS
Acanthocyclops robustus,19.456454,68.538695,PNIS
Acanthocyclops robustus,18.982851,68.653562,PNIS
Acanthocyclops robustus,19.237673,68.589182,PNIS
Acanthocyclops robustus,19.69529,68.494368,PNIS
Acanthocyclops robustus,18.93781,68.662071,PNIS
Acanthocyclops robustus,8.648152,58.47067,PNIS
Acanthocyclops robustus,24.169985,69.71521,PNIS
Acanthocyclops robustus,5.198071,59.635589,PNIS
Acanthocyclops robustus,11.896235,60.099238,PNIS
Acanthocyclops robustus,22.844073,69.086485,PNIS
Acanthocyclops robustus,17.411995,69.252111,PNIS
Acanthocyclops robustus,11.770341,59.773112,PNIS
Acanthocyclops robustus,11.896456,60.099009,PNIS
Acanthocyclops robustus,18.34777,69.30463,PNIS
Acanthocyclops robustus,11.63038,61.154507,PNIS
Acanthocyclops robustus,8.163309,59.782759,PNIS
Acanthocyclops robustus,8.029278,59.853911,PNIS
Acanthocyclops robustus,8.092767,59.806085,PNIS
Acanthocyclops robustus,24.224586,69.599255,PNIS
Acanthocyclops robustus,24.266542,69.676127,PNIS
Acanthocyclops robustus,18.368098,69.318699,PNIS
Acanthocyclops robustus,8.208444,59.849103,PNIS
Acanthocyclops robustus,7.450487,59.677587,PNIS
Acanthocyclops robustus,7.445353,59.684425,PNIS
Acanthocyclops robustus,7.988304,59.878873,PNIS
Acanthocyclops robustus,8.107238,59.870249,PNIS
Acanthocyclops robustus,24.294112,69.692341,PNIS
Acanthocyclops robustus,50.7772,61.8158,PNIS
Acanthocyclops robustus,50.2754,61.9825,PNIS
Acanthocyclops robustus,8.648331,58.47053,PNIS
Acanthocyclops robustus,5.251449,60.895943,PNIS
Acanthocyclops robustus,5.19405,59.632901,PNIS
Acanthocyclops robustus,9.643337,60.156533,PNIS
Acanthocyclops robustus,8.305111,59.816794,PNIS
Acanthocyclops robustus,6.466149,61.343783,PNIS
Acanthocyclops robustus,5.273229,59.75744,PNIS
Acanthocyclops robustus,9.648358,60.299506,PNIS
Acanthocyclops robustus,5.272909,59.755815,PNIS
Acanthocyclops robustus,8.724405,59.83031,PNIS
