"","species","Lat","Lon"
"265","Daphnia galeata",51.954717,4.488851
"266","Daphnia galeata",51.948705,4.491444
"267","Daphnia galeata",52.43225,5.425585
"268","Daphnia galeata",53.171133,7.029285
"269","Daphnia galeata",52.0531,4.753163
"270","Daphnia galeata",52.326927,4.672082
"271","Daphnia galeata",50.590808,5.195134
"272","Daphnia galeata",50.590036,5.195518
"273","Daphnia galeata",50.585842,5.193508
"274","Daphnia galeata",50.593803,5.183657
"275","Daphnia galeata",50.593588,5.183414
"276","Daphnia galeata",50.591616,5.195034
"277","Daphnia galeata",50.59071,5.191869
"278","Daphnia galeata",50.583706,5.203802
"279","Daphnia galeata",50.584079,5.204365
"280","Daphnia galeata",50.584437,5.184264
"281","Daphnia galeata",50.583634,5.183493
"282","Daphnia galeata",50.582696,5.184351
"283","Daphnia galeata",50.582447,5.1825
"284","Daphnia galeata",50.584835,5.195619
"285","Daphnia galeata",50.584822,5.19568
"286","Daphnia galeata",50.587961,5.192831
"287","Daphnia galeata",50.585539,5.203258
"288","Daphnia galeata",50.596998,5.201838
"289","Daphnia galeata",50.590682,5.202629
"290","Daphnia galeata",50.590773,5.203182
"291","Daphnia galeata",50.590449,5.203237
"292","Daphnia galeata",64.793836,13.622742
"293","Daphnia galeata",64.862384,13.500179
"294","Daphnia galeata",52.406683,5.358889
"295","Daphnia galeata",53.271698,6.826228
"296","Daphnia galeata",52.196823,4.488993
"297","Daphnia galeata",52.053826,4.418598
"298","Daphnia galeata",59.383871,11.653667
"299","Daphnia galeata",59.56101,11.616435
"300","Daphnia galeata",59.373075,11.665286
"301","Daphnia galeata",59.57514,11.60177
"302","Daphnia galeata",60.769686,10.770853
"303","Daphnia galeata",60.763442,10.911559
"304","Daphnia galeata",63.4155,11.73659
"305","Daphnia galeata",63.44267,11.62911
"306","Daphnia galeata",63.46362,11.12276
"307","Daphnia galeata",63.46528,11.19113
"308","Daphnia galeata",63.46021,11.34125
"309","Daphnia galeata",52.482772,5.535063
"310","Daphnia galeata",51.410014,4.41815
"311","Daphnia galeata",51.410872,4.392754
"312","Daphnia galeata",51.40864,4.417905
"313","Daphnia galeata",50.829816,3.833452
"314","Daphnia galeata",50.83023,3.817645
"315","Daphnia galeata",50.831016,3.834286
"316","Daphnia galeata",50.983644,4.78253
"317","Daphnia galeata",50.994466,4.773684
"318","Daphnia galeata",50.973037,4.792925
"319","Daphnia galeata",51.115573,3.311872
"320","Daphnia galeata",51.115495,3.295481
"321","Daphnia galeata",51.109966,3.307644
"322","Daphnia galeata",52.787898,5.796924
"323","Daphnia galeata",52.741429,5.772205
"324","Daphnia galeata",51.198203,4.900016
"325","Daphnia galeata",51.184906,4.858541
"326","Daphnia galeata",51.187184,4.862264
"327","Daphnia galeata",50.738792,2.889104
"328","Daphnia galeata",50.732733,2.910689
"329","Daphnia galeata",50.74032,2.893841
"330","Daphnia galeata",50.596192,5.307761
"331","Daphnia galeata",50.586484,5.305101
"332","Daphnia galeata",50.881283,5.294017
"333","Daphnia galeata",50.882594,5.334632
"334","Daphnia galeata",50.890786,5.314734
"335","Daphnia galeata",50.839363,5.548878
"336","Daphnia galeata",50.844438,5.546895
"337","Daphnia galeata",50.857518,5.537355
"338","Daphnia galeata",51.173933,5.654949
"339","Daphnia galeata",51.165447,5.645244
"340","Daphnia galeata",51.17045,5.659033
"341","Daphnia galeata",50.932833,5.307633
"342","Daphnia galeata",50.91399,5.283454
"343","Daphnia galeata",50.933449,5.306299
"344","Daphnia galeata",50.735916,5.850565
"345","Daphnia galeata",50.7172,5.866849
"346","Daphnia galeata",50.760759,5.890027
"347","Daphnia galeata",49.682681,5.664335
"348","Daphnia galeata",49.702435,5.665319
"349","Daphnia galeata",49.690535,5.639569
"350","Daphnia galeata",49.740885,5.738452
"351","Daphnia galeata",49.736777,5.736574
"352","Daphnia galeata",49.722535,5.714219
"353","Daphnia galeata",49.691352,5.590169
"354","Daphnia galeata",49.699285,5.579469
"355","Daphnia galeata",49.688235,5.546552
"356","Daphnia galeata",50.226451,5.315868
"357","Daphnia galeata",50.258463,5.314625
"358","Daphnia galeata",50.239744,5.373107
"359","Daphnia galeata",51.135904,4.245363
"360","Daphnia galeata",51.138435,4.260818
"361","Daphnia galeata",51.137102,4.249753
"362","Daphnia galeata",50.787799,4.256851
"363","Daphnia galeata",50.769118,4.261122
"364","Daphnia galeata",50.786475,4.249455
"365","Daphnia galeata",50.847155,5.069606
"366","Daphnia galeata",50.84633,5.095472
"367","Daphnia galeata",50.847128,5.063384
"368","Daphnia galeata",51.262112,3.276071
"369","Daphnia galeata",51.266658,3.290634
"370","Daphnia galeata",51.261215,3.280019
"371","Daphnia galeata",69.199894,22.421112
"372","Daphnia galeata",69.112334,19.082115
"373","Daphnia galeata",69.059361,22.159578
"374","Daphnia galeata",69.383621,21.528292
