"long","lat","order","hole","piece","id","group"
151.301639,59.55625,172,FALSE,"1","0","0.1"
151.281639,59.556222,173,FALSE,"1","0","0.1"
151.280028,59.557056,174,FALSE,"1","0","0.1"
151.276667,59.557056,175,FALSE,"1","0","0.1"
151.274944,59.557889,176,FALSE,"1","0","0.1"
151.273333,59.557889,177,FALSE,"1","0","0.1"
151.271611,59.558694,178,FALSE,"1","0","0.1"
151.269972,59.55875,179,FALSE,"1","0","0.1"
151.266722,59.560417,180,FALSE,"1","0","0.1"
151.265056,59.560389,181,FALSE,"1","0","0.1"
151.261694,59.562056,182,FALSE,"1","0","0.1"
151.26,59.562028,183,FALSE,"1","0","0.1"
151.258278,59.562861,184,FALSE,"1","0","0.1"
151.256583,59.562889,185,FALSE,"1","0","0.1"
151.254972,59.563722,186,FALSE,"1","0","0.1"
151.250028,59.563722,187,FALSE,"1","0","0.1"
151.248278,59.564556,188,FALSE,"1","0","0.1"
151.246611,59.564528,189,FALSE,"1","0","0.1"
151.245,59.565361,190,FALSE,"1","0","0.1"
151.243278,59.565417,191,FALSE,"1","0","0.1"
151.241583,59.56625,192,FALSE,"1","0","0.1"
151.240028,59.566222,193,FALSE,"1","0","0.1"
151.238278,59.567056,194,FALSE,"1","0","0.1"
151.236694,59.567028,195,FALSE,"1","0","0.1"
151.234944,59.567917,196,FALSE,"1","0","0.1"
151.231694,59.567917,197,FALSE,"1","0","0.1"
151.229972,59.56875,198,FALSE,"1","0","0.1"
151.228278,59.56875,199,FALSE,"1","0","0.1"
151.226694,59.569583,200,FALSE,"1","0","0.1"
151.223333,59.569583,201,FALSE,"1","0","0.1"
151.221667,59.570417,202,FALSE,"1","0","0.1"
151.218333,59.570361,203,FALSE,"1","0","0.1"
151.216694,59.571194,204,FALSE,"1","0","0.1"
151.213306,59.571222,205,FALSE,"1","0","0.1"
151.211583,59.572056,206,FALSE,"1","0","0.1"
151.208306,59.572056,207,FALSE,"1","0","0.1"
151.206694,59.572889,208,FALSE,"1","0","0.1"
151.203333,59.572917,209,FALSE,"1","0","0.1"
151.201639,59.57375,210,FALSE,"1","0","0.1"
151.196694,59.573722,211,FALSE,"1","0","0.1"
151.194917,59.574556,212,FALSE,"1","0","0.1"
151.191694,59.574583,213,FALSE,"1","0","0.1"
151.190028,59.575389,214,FALSE,"1","0","0.1"
151.184972,59.575389,215,FALSE,"1","0","0.1"
151.183389,59.576222,216,FALSE,"1","0","0.1"
151.18,59.576222,217,FALSE,"1","0","0.1"
151.17825,59.577056,218,FALSE,"1","0","0.1"
151.171639,59.577083,219,FALSE,"1","0","0.1"
151.17,59.577861,220,FALSE,"1","0","0.1"
151.164944,59.577917,221,FALSE,"1","0","0.1"
151.163333,59.57875,222,FALSE,"1","0","0.1"
151.156583,59.578694,223,FALSE,"1","0","0.1"
151.154944,59.579583,224,FALSE,"1","0","0.1"
151.146639,59.579583,225,FALSE,"1","0","0.1"
151.145056,59.580417,226,FALSE,"1","0","0.1"
151.141639,59.580361,227,FALSE,"1","0","0.1"
151.139917,59.581194,228,FALSE,"1","0","0.1"
151.133389,59.581222,229,FALSE,"1","0","0.1"
151.130778,59.58,230,FALSE,"1","0","0.1"
151.130806,59.579139,231,FALSE,"1","0","0.1"
151.129194,59.578306,232,FALSE,"1","0","0.1"
151.12925,59.577444,233,FALSE,"1","0","0.1"
151.126583,59.576222,234,FALSE,"1","0","0.1"
151.125028,59.576194,235,FALSE,"1","0","0.1"
151.123278,59.577083,236,FALSE,"1","0","0.1"
151.121583,59.577056,237,FALSE,"1","0","0.1"
151.118333,59.578722,238,FALSE,"1","0","0.1"
151.116667,59.578694,239,FALSE,"1","0","0.1"
151.114917,59.579528,240,FALSE,"1","0","0.1"
151.113361,59.579556,241,FALSE,"1","0","0.1"
151.111639,59.580389,242,FALSE,"1","0","0.1"
151.10825,59.580417,243,FALSE,"1","0","0.1"
151.106667,59.58125,244,FALSE,"1","0","0.1"
151.1,59.581194,245,FALSE,"1","0","0.1"
151.098278,59.582028,246,FALSE,"1","0","0.1"
151.08825,59.582056,247,FALSE,"1","0","0.1"
151.086611,59.581222,248,FALSE,"1","0","0.1"
151.076694,59.581194,249,FALSE,"1","0","0.1"
151.074972,59.582028,250,FALSE,"1","0","0.1"
151.059944,59.582083,251,FALSE,"1","0","0.1"
151.058278,59.581222,252,FALSE,"1","0","0.1"
151.054889,59.581222,253,FALSE,"1","0","0.1"
151.05325,59.580389,254,FALSE,"1","0","0.1"
151.051583,59.580417,255,FALSE,"1","0","0.1"
151.049917,59.579556,256,FALSE,"1","0","0.1"
151.048222,59.579583,257,FALSE,"1","0","0.1"
151.041694,59.576222,258,FALSE,"1","0","0.1"
151.04,59.576222,259,FALSE,"1","0","0.1"
151.036611,59.574556,260,FALSE,"1","0","0.1"
151.021639,59.574556,261,FALSE,"1","0","0.1"
151.020056,59.575389,262,FALSE,"1","0","0.1"
151.018361,59.575361,263,FALSE,"1","0","0.1"
151.016722,59.574611,264,FALSE,"1","0","0.1"
151.015056,59.574583,265,FALSE,"1","0","0.1"
151.013278,59.57375,266,FALSE,"1","0","0.1"
151.01,59.573694,267,FALSE,"1","0","0.1"
151.009167,59.573306,268,FALSE,"1","0","0.1"
151.009222,59.5725,269,FALSE,"1","0","0.1"
151.005806,59.570833,270,FALSE,"1","0","0.1"
151.005833,59.57,271,FALSE,"1","0","0.1"
151.001583,59.567861,272,FALSE,"1","0","0.1"
