"","sample.id","year","latitude","longitude","n.obs","ndvi.gs.avg","ndvi.gs.med","ndvi.gs.q90","ndvi.max","ndvi.max.lwr","ndvi.max.upr","ndvi.max.doy"
"15","S_1",2015,55.114413,159.945864,11,0.700310154820244,0.693203976101839,0.773260956743455,0.773270631554797,0.637225885817975,0.81932301618341,197
"16","S_1",2016,55.114413,159.945864,13,0.748134028997389,0.751704767616326,0.766920631831692,0.766920631831692,0.732007660799887,0.850607246206751,201
"17","S_1",2017,55.114413,159.945864,13,0.75580792030435,0.764499286968615,0.808468851003151,0.808468851003151,0.740379819860619,0.849143821640352,206
"18","S_1",2018,55.114413,159.945864,12,0.702405975147514,0.714685561405337,0.799049120814725,0.799049120814725,0.609233723302775,0.804433895911856,237
"19","S_1",2019,55.114413,159.945864,7,0.681104794361845,0.684258328168019,0.752334909629373,0.763302622034561,0.662053243435221,0.896683888215865,211
"20","S_1",2020,55.114413,159.945864,16,0.773281335234192,0.780443970984487,0.812709091135273,0.812709091135273,0.756966380775837,0.83195771084002,232
"21","S_1",2021,55.114413,159.945864,19,0.729350250658695,0.738345393548405,0.779156013826629,0.779156013826629,0.691070622612289,0.815792691626361,229
"22","S_1",2022,55.114413,159.945864,18,0.775870166240776,0.785269521897486,0.818335796918903,0.820153310721606,0.776527133508267,0.860994599500566,229
"23","S_1",2023,55.114413,159.945864,13,0.767391104589121,0.763744990723084,0.872945339795597,0.872945339795597,0.639495869156925,0.910954366955186,226
"24","S_1",2024,55.114413,159.945864,6,0.754367606928394,0.781099408677017,0.79662258167829,0.79662258167829,0.788582529102009,0.807247943026209,226
"25","S_10",2000,55.140443,159.972923,7,0.619963460375721,0.629897342145971,0.671900586286332,0.692931977687053,0.614519556716508,0.809087714983551,198
"26","S_10",2001,55.140443,159.972923,4,0.674662538731255,0.697123304545199,0.722006402116995,0.743152891247677,0.670701339232566,0.817768429020927,200
"27","S_10",2002,55.140443,159.972923,5,0.72044197014622,0.786307994559468,0.80620520106247,0.80620520106247,0.602036480944165,0.817237991308501,200
"28","S_10",2004,55.140443,159.972923,5,0.689193814406894,0.653436572775678,0.802692970053782,0.802692970053782,0.721696772619035,0.852086546279251,207
"29","S_10",2005,55.140443,159.972923,4,0.764994126879674,0.804558117886236,0.816257271625339,0.817443211628479,0.642930523157538,0.826224843611419,205
"30","S_10",2006,55.140443,159.972923,5,0.798069007944385,0.853922815945717,0.886457064176682,0.886457064176682,0.860408163932827,0.954469904092041,206
"31","S_10",2007,55.140443,159.972923,5,0.784599089839625,0.770244041206188,0.839220569536102,0.839220569536102,0.712183430298213,0.858917382970117,210
"32","S_10",2008,55.140443,159.972923,5,0.726903470568516,0.806109071840587,0.834536107735862,0.834536107735862,0.660035724795635,0.850961407549555,211
"33","S_10",2009,55.140443,159.972923,18,0.708531403131044,0.718588232055004,0.811576736926235,0.811576736926235,0.635055288902586,0.862183623554832,212
"34","S_10",2010,55.140443,159.972923,2,0.810093913714448,0.810093913714448,0.810477799136332,0.855867945622865,0.85538808884551,0.85634780240022,220
"35","S_10",2011,55.140443,159.972923,10,0.785648630586528,0.81009028760063,0.851769022397684,0.851769022397684,0.722195970679441,0.943025591726211,220
"36","S_10",2012,55.140443,159.972923,7,0.724073297442608,0.733311605582057,0.798936652014359,0.79959140577003,0.733408039463571,0.839868661910037,227
"37","S_10",2013,55.140443,159.972923,11,0.72502940724794,0.735302179767168,0.770607913074031,0.814945522300427,0.793025126439402,0.841286423713689,231
