sample_ID;pop_ID;species;location;edulis;trossulus;L;l;a;morph;ind;sp
RE085;PH;edulis;Phippsburg The Basin;0.999982;0.000018;40.3;22.7;11.6;E;0;0
RE086;PH;edulis;Phippsburg The Basin;0.99998;0.00002;50.6;29.3;26.2;E;0;0
RE087;PH;edulis;Phippsburg The Basin;0.999987;0.000013;50.2;28.5;23.4;E;0;0
RE088;PH;edulis;Phippsburg The Basin;0.999986;0.000014;48.1;27.7;16.9;E;0;0
RE089;PH;edulis;Phippsburg The Basin;0.999986;0.000014;41.5;20.1;20.1;E;0;0
RE090;PH;edulis;Phippsburg The Basin;0.999969;0.000031;49.7;28.7;19.6;E;0;0
REBL215;CBE;edulis;Cobscook Bay Eastport;0.997703;0.002297;51.9;27.3;0;T;1;0
REBL214;CBE;trossulus;Cobscook Bay Eastport;0.000032;0.999968;47.1;23.6;0;T;1;1
REBL216;CBE;trossulus;Cobscook Bay Eastport;0.000019;0.999981;43.2;20.1;14;E;0;1
REBL217;CBE;trossulus;Cobscook Bay Eastport;0.000017;0.999983;42.4;20.8;13.8;E;0;1
