sea,place,pop,pop_sub,substrate,horizont,year,str,size,age,ind,freq_MT,freq_MT_substrate,dist,sal_low
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.973,23.5,6,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.974,23.4,6,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.927,32.1,7,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.976,26.1,7,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.971,30.1,7,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.901,27.5,8,0,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.976,33.1,8,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.973,37.3,8,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.979,28,8,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.136,40.2,9,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.91,33,9,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.977,38.4,9,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.973,34,9,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.021,47.7,10,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.165,41,10,0,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.333,48.5,10,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.307,43,10,0,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.556,43.2,10,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.927,44.6,10,1,0.6,0.63,52,25
barents,tyuva,seredina,tsia,algae,intertidal,2012,0.979,44.5,10,1,0.6,0.63,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.021,8.9,3,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.021,8.5,3,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.021,9.8,3,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.021,9,3,0,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.027,9.4,3,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.093,9.4,3,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.036,8.2,3,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.979,10.3,3,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.021,12.8,4,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.037,11.4,4,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.636,17.2,5,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.972,16,5,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.977,14.7,5,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.979,17.7,5,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.027,16.7,6,0,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.027,21,6,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.029,21.8,6,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.036,20.6,6,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.926,21.5,6,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.925,18.5,6,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.979,20.5,6,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.977,18.3,6,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.979,21.9,6,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.977,21.5,6,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.021,21.5,7,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.021,24.6,7,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.057,22.7,7,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.521,22,7,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.976,19.4,7,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.977,23.7,7,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.973,24,7,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.977,24,7,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.036,29.9,8,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.292,31.1,8,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.889,26.3,8,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.979,28.8,8,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.98,27.4,8,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.977,25.9,8,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.979,27.2,8,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.977,26.1,8,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.977,26.2,8,1,0.6,0.57,52,25
barents,tyuva,seredina,tsib,bottom,intertidal,2012,0.022,33.9,9,1,0.6,0.57,52,25
