sea,dataset,sal_place,sal_place2,place,pop,pop_sub,dat_sub,substrate,horizont,str,size,age,ind,sal_low,sens,spec
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.021,15.3,4,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.021,17.4,5,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.021,18.1,4,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.021,18.2,4,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.021,18.3,4,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.295,18.5,4,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.096,18.5,5,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.021,18.7,4,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.392,20.5,5,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.043,20.7,5,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.092,24.1,5,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.021,24.3,6,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.028,25.2,5,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.027,25.3,6,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.026,25.6,6,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.021,26.9,5,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.021,28,5,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.027,28.3,7,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.027,28.9,6,1,34,0.666666667,0.476744186
barents,testing,normal,coast,dz,dz_lit,dz_lb,yes,bottom,intertidal,0.021,32.7,6,1,34,0.666666667,0.476744186
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.017,11.9,3,0,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.984,13.1,3,1,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.023,19.2,4,0,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.126,19.5,5,0,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.534,19.8,8,1,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.853,20,5,0,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.149,20.5,5,0,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.979,21.5,6,1,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.858,22.2,5,1,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.96,22.4,5,1,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.017,23.6,6,0,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.68,24.4,6,1,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.344,24.6,7,0,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.301,25.2,5,0,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.13,25.4,7,0,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.322,26.1,6,0,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.858,26.1,7,0,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.682,26.5,5,1,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.982,27.1,7,1,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.3,28.1,6,0,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.857,28.8,7,0,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.095,28.8,6,0,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.02,29,7,0,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.984,29.1,7,0,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.02,29.3,8,1,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.072,29.5,7,0,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.06,30.1,7,0,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.984,30.4,7,0,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.351,30.6,6,0,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.322,30.8,7,0,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.031,31.1,7,0,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.017,31.2,8,0,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.982,32,7,0,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.454,32.5,7,1,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.323,32.6,8,0,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.151,33.4,8,0,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.531,33.6,8,1,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.857,34.2,7,1,18,0.611111111,0.925925926
barents,training,fresh,estuary,kola_bay,abram,NA,no,NA,intertidal,0.923,34.2,7,1,18,0.611111111,0.925925926
