Place,Sea,Year,Date,Number,L,a,l
Lim,Baltic Sea,2008,23.02.08,51,23.8,NA,NA
Lim,Baltic Sea,2008,23.02.08,48,17.8,NA,NA
Lim,Baltic Sea,2008,23.02.08,49,16.3,NA,NA
Lim,Baltic Sea,2008,23.02.08,78,10.9,NA,NA
Lim,Baltic Sea,2008,23.02.08,58,8.3,NA,NA
Lim,Baltic Sea,2008,23.02.08,47,13.8,NA,NA
Lim,Baltic Sea,2008,23.02.08,83,11.1,NA,NA
Lim,Baltic Sea,2008,23.02.08,76,11.8,NA,NA
Lim,Baltic Sea,2008,23.02.08,80,9.3,NA,NA
Lim,Baltic Sea,2008,23.02.08,82,11.6,NA,NA
Lim,Baltic Sea,2008,23.02.08,81,7.6,NA,NA
Lim,Baltic Sea,2008,23.02.08,77,8.1,NA,NA
Lim,Baltic Sea,1988,29.02.88,25,NA,8.7,8.7
Lim,Baltic Sea,1988,29.02.88,16,NA,6.1,9.7
Lim,Baltic Sea,1988,29.02.88,5,NA,5.7,7.1
Lim,Baltic Sea,1988,29.02.88,8,NA,6.1,7.7
Lim,Baltic Sea,1988,29.02.88,4,NA,4.3,5.1
Lim,Baltic Sea,1988,29.02.88,15,NA,7.7,7.7
Lim,Baltic Sea,1988,29.02.88,28,NA,5.6,8
Lim,Baltic Sea,1988,29.02.88,9,NA,4.3,5.2
Lim,Baltic Sea,1988,29.02.88,22,NA,8.7,9.2
Lim,Baltic Sea,1988,29.02.88,10,NA,10.5,10.5
Lim,Baltic Sea,1988,29.02.88,14,NA,11.2,12
Lim,Baltic Sea,1988,29.02.88,20,NA,3.6,8.8
Lim,Baltic Sea,1988,29.02.88,13,NA,8.1,8.9
Lim,Baltic Sea,1988,29.02.88,23,NA,8.4,11.3
Lim,Baltic Sea,1988,29.02.88,27,NA,6.7,9.9
Lim,Baltic Sea,1988,29.02.88,21,NA,5.3,8
Lim,Baltic Sea,1988,29.02.88,18,NA,10,10
Lim,Baltic Sea,1988,29.02.88,17,NA,8.9,9.6
Lim,Baltic Sea,1988,29.02.88,26,NA,6.4,7.7
Lim,Baltic Sea,1988,29.02.88,30,NA,6,7.9
Lim,Baltic Sea,1988,29.02.88,12,NA,5.6,7.7
Lim,Baltic Sea,1988,29.02.88,19,NA,6.7,9.2
Lim,Baltic Sea,1988,29.02.88,29,NA,8.4,9.1
Lim,Baltic Sea,1988,29.02.88,7,NA,8,8.5
Lim,Baltic Sea,1988,29.02.88,11,NA,8.7,9.9
Lim,Baltic Sea,1988,29.02.88,6,NA,6,8.3
Lim,Baltic Sea,1988,29.02.88,2,NA,5.7,7.5
Lim,Baltic Sea,1988,29.02.88,1,NA,5.7,6.3
Lim,Baltic Sea,1988,29.02.88,33,NA,0,7.9
Lim,Baltic Sea,1988,29.02.88,56,NA,7.5,9.3
Lim,Baltic Sea,1988,29.02.88,57,NA,7.3,10.7
Lim,Baltic Sea,1988,29.02.88,44,NA,10,10.7
Lim,Baltic Sea,1988,29.02.88,35,NA,6.4,8.8
Lim,Baltic Sea,1988,29.02.88,36,NA,6.3,8.7
Lim,Baltic Sea,1988,29.02.88,60,NA,8.4,9.9
Lim,Baltic Sea,1988,29.02.88,42,NA,6.5,9.7
Lim,Baltic Sea,1988,29.02.88,51,NA,4.7,7.9
Lim,Baltic Sea,1988,29.02.88,34,NA,5.3,6.9
Lim,Baltic Sea,1988,29.02.88,54,NA,5.6,7.1
