Place,Sea,Year,Date,Number,L,Morphotype,Species
Kastr,Baltic Sea,1987,29.10.87,17,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,24,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,25,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,3,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,2,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,23,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,28,NA,ET,NA
Kastr,Baltic Sea,1987,29.10.87,27,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,12,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,30,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,20,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,11,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,28,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,8,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,4,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,22,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,7,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,13,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,1,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,27,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,17,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,20,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,2,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,21,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,9,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,24,NA,ET,NA
Kastr,Baltic Sea,1988,16.02.88,19,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,26,NA,ET,NA
Kastr,Baltic Sea,1988,16.02.88,16,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,23,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,3,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,15,NA,ET,NA
Kastr,Baltic Sea,1988,16.02.88,10,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,25,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,2,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,6,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,29,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,11,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,18,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,14,NA,T,NA
Kastr,Baltic Sea,1988,16.02.88,12,NA,T,NA
Kastr,Baltic Sea,1988,16.02.88,39,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,37,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,38,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,40,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,34,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,42,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,43,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,35,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,31,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,32,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,41,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,36,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,30,NA,E,NA
Kastr,Baltic Sea,1988,16.02.88,33,NA,E,NA
Kastr,Baltic Sea,1987,14.10.87,19,NA,E,NA
Kastr,Baltic Sea,1987,14.10.87,12,NA,E,NA
Kastr,Baltic Sea,1987,14.10.87,14,NA,E,NA
Kastr,Baltic Sea,1987,14.10.87,2,NA,E,NA
Kastr,Baltic Sea,1987,14.10.87,16,NA,E,NA
Kastr,Baltic Sea,1987,14.10.87,10,NA,E,NA
Kastr,Baltic Sea,1987,14.10.87,15,NA,E,NA
Kastr,Baltic Sea,1987,14.10.87,9,NA,E,NA
Kastr,Baltic Sea,1987,14.10.87,13,NA,E,NA
Kastr,Baltic Sea,1987,14.10.87,1,NA,E,NA
Kastr,Baltic Sea,1987,14.10.87,17,NA,E,NA
Kastr,Baltic Sea,1987,14.10.87,4,NA,E,NA
Kastr,Baltic Sea,1987,14.10.87,18,NA,E,NA
Kastr,Baltic Sea,1987,14.10.87,3,NA,E,NA
Kastr,Baltic Sea,1987,14.10.87,6,NA,E,NA
Kastr,Baltic Sea,1987,14.10.87,8,NA,E,NA
Kastr,Baltic Sea,1987,14.10.87,11,NA,E,NA
Kastr,Baltic Sea,1987,14.10.87,7,NA,T,NA
Kastr,Baltic Sea,1987,29.10.87,K1,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,K2,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,14,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,22,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,25,NA,ET,NA
Kastr,Baltic Sea,1987,29.10.87,19,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,28,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,6,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,5,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,4,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,27,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,3,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,13,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,2,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,20,NA,ET,NA
Kastr,Baltic Sea,1987,29.10.87,11,NA,ET,NA
Kastr,Baltic Sea,1987,29.10.87,18,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,29,NA,ET,NA
Kastr,Baltic Sea,1987,29.10.87,16,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,1,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,17,NA,ET,NA
Kastr,Baltic Sea,1987,29.10.87,24,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,7,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,15,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,12,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,26,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,21,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,30,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,8,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,9,NA,ET,NA
Kastr,Baltic Sea,1987,29.10.87,10,NA,ET,NA
Kastr,Baltic Sea,1987,29.10.87,23,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,58,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,57,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,46,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,44,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,53,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,45,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,54,NA,ET,NA
Kastr,Baltic Sea,1987,29.10.87,33,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,52,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,35,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,38,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,37,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,56,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,51,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,43,NA,ET,NA
Kastr,Baltic Sea,1987,29.10.87,48,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,55,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,42,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,50,NA,ET,NA
Kastr,Baltic Sea,1987,29.10.87,39,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,41,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,40,NA,E,NA
Kastr,Baltic Sea,1987,29.10.87,31,NA,ET,NA
Kastr,Baltic Sea,1987,29.10.87,34,NA,T,NA
Kastr,Baltic Sea,1987,29.10.87,47,NA,T,NA
Kastr,Baltic Sea,1987,29.10.87,49,NA,T,NA
Kastr,Baltic Sea,1987,05.10.87,9,NA,E,NA
Kastr,Baltic Sea,1987,05.10.87,10,NA,E,NA
Kastr,Baltic Sea,1987,05.10.87,32,NA,E,NA
Kastr,Baltic Sea,1987,05.10.87,5,NA,E,NA
Kastr,Baltic Sea,1987,05.10.87,24,NA,E,NA
Kastr,Baltic Sea,1987,05.10.87,8,NA,E,NA
Kastr,Baltic Sea,1987,05.10.87,29,NA,E,NA
Kastr,Baltic Sea,1987,05.10.87,1,NA,E,NA
Kastr,Baltic Sea,1987,05.10.87,31,NA,E,NA
Kastr,Baltic Sea,1987,05.10.87,22,NA,E,NA
Kastr,Baltic Sea,1987,05.10.87,3,NA,E,NA
Kastr,Baltic Sea,1987,05.10.87,25,NA,E,NA
Kastr,Baltic Sea,1987,05.10.87,21,NA,E,NA
Kastr,Baltic Sea,1987,05.10.87,18,NA,E,NA
Kastr,Baltic Sea,1987,05.10.87,15,NA,E,NA
Kastr,Baltic Sea,1987,05.10.87,23,NA,E,NA
Kastr,Baltic Sea,1987,05.10.87,4,NA,E,NA
Kastr,Baltic Sea,1987,05.10.87,26,NA,ET,NA
Kastr,Baltic Sea,1987,05.10.87,30,NA,E,NA
Kastr,Baltic Sea,1987,05.10.87,14,NA,E,NA
Kastr,Baltic Sea,1987,05.10.87,27,NA,E,NA
Kastr,Baltic Sea,1987,05.10.87,17,NA,E,NA
Kastr,Baltic Sea,1987,05.10.87,28,NA,E,NA
Kastr,Baltic Sea,1987,05.10.87,7,NA,E,NA
Kastr,Baltic Sea,1987,05.10.87,13,NA,E,NA
Kastr,Baltic Sea,1987,05.10.87,16,NA,E,NA
Kastr,Baltic Sea,1987,05.10.87,11,NA,E,NA
Kastr,Baltic Sea,1987,05.10.87,9,NA,E,NA
Kastr,Baltic Sea,1987,28.10.87,6,NA,E,NA
Kastr,Baltic Sea,1987,28.10.87,4,NA,E,NA
Kastr,Baltic Sea,1987,28.10.87,18,NA,ET,NA
Kastr,Baltic Sea,1987,28.10.87,3,NA,E,NA
Kastr,Baltic Sea,1987,28.10.87,2,NA,ET,NA
Kastr,Baltic Sea,1987,28.10.87,1,NA,E,NA
Kastr,Baltic Sea,1987,28.10.87,16,NA,E,NA
Kastr,Baltic Sea,1987,28.10.87,11,NA,E,NA
Kastr,Baltic Sea,1987,28.10.87,17,NA,E,NA
Kastr,Baltic Sea,1987,28.10.87,14,NA,E,NA
Kastr,Baltic Sea,1987,28.10.87,26,NA,E,NA
Kastr,Baltic Sea,1987,28.10.87,28,NA,E,NA
Kastr,Baltic Sea,1987,28.10.87,24,NA,ET,NA
Kastr,Baltic Sea,1987,28.10.87,15,NA,E,NA
Kastr,Baltic Sea,1987,28.10.87,13,NA,E,NA
Kastr,Baltic Sea,1987,28.10.87,27,NA,E,NA
Kastr,Baltic Sea,1987,28.10.87,1,NA,ET,NA
Kastr,Baltic Sea,1987,28.10.87,8,NA,E,NA
Kastr,Baltic Sea,1987,28.10.87,9,NA,ET,NA
Kastr,Baltic Sea,1987,28.10.87,20,NA,E,NA
Kastr,Baltic Sea,1987,28.10.87,19,NA,E,NA
Kastr,Baltic Sea,1987,28.10.87,25,NA,T,NA
Kastr,Baltic Sea,1987,28.10.87,10,NA,T,NA
Kastr,Baltic Sea,2005,21.06.05,6,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,110,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,24,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,106,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,110,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,22,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,15,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,94,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,87,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,3,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,95,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,108,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,96,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,90,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,23,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,19,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,1,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,102,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,103,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,104,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,82,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,26,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,92,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,14,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,26,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,23,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,106,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,24,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,93,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,13,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,4,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,96,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,20,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,88,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,108,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,97,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,107,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,18,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,19,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,101,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,10,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,89,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,9,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,12,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,1,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,105,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,17,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,21,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,106,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,2,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,86,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,81,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,11,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,98,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,83,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,25,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,85,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,92,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,99,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,5,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,8,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,91,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,15,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,22,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,16,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,109,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,7,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,11,NA,E,NA
Kastr,Baltic Sea,2005,21.06.05,85,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,57,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,74,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,62,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,78,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,72,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,60,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,53,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,77,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,61,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,73,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,75,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,74,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,78,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,71,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,69,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,66,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,55,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,54,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,69,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,68,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,70,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,65,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,67,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,63,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,64,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,59,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,56,NA,E,NA
Kastr,Baltic Sea,2007,20.11.07,58,NA,E,NA
Kastr,Baltic Sea,2007,19.11.07,50,NA,E,NA
Kastr,Baltic Sea,2007,19.11.07,42,NA,E,NA
Kastr,Baltic Sea,2007,19.11.07,45,NA,E,NA
Kastr,Baltic Sea,2007,19.11.07,48,NA,E,NA
Kastr,Baltic Sea,2007,19.11.07,38,NA,E,NA
Kastr,Baltic Sea,2007,19.11.07,36,NA,E,NA
Kastr,Baltic Sea,2007,19.11.07,44,NA,E,NA
Kastr,Baltic Sea,2007,19.11.07,52,NA,E,NA
Kastr,Baltic Sea,2007,19.11.07,49,NA,E,NA
Kastr,Baltic Sea,2007,19.11.07,31,NA,E,NA
Kastr,Baltic Sea,2007,19.11.07,33,NA,E,NA
Kastr,Baltic Sea,2007,19.11.07,40,NA,E,NA
Kastr,Baltic Sea,2007,19.11.07,39,NA,E,NA
Kastr,Baltic Sea,2007,19.11.07,32,NA,E,NA
Kastr,Baltic Sea,2007,19.11.07,46,NA,E,NA
Kastr,Baltic Sea,2007,19.11.07,51,NA,E,NA
Kastr,Baltic Sea,2007,19.11.07,34,NA,E,NA
Kastr,Baltic Sea,2007,19.11.07,35,NA,E,NA
Kastr,Baltic Sea,2007,19.11.07,43,NA,E,NA
Kastr,Baltic Sea,2007,19.11.07,47,NA,E,NA
Kastr,Baltic Sea,2007,19.11.07,28,NA,E,NA
Kastr,Baltic Sea,2007,19.11.07,37,NA,E,NA
Kastr,Baltic Sea,2007,19.11.07,30,NA,E,NA
Kastr,Baltic Sea,2007,19.11.07,29,NA,E,NA
Kastr,Baltic Sea,2007,19.11.07,27,NA,E,NA
Penn_Cove,Atlantic ocean,1990,xx.06.90,NA,53.9,T,Mytilus trossulus
Penn_Cove,Atlantic ocean,1990,xx.06.90,NA,52.8,T,Mytilus trossulus
Penn_Cove,Atlantic ocean,1990,xx.06.90,NA,67.2,T,Mytilus trossulus
Penn_Cove,Atlantic ocean,1990,xx.06.90,NA,67.8,T,Mytilus trossulus
Penn_Cove,Atlantic ocean,1990,xx.06.90,NA,55.2,T,Mytilus trossulus
Penn_Cove,Atlantic ocean,1990,xx.06.90,NA,53,T,Mytilus trossulus
Penn_Cove,Atlantic ocean,1990,xx.06.90,NA,87.3,T,Mytilus trossulus
Penn_Cove,Atlantic ocean,1990,xx.06.90,NA,61.3,T,Mytilus trossulus
Penn_Cove,Atlantic ocean,1990,xx.06.90,NA,62.4,T,Mytilus trossulus
Penn_Cove,Atlantic ocean,1990,xx.06.90,NA,69,T,Mytilus trossulus
Penn_Cove,Atlantic ocean,1990,xx.06.90,NA,55.7,T,Mytilus trossulus
Penn_Cove,Atlantic ocean,1990,xx.06.90,NA,56,T,Mytilus trossulus
Prince Edvard Island,Atlantic ocean,NA,NA,NA,60.9,E,Mytilus edulis
Prince Edvard Island,Atlantic ocean,NA,NA,NA,60,E,Mytilus edulis
Prince Edvard Island,Atlantic ocean,NA,NA,NA,56.8,E,Mytilus edulis
Prince Edvard Island,Atlantic ocean,NA,NA,NA,56.4,E,Mytilus edulis
Prince Edvard Island,Atlantic ocean,NA,NA,NA,57,E,Mytilus edulis
VO,Baltic Sea,1988,10.05.88,18,,E,NA
VO,Baltic Sea,1988,10.05.88,24,,ET,NA
VO,Baltic Sea,1988,10.05.88,29,,E,NA
VO,Baltic Sea,1988,10.05.88,27,,E,NA
VO,Baltic Sea,1988,10.05.88,16,,E,NA
VO,Baltic Sea,1988,10.05.88,20,,E,NA
VO,Baltic Sea,1988,10.05.88,19,,E,NA
VO,Baltic Sea,1988,10.05.88,30,,ET,NA
VO,Baltic Sea,1988,10.05.88,21,,E,NA
VO,Baltic Sea,1988,10.05.88,23,,E,NA
VO,Baltic Sea,1988,10.05.88,28,,E,NA
VO,Baltic Sea,1988,10.05.88,26,,E,NA
VO,Baltic Sea,1988,10.05.88,17,,T,NA
VO,Baltic Sea,1988,10.05.88,26,,T,NA
VO,Baltic Sea,1988,10.05.88,22,,T,NA
