"","Acanthonotozoma.inflatum","Acanthonotozoma.rusanovae","Acanthostepheia.behringiensis","Acanthostepheia.malmgreni","Actinaria","Adalaria.sp.","Admete.solida","Admete.sp..","Admete.viridula","Alcyonidium.disciforme","Alcyonidium.gelatinosum","Allantactis.parasitica","Amicula.vestita","Amphipoda","Anomalisipho.verkruezeni","Anonyx.sp.","Anthosactis.janmayeni","Arcteobia.anticostiensis","Arctolembos.arcticus","Argis.sp.","Ariadnaria.borealis","Arrhis.phyllonyx","Ascidiacea","Atylus.carinatus","Atylus.smitti","Aulacofusus.brevicauda","Balanus.sp.","Bathypolypus.sp..","Boltenia.echinata","Boltenia.ovifera","Boreotrophon.clathratus","Boreotrophon.sp..","Boreotrophon.truncatus","Brachiopoda","Bryozoa","Buccinum.angulosum","Buccinum.ciliatum","Buccinum.glaciale","Buccinum.plectrum","Buccinum.polare","Buccinum.scalariforme","Buccinum.solenum","Buccinum.sp..","Bylgides.promamme","Bylgides.sarsii","Bylgides.sp.","Calycidoris.guentheri","Cerianthus.lloydi","Chelyosoma.macleayanum","Chionoecetes.opilio","Clinocardium.ciliatum","Colus.sabini","Colus.sp..","Corella.willmeriana","Coryphella.sp..","Crossaster.papposus","Cryptonatica.affinis","Curtitoma.decussata","Curtitoma.novajasemljensis","Curtitoma.sp..","Curtitoma.violacea","Cylichna.alba","Cylinchnoides.occultus","Dendrodoa.sp..","Dendronotus.sp.","Diaphana.hiemalis","Diastylis.alaskensis","Diastylis.goodsiri.scorpioides","Diastylis.sp.","Diastylis.spinulosa","Edwardsia.sp..","Ericthonius.sp.","Eualus.sp..","Eucratea.loricata","Eunicidae","Eunoe.depressa","Eunoe.nodosa","Eunoe.oerstedi","Eunoe.sp.","Euphrosinidae","Eupyrgus.scaber","Eusirus.cuspidatus","Euspira.pallida","Florometra","Gastropoda","Gattyana.amondseni","Gattyana.ciliata","Gattyana.cirrhosa","Gattyana.sp.","Gersemia.rubiformis","Gorgonocephalus.sp.","Granotoma.albrechti","Halichondria.sp.","Haliclona.sp.","Haliclystus.","Halirages.nilssoni","Halocynthia.aurantium","Harmothoe.extenuata","Harmothoe.imbricata","Harmothoe.sp.","Henricia.sanguinolenta","Heteropora.sp.","Hiatella.arctica","Hippomedon.rylovi","Hippomedon.sp.","Hormathia.nodosa","Hyas.coarctatus","Hydrozoa","Ischyrocerus.latipes","Ischyrocerus.sp..","Isopoda","Labidochirus.splendescens","Lacuna.crassior","Lafoeina.maxima","Lebbeus.groenlandicus","Lebbeus.polaris","Leptasterias.arctica","Leptasterias.groenlandica","Leptasterias.polaris","Leptasterias.sp..","Limneria.undata","Lumbrineridae","Maera.prionochira","Margarites.costalis","Margarites.groenlandicus","Margarites.helicinus","Melaenis.loveni","Melita.dentata","Metridium.sp..","Mohnia.sp..","Molgula.griffithsii","Molgula.sp..","Monoculodes.diamesus","Munnopsidae","Munnopsis.typica","Musculus.glacialis","Musculus.sp..","Myriotrochus.rinkii","Nemertea","Neohela.monstrosa","Neoiphinoe.kroyeri","Neopleustes.pulchellus.var..euacanthus","Nephtys.longosetosa","Nepthys.ciliata","Neptunea.communis","Neptunea.heros","Neptunea.sp.","Nodulotrophon.coronatus","Nothria.conchylega","Obesotoma.sp..","Ocnus.glacialis","Oenopota.bicarinata","Oenopota.harpa","Oenopota.impressa","Oenopota.pyramidalis","Oenopota.sp..","Onchidiopsis.sp.","Ophiacantha.bidentata","Ophiocten.sericeum","Ophiopholis.aculeata","Ophiopleura.borealis","Ophiura.robusta","Ophiura.sarsii","Ophiuroidea","Opisthobranchia","Orchomenella.minuta","Pagurus.capillatus","Pagurus.sp.","Pagurus.trigonocheirus","Pandalina.sp..","Pandalus.goniurus","Pandora.glacialis","Pannychia.moseleyi","Paramphithoe.cuspidata","Paramphithoe.polyacantha","Paroediceros.lynceus","Paroediceros.propinquus","Pelonaia.corrugata","Philine.sp..","Phyllodoce.groenlandica","Phyllodocidae","Platyhelminthes","Pleustes.cataphractus","Plicifusus.kroeyeri","Plicifusus.sp..","Polymastia.sp.","Polynoidae","Porifera","Propebela.arctica","Propebela.nobilis","Propebela.sp..","Protomedeia.grandimana","Protomedia.sp.","Psolus.peronii","Pteraster.jordani","Pteraster.militaris","Pteraster.obscurus","Pteraster.sp..","Pycnogonidae","Pyrulofusus.deformis","Quasimelita.formosa","Quasimelita.quadrispinosa","Retifusus.sp..","Rhachotropis.aculeata","Rhegaster.tumidus","Rozinante.fragilis","Sabinea.septemcarinata","Saduria.entomon","Saduria.sabini","Saduria.sibirica","Scoletoma.fragilis","Scoletoma.sp..","Semisuberites.cribrosa","Serripes.groenlandicus","Serripes.sp..","Sertularia.sp...Thuiaria.sp.","Similipecten.greenlandicus","Socarnes.bidenticulatus","Spinther.sp..","Spirontocaris.sp.","Stegocephalus.ampulla","Stegocephalus.inflatus","Stegocephalus.sp.","Stegophiura.nodosa","Stenosemus.albus","Stomphia.sp.","Strongylocentrotus.pallidus","Styela.rustica","Synidotea.bicuspida","Tachyrhynchus.erosus","Tachyrhynchus.sp..","Tanaidacea","Tmetonyx.cicada","Triopha","Tritonia.sp.","Urasterias.lincki","Urticina.sp.","Velutina.coriacea","Velutina.laevigata","Velutina.sp.","Velutina.velutina","Volutopsius.sp..","Vulcanella.sp...","Weyprechtia.heuglini","Weyprechtia.pinguis","Zoanthidea"
"AN14-1C",0,0,0,0,0,0,86.52,0,0,7.21,0,0,0,0,0,14.42,0,0,0,0,0,14.42,72.1,0,0,0,0,0,0,0,0,0,0,0,14.42,0,0,0,0,7.21,0,0,0,14.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.21,28.84,14.42,0,0,0,0,57.68,0,0,0,0,158.62,0,0,0,0,0,0,0,14.42,0,0,0,0,0,0,0,7.21,0,0,0,0,0,0,7.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86.52,0,129.78,0,0,0,0,0,0,0,7.21,0,0,0,980.54,0,0,0,0,7.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1009.38,0,0,0,0,0,0,0,0,0,0,0,0,86.52,0,0,0,7.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.21,0,0,0,0,0,0,0,7.21,0,0,14.42,0,0,0,0,86.52,0,0,0,0,0,0,115.36,0,0,245.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1342.84,0,0,0,0,0,0,0,0,0,0
"AN14-20",0,0,0,0,6.42,0,0,0,1.83,0,0,0,0,0,0,7.34,0,0,0,0,0,0,0,0,0,14.67,11.92,0,0,0,3.67,0,0,0,29.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.19,0,7.34,0,0,20.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.77,0,0,0,0,0,0,0,0,0,0,0,0,7.34,0,0,0,0,0,0,0,0,0,0,0,0,0,25.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.34,0,0,0,14.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,821.69,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,1.83,14.67,0,0,0,0,0,0,0,0,0,0,0,0,0,298.05,0,0,0,0,14.67,0,0,0,0,0,0,0,69.7,0,0,0,0,0,0,10.09,0,0,1129.83,0,0,0,0,0,0,0,0,107.3,0,0,88.04,0,0,0,14.67,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN14-21",0,0,5.29,0,38.77,0,0,0,0,0,126.87,0,0,0,0,5.29,0,0,21.15,0,0,21.15,0,0,0,0,0,0,0,0,0,0,3.52,0,10.57,0,0,0,0,0,3.52,0,0,31.72,0,0,0,0,0,0,0,0,0,0,0,33.48,0.88,0,0,0,0.88,0,0,0,0,0,0,200.88,0,0,0,5.29,169.16,0,0,0,0,0,0,0,0,0,0,0,0,5.29,0,0,0,1.76,0,0,0,0,0,0,0,5.29,0,0,0,0,0,0,5.29,0,0,0,4.71,0,0,0,0,0,0,0,15.86,44.05,0,0,7.05,0,0,190.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.29,0,0,10.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,570.92,0,0,0,0,0,0,0,0,0,3.52,0,0,0,0,0,0,0,0,0,5.29,0,0,0,0,0,7.05,0,0,0,0,0,0,0,0,95.15,0,0,0,0,5.29,0,0,0,0,21.15,0,0,84.58,0,0,0,0,0,0,0,0,0,317.18,0,0,5.3,36,0,0,0,0,66.96,0,0,475.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN14-22",0,0,0,0,116.16,0,4.71,0,0,4.71,4.71,0,0,0,0,4.71,0,0,0,0,4.71,9.42,0,0,0,7.85,9.42,0,0,0,0,0,0,0,0,31.4,0,0,0,9.42,0,0,4.71,18.84,0,0,0,0,0,0,28.26,0,9.42,0,0,14.13,9.42,0,0,0,22.6,9.42,4.71,0,0,0,0,188.37,0,4.71,0,0,103.6,0,0,0,0,0,0,0,0,0,0,0,0,9.42,0,0,0,10.99,0,4.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.42,0,0,0,0,4.71,0,0,0,81.63,0,0,4.71,0,0,0,0,0,37.67,0,0,0,0,0,0,0,0,0,0,37.67,18.84,0,4.71,0,0,0,9.42,0,0,0,0,0,0,0,0,1.88,0,1.88,0,0,339.07,0,0,0,0,0,0,0,9.42,0,48.66,0,0,4.71,0,0,0,0,0,75.35,0,0,0,0,0,0,0,0,0,0,0,18.84,0,0,0,125.58,0,0,0,0,9.42,0,0,0,0,0,0,0,65.93,0,0,0,0,0,0,94.19,0,0,197.79,0,0,0,0,9.42,0,0,0,0,0,0,565.12,4.71,0,0,0,0,0,114.59,0,0,0,0,0,0,0,0,0,0
"AN14-23",0,0,0,0,105.39,0,0,0,0,0,35.63,16.33,0,0,0,0,0,0,0,53.44,8.91,17.81,0,0,0,8.91,0,0,0,0,25.23,0,0,0,89.06,0,0,11.88,0,14.84,37.11,0,0,17.81,0,89.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.32,0,8.91,0,0,106.88,0,0,0,0,0,8.91,0,0,0,0,0,0,17.81,8.91,35.63,0,16.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91,32.66,0,0,0,0,0,0,0,0,0,0,0,62.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.91,8.91,0,0,0,0,0,0,38.59,0,0,0,0,0,0,0,0,0,0,0,0,374.07,0,0,0,0,0,0,0,0,0,31.17,0,0,0,0,0,0,0,0,0,0,8.91,0,0,0,0,0,0,0,0,0,0,0,0,0,754.08,0,0,0,0,0,0,0,0,0,0,0,0,213.75,0,0,0,0,0,0,0,0,0,53.44,8.91,0,0,0,0,0,0,0,108.36,0,0,89.06,285.01,0,0,0,0,0,1365.66,0,0,0,0,0,0,0,0,0,0
"AN14-24",0,0,0,0,0,0,0,0,0,0,0,17.45,0,0,0,0,0,0,0,0,0,0,0,4.71,0,5.82,0,0,0,0,9.7,0,47.09,0,122.44,0,47.09,131.86,0,0,94.19,0,0,0,0,0,0,0,0,0,0,197.79,0,0,0,38.79,0,0,0,0,0,0,0,0,0,0,0,51.8,0,4.71,0,0,65.93,0,9.42,0,0,0,0,0,0,0,0,160.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71,0,0,0,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,169.53,4.71,0,0,0,0,0,0,0,0,0.97,0,0,3.88,0,18.84,0,0,0,9.42,0,0,0,0,0,0,0,1.94,0,0,0,0,0,4.71,13.58,273.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153.2,0,0,0,0,0,0,0,484.82,0,0,31.03,0,4.71,0,0,0,0,0,0,0,94.19,0,0,0,0,0,0,0,0,0,4.71,0,0,47.1,0,4.71,0,0,0,0,23.27,0,47.09,1.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN14-25",0,0,0,0,26.5,2.65,0,0,0,0,26.5,0,0,0,0,42.4,0,0,2.65,0,0,5.3,5.3,0,0,0,0,0,0,0,0,0,0,0,7.95,0,0,0,0,5.3,0,0,5.3,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132.5,39.75,2.65,0,2.39,196.1,0,0,0,0,0,2.65,5.3,0,0,0,15.9,0,0,0,0,2.65,10.6,0,13.25,0,0,0,0,0,0,10.6,0,0,0,0,0,5.3,0,0,0,2.65,0,0,0,0,0,15.9,0,0,37.1,0,0,26.5,0,0,37.1,0,0,0,0,0,0,0,0,0,0,0,0,0,243.8,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.25,0,0,0,159,0,0,0,0,0,2.75,0,0,0,26.5,0,0,0,0,0,2.65,15.9,0,0,0,5.3,0,0,0,0,0,0,0,7.95,0,0,0,0,0,0,0,0,0,0,5.3,0,0,0,0,0,0,0,206.7,0,0,0,0,0,0,15.9,0,0,42.4,0,0,15.9,0,0,0,0,0,0,15.9,0,37.1,31.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AN14-5",0.62,0,108.51,0,0,0,0,0,0,1.23,7.4,0,0,0,0,8.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,9.86,0,0,0,0,0,2.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47,0,0,0,0,0.62,0,0,0,28.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0,2.47,0,0,102.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0,0,0,0,0,0,1.23,0,0,0,1.23,0,0,0,0,0,0,0,0,0,0,0,0.62,0,0,0,0,0,0,0,0,8.63,0,0,0.62,0,0,9.86,82.61,129.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.23,0.62,0
"AN14-5(5)",0.64,0,7.63,0,5.09,0,0,0,0,6.36,0.64,0,0,0,0,78.83,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.97,1.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,3.81,22.89,0,0,0,40.69,0,5.09,0,0,0,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0.64,0,0,1.27,0,0,0,0,6.36,0,0,0,1.27,0,0,0,0,1.27,0,0,0,0,0,6.4,0,0.64,0,0,0,0,0.64,3.81,0,0,0,0,0.64,0,0,0,0,0,77.56,0.64,0,0,0,2.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.26,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,44.5,0,0,0,11.44,0,0,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0.64,0,142.41,0,0,0,0,0.64,48.32,0,0,0,5.09,0,0,0,0,0,11.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.26,0.64,0
"AN14-6",0,0,0,0,0,0,0,0,0,1.61,4.84,0,0,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,238.73,3.23,0,0.81,0,233.89,0,0,0,0,0,0,0,0,0.8,0,0,0,0,0,4.84,0,0,0.81,0,0,24.2,0,0,0,0,0,0,0,1.61,0,0,0.81,0,0,0,0,0,98.39,4.84,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,11.29,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0,0,96.78,0,0,0,0,0,0,3.23,0,20.97,0,1.61,0,0,0.81,0,0,12.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.52,0,0,0,1017.81,0,0,0,0,0,3.23,0,0,0,0,0,0,0,0,0,0,0.81,0,0,1.61,0,0,64.52,0.81,151.62,0,0,0,0,0,3929.3,0,0,0,0,1.61,0,0,0,0,5.65,0,0,132.27,0,0,0,0,0,0,0,0,0,11.29,0,0,25.8,0,9.68,0,22.58,0,82.26,61.29,0,0,0,0,0,0,0,37.1,0,0,0,0,0,0,0,122.59,0,0,0
"AN14-6D",0,0,149.78,0,0,0.35,0,0,0,2.11,0.35,0,0,0,0,5.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,17.58,0,0,0,0,9.14,4.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,1.41,0,0,0,0,0,0,0,0,0,0.35,7.73,0,0,0,34.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.79,0.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.35,0,18.28,0,0,0.35,0,0,2.81,189.86,187.04,0,0,0,0,0.35,0,0,0.35,0,0,0,0,0,0,0,0,0,0,0,2.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.92,0,0
"AN14-7",0,0,1.26,0,12.57,0,0,0,0,0.63,1.26,0,0,0,0,7.54,0,0,0,0,0.63,0.63,0,0,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,3.77,2.51,0,0,0,2.51,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0,0,0.63,0,0.63,0,0,0,0,1.26,0.63,0,0,0,15.08,0.63,0,0,0,0,0,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.83,0.63,0,0,0.63,0,0,0,0,0,0,10.05,0,0,0,0,0,2.51,0,2.51,0,0,0,0,0,0,0,0,0,0,1.26,1206.53,0.63,0,0,0,0,5.03,0,37.7,0,0,0,0,0,0,0,0,0,0,0,0,27.65,0,0,0,0,0,0,0,0,0,22.62,0,0,0,0,0,0,7.54,0,0,0,0.63,0,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0,0,0,0,0.63,0,11.31,0,0,0,0,0,38.96,0,18.85,0,0,0,0,0,0,0,100.54,0,0,0,0,0,0,0,0,2.51,0,0,0,0,0,0,0,0,0,128.19,0,0,0,0,0,0,0,0,0,0
"AN14-7C (24)",0,0,159.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,15.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3,0,0,0,0,0.65,212.65,9.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,0
"AN14-9",0,0,0,0,6.09,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,2.03,0,0,0,0,0,0,0,0,8.12,0,0,0,11.16,0,0,0,0,0,8.12,0,0,1.01,0,0,0,0,0,4.06,0,0,0,0,0,12.18,0,0,0,0,0,0,1.01,0,0,0,0,5.07,1.01,0,0,0,26.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,1.01,0,0,4.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,1.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,71.03,0,0,0,0,4.06,0,0,0,0,44.65,0,0,0,0,0,0,0,0,0,0,0,0,1.01,0,0,0,0,0,1152.74,0,0,0,0,0,0,0,0,0,0
"AN14-L250-5",0,0,0,0,3.39,1.7,3.39,0,5.09,0,1.7,0,0,0,0,10.18,0,0,0,0,0,6.78,0,0,0,0,0,0,0,0,3.39,0,0,0,3.39,0,0,0,0,3.39,0,0,13.57,6.78,0,0,0,0,0,0,1.7,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,28.83,1.7,1.7,0,0,125.5,1.7,0,0,0,0,0,0,0,0,0,0,0,6.78,0,0,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,10.18,0,0,1.13,1.7,0,0,10.18,0,0,20.35,1.7,0,0,0,0,0,1.7,0,0,0,44.1,6.78,0,0,0,40.7,0,0,98.37,0,0,0,0,0,0,0,0,0,0,0,0,515.58,0,0,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,16.96,0,0,1.7,3.39,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,1.7,0,0,23.74,0,0,0,1.7,67.84,0,0,0,1.7,0,0,0,0,0,101.76,0,0,0,0,0,0,0,0,0,0,0,3.39,0,0,0,0,0,0,327.89,0,0,0,0,0,0,0,0,1.7,0
"AN14-T3",0,0,0,0,49.43,0,0,0,0,0,9.89,0,0,0,0,19.77,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,9.89,0,39.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.77,0,0,0,0,0,0,0,0,0,0,0,454.76,0,9.89,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89,0,0,59.32,103.8,0,0,19.77,0,0,217.49,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,9.89,0,0,0,59.32,0,0,0,0,0,0,0,0,0,0,0,0,0,11.12,0,1146.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,5239.62,0,0,434.99,0,9.89,0,0,9.89,0,9.89,0,0,177.95,0,0,0,0,0,0,0,0,0,197.72,0,0,0,0,0,0,0,0,137.17,0,0,0,0,0,0,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0
"TBS-50 PSBT 61",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.22,0,0,0,6.09,0,0,0,0,3.04,0,0,0,0,0,0,0,0,0,6.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.53,0,0,0,0,0,0,0,0,0,0,0,1.52,0,1.52,0,0,28.92,0,0,0,6.09,0,0,0,0,3.04,0,251.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.76,0,0,0,0,0,0,0,0,0,9.13,0,0,0,0,0,1.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.61,0,0,0,0,0,0,0,0,0,1.52,0,161.32,0,0,0,0,0,0,88.27,219.15,0,0,6.09,0,0,0.47,0,0,0,0,0,0,0,0,1.52,0,0,0,0,1.52,3.04,0,1.52,0,0,0,0,0,1.52,0,0,0,0,0,1077.51,0,10.65,0,0,24.35,0,0,0,0,4.57,0,0,50.22,0,0,0,0,0,0,0,0,0,413.96,0,0,6.09,0,0,0,0,0,0,170.45,0,0,0,0,1.52,0,0,0,0,0,0,1.52,0,0,0,0,0,0,0
