Year,Island,Plastic,Plastic_botles,Glass,Polyetilen,Rubber,Paper,Metal,Cans,Textil,Foam_Plastic,Other,
2008,Ряжков,7,1,1,0,0,3,0,8,0,0,0,
2008,Ряжков,24,0,1,2,0,0,0,5,0,1,0,
2008,Ряжков,9,0,0,1,0,1,0,5,0,2,0,
2008,Ряжков,0,2,2,2,0,1,0,15,0,0,0,
2008,Ряжков,7,2,0,2,0,0,0,3,0,0,0,
2008,Ряжков,2,4,7,1,0,1,0,5,0,0,0,
2008,Ряжков,1,1,1,0,0,0,0,0,0,0,0,
2008,Ряжков,1,1,0,0,0,1,0,2,0,2,0,
2008,Ряжков,8,0,0,0,0,0,0,5,0,0,0,
2008,Ряжков,2,4,1,0,0,1,0,0,0,0,0,
2008,Ряжков,1,3,0,1,0,2,0,2,0,0,0,
2008,Ряжков,0,2,0,0,0,0,0,1,0,0,0,
2008,Ряжков,2,1,0,1,0,0,0,1,0,0,0,
2008,Ряжков,4,4,0,1,0,0,0,2,0,0,0,
2008,Ряжков,0,3,0,4,0,9,0,16,0,0,0,
2008,Ряжков,10,6,1,3,0,2,0,3,0,1,0,
2008,Ряжков,9,0,1,0,0,0,0,2,0,4,0,
2008,Ряжков,7,4,1,5,0,0,0,1,0,0,0,
2008,Ряжков,8,2,0,2,0,0,0,3,0,0,0,
2008,Ряжков,1,2,0,0,0,0,0,2,0,0,0,
2008,Ряжков,23,9,2,1,0,3,0,12,0,3,0,
2008,Ряжков,37,11,1,9,0,1,0,8,0,1,0,
2008,Ряжков,2,2,0,6,0,0,0,2,0,0,0,
2008,Ряжков,5,2,0,1,0,1,0,0,0,0,0,
2008,Ряжков,7,1,0,0,0,0,0,2,0,0,0,
2008,Ряжков,1,0,0,1,0,0,0,2,0,0,0,
2008,Ряжков,1,0,0,0,0,0,0,0,0,0,0,
2008,Ряжков,0,1,0,0,0,0,0,1,0,0,0,
2008,Ряжков,1,0,0,2,0,0,0,1,0,0,0,
2008,Ряжков,0,0,1,0,0,0,0,0,0,0,0,
2008,Ряжков,1,0,2,4,0,0,0,0,0,0,0,
2008,Ряжков,4,1,1,2,0,0,0,0,0,1,0,
2008,Ряжков,5,6,0,5,0,0,0,0,0,2,0,
2008,Ряжков,6,4,0,2,0,0,0,1,0,3,0,
2008,Ряжков,3,3,0,3,0,1,0,1,0,2,0,
2008,Ряжков,6,1,0,5,0,0,0,2,0,0,0,
2008,Ряжков,5,2,0,4,0,0,0,0,0,0,0,
2008,Ряжков,34,10,2,8,0,0,0,10,0,2,0,
2008,Ряжков,8,14,2,6,0,1,0,4,0,2,0,
2008,Ряжков,4,6,0,11,0,0,0,1,0,0,0,
2008,Ряжков,7,10,0,2,0,0,0,2,0,1,0,
2008,Ряжков,5,6,0,12,0,1,0,0,0,0,0,
2008,Ряжков,7,5,2,12,0,0,0,8,0,0,0,
2008,Ряжков,0,5,1,2,0,1,0,0,0,0,0,
2008,Ряжков,6,3,1,3,0,0,0,6,0,1,0,
2008,Ряжков,9,9,0,8,0,0,0,2,0,0,0,
2008,Ряжков,5,5,1,3,0,2,0,1,0,2,0,
2008,Ряжков,4,12,2,2,0,1,0,14,0,0,0,
2008,Ряжков,7,14,1,4,0,2,0,12,0,0,0,
2008,Ряжков,1,5,0,1,0,3,0,1,0,2,0,
2008,Ряжков,10,8,2,4,0,1,0,7,0,1,0,
2008,Ряжков,21,13,0,7,0,0,0,35,0,3,0,
2008,Ряжков,10,9,2,6,0,0,0,6,0,1,0,
2008,Ряжков,7,3,2,0,0,10,0,5,0,1,0,
2008,Ряжков,4,0,0,0,0,0,0,5,0,1,0,
2008,Ряжков,1,1,2,1,0,1,0,0,0,0,0,
2008,Ряжков,3,2,1,3,0,0,0,0,0,0,0,
2008,Ряжков,10,17,3,0,0,2,0,5,0,3,0,
2008,Ряжков,1,18,0,18,0,2,0,10,0,0,0,
2008,Ряжков,0,11,0,3,0,0,0,0,0,0,0,
2008,Ряжков,4,26,2,2,0,1,0,5,0,0,0,
2008,Ряжков,6,3,0,5,0,0,0,16,0,1,0,
2008,Ряжков,9,17,2,4,0,9,0,8,0,1,0,
2008,Ряжков,9,18,3,3,0,2,0,7,0,0,0,
2008,Ряжков,19,15,3,6,0,2,0,11,0,1,0,
2008,Ряжков,10,4,3,1,0,1,0,20,0,0,0,
2008,Ряжков,23,1,1,3,0,4,0,22,0,0,0,
2008,Ряжков,9,6,2,1,0,6,0,10,0,1,0,
2008,Ряжков,4,1,2,3,0,0,0,7,0,0,0,
2008,Ряжков,10,6,2,2,0,1,0,9,0,0,0,
2008,Ряжков,7,5,2,4,0,0,0,7,0,1,0,
2008,Ряжков,7,4,0,2,0,4,0,6,0,0,0,
2008,Ряжков,2,4,1,0,0,0,0,10,0,0,0,
2008,Ряжков,3,4,0,2,0,0,0,8,0,0,0,
2008,Ряжков,4,4,3,1,0,1,0,9,0,1,0,
2008,Ряжков,3,4,0,2,0,0,0,3,0,0,0,
2008,Ряжков,4,2,0,2,0,0,0,3,0,0,0,
2008,Ряжков,3,5,0,2,0,0,0,3,0,0,0,
2008,Ряжков,0,2,2,2,0,0,0,7,0,0,0,
2008,Ряжков,5,1,2,1,0,0,0,8,0,0,0,
2008,Ряжков,3,3,2,0,0,0,0,7,0,0,0,
2008,Ряжков,4,7,0,0,0,2,0,7,0,2,0,
2008,Ряжков,3,0,1,0,0,0,0,6,0,3,0,
2008,Ряжков,1,2,1,2,0,0,0,2,0,0,0,
2008,Ряжков,6,3,1,1,0,0,0,5,0,0,0,
2008,Ряжков,4,2,4,2,0,0,0,12,0,0,0,
2008,Ряжков,4,3,0,1,0,1,0,3,0,0,0,
2008,Ряжков,9,3,0,2,0,2,0,15,0,1,0,
2008,Ряжков,3,1,2,0,0,0,0,10,0,0,0,
2008,Ряжков,3,1,1,3,0,0,0,6,0,0,0,
2008,Ряжков,3,8,3,2,0,0,0,8,0,0,0,
2008,Ряжков,7,1,0,0,0,0,0,12,0,1,0,
2008,Ряжков,0,1,2,0,0,2,0,2,0,0,0,
2008,Ряжков,4,2,0,2,0,4,0,11,0,0,0,
2008,Ряжков,3,2,0,1,0,0,0,7,0,1,0,
2008,Ряжков,1,1,0,0,0,0,0,2,0,0,0,
2008,Ряжков,6,0,0,3,0,0,0,2,0,0,0,
2008,Ряжков,8,4,0,2,0,0,0,13,0,1,0,
2008,Ряжков,0,0,0,0,0,0,0,0,0,0,0,
2008,Ряжков,0,0,0,0,0,0,0,0,0,0,0,
2008,Ряжков,0,0,0,0,0,0,0,0,0,0,0,
2008,Ряжков,0,0,0,0,0,0,0,0,0,0,0,
2008,Ряжков,0,0,0,0,0,0,0,0,0,0,0,
2008,Ряжков,0,0,0,0,0,0,0,0,0,0,0,
2008,Ряжков,0,0,0,0,0,0,0,0,0,0,0,
2008,Ряжков,0,0,0,0,0,0,0,0,0,0,0,
2009,Ряжков,0,0,0,3,0,0,0,0,0,0,0,
2009,Ряжков,3,1,0,2,0,0,0,0,0,0,0,
2009,Ряжков,11,2,0,65,0,0,2,2,0,0,1,
2009,Ряжков,4,0,2,40,0,4,1,0,0,0,2,
2009,Ряжков,0,0,0,3,0,0,0,0,0,0,0,
2009,Ряжков,1,1,0,1,0,0,0,1,0,0,0,
2009,Ряжков,0,0,2,4,0,0,0,0,0,0,0,
2009,Ряжков,1,1,0,2,0,0,0,0,0,1,0,
2009,Ряжков,2,0,1,3,0,0,0,0,0,2,1,
2009,Ряжков,0,2,0,0,0,0,1,0,0,0,0,
2009,Ряжков,1,2,0,3,0,0,0,0,0,1,0,
2009,Ряжков,0,1,0,0,0,0,0,0,0,1,0,
2009,Ряжков,2,4,0,0,1,1,0,1,0,2,1,
2009,Ряжков,0,0,0,0,0,0,1,0,0,0,0,
2009,Ряжков,0,0,0,0,0,0,0,0,0,0,0,
2009,Ряжков,0,0,0,0,0,0,0,0,0,0,0,
2009,Ряжков,0,3,0,5,0,0,0,1,0,0,0,
2009,Ряжков,0,3,0,3,1,0,0,0,0,0,4,
2009,Ряжков,0,2,1,1,2,0,0,0,0,1,0,
2009,Ряжков,2,1,0,5,0,0,2,2,0,0,1,
2009,Ряжков,0,1,0,0,0,0,0,0,0,0,0,
2009,Ряжков,3,3,0,1,0,0,0,1,0,2,0,
2009,Ряжков,0,0,0,0,0,0,1,0,0,1,0,
2009,Ряжков,0,1,2,0,0,0,0,0,0,0,0,
2009,Ряжков,3,2,1,3,0,0,0,0,0,0,0,
2009,Ряжков,3,1,2,7,0,1,1,0,0,0,0,
2009,Ряжков,4,3,2,15,1,3,3,0,0,0,0,
2009,Ряжков,0,0,1,4,0,0,0,0,0,0,0,
2009,Ряжков,0,2,0,0,0,1,0,0,0,0,0,
2009,Ряжков,0,0,0,6,1,0,0,0,0,0,0,
2009,Ряжков,0,2,0,1,0,0,0,0,0,0,1,
2009,Ряжков,2,0,0,0,0,1,0,0,0,1,1,
2009,Ряжков,1,2,0,1,0,0,0,0,0,2,0,
2009,Ряжков,1,3,4,7,0,0,2,0,0,4,0,
2009,Ряжков,0,8,2,6,1,6,2,0,0,2,0,
2009,Ряжков,1,3,1,1,0,1,2,0,1,0,0,
2009,Ряжков,0,4,1,5,1,0,0,0,0,1,0,
2009,Ряжков,4,2,1,13,1,1,0,0,0,0,1,
2009,Ряжков,8,2,1,4,0,2,0,1,1,0,1,
2009,Ряжков,5,3,1,30,0,1,0,0,1,1,0,
2009,Ряжков,1,0,1,1,1,0,0,0,1,1,0,
2009,Ряжков,0,0,0,0,0,0,1,0,0,1,0,
2009,Ряжков,0,1,0,2,0,0,1,0,2,0,1,
2009,Ряжков,0,1,0,1,0,0,0,0,0,0,1,
2009,Ряжков,2,2,1,10,0,0,0,0,0,1,0,
2009,Ряжков,0,2,0,3,0,0,0,0,0,1,1,
2009,Ряжков,0,0,0,0,0,0,0,0,0,0,0,
2009,Ряжков,8,0,0,3,0,0,0,0,0,0,0,
2009,Ряжков,0,0,0,0,0,0,0,0,0,0,0,
2009,Ряжков,0,3,0,9,0,0,0,0,0,0,0,
2009,Ряжков,1,2,1,2,0,0,1,0,2,1,1,
2009,Ряжков,0,0,1,1,0,0,0,0,0,0,0,
2009,Ряжков,1,2,0,5,0,0,0,0,0,0,0,
2009,Ряжков,2,1,1,2,0,0,5,0,0,1,0,
2009,Ряжков,0,1,0,1,1,0,1,0,0,0,0,
2009,Ряжков,0,3,0,6,0,0,1,0,0,1,0,
