Year,Bank,Sample,L,L_class
2018,korg,2,5,NA
2018,korg,2,5,NA
2018,korg,2,5,NA
2018,korg,2,5,NA
2018,korg,2,5,NA
2018,korg,2,5,NA
2018,korg,2,5,NA
2018,korg,2,5,NA
2018,korg,2,5,NA
2018,korg,2,5,NA
2018,korg,2,6,NA
2018,korg,2,6,NA
2018,korg,2,6,NA
2018,korg,2,6,NA
2018,korg,2,6,NA
2018,korg,2,6,NA
2018,korg,2,6,NA
2018,korg,2,6,NA
2018,korg,2,6,NA
2018,korg,2,6,NA
2018,korg,2,7,NA
2018,korg,2,7,NA
2018,korg,2,7,NA
2018,korg,2,7,NA
2018,korg,2,7,NA
2018,korg,2,7,NA
2018,korg,2,8,NA
2018,korg,2,8,NA
2018,korg,2,8,NA
2018,korg,2,8,NA
2018,korg,2,9,NA
2018,korg,2,9,NA
2018,korg,2,10,NA
2018,korg,2,10,NA
2018,korg,2,10,NA
2018,korg,2,10,NA
2018,korg,2,0.5,NA
2018,korg,2,0.5,NA
2018,korg,2,0.5,NA
2018,korg,2,0.5,NA
2018,korg,2,0.5,NA
2018,korg,2,0.5,NA
2018,korg,2,0.5,NA
2018,korg,2,0.5,NA
2018,korg,2,0.5,NA
2018,korg,2,0.5,NA
2018,korg,2,0.5,NA
2018,korg,2,0.5,NA
2018,korg,2,0.5,NA
2018,korg,2,0.5,NA
2018,korg,2,0.5,NA
2018,korg,2,0.5,NA
2018,korg,2,0.5,NA
2018,korg,2,0.5,NA
2018,korg,2,0.5,NA
2018,korg,2,0.5,NA
2018,korg,2,0.5,NA
2018,korg,2,0.5,NA
2018,korg,2,0.5,NA
2018,korg,2,0.5,NA
2018,korg,2,25,NA
2018,korg,2,30,NA
2018,korg,2,21,NA
2018,korg,2,27,NA
2018,korg,2,24,NA
2018,korg,2,25,NA
2018,korg,2,25,NA
2018,korg,2,20,NA
2018,korg,2,17,NA
2018,korg,2,15,NA
2018,korg,2,19,NA
2018,korg,2,16,NA
2018,korg,2,27,NA
2018,korg,2,25,NA
2018,korg,2,20,NA
2018,korg,2,24,NA
2018,korg,2,28,NA
2018,korg,2,28,NA
2018,korg,2,22,NA
2018,korg,2,25,NA
2018,korg,2,17,NA
2018,korg,2,20,NA
2018,korg,2,20,NA
2018,korg,2,14,NA
2018,korg,2,26,NA
2018,korg,2,20,NA
2018,korg,2,28,NA
2018,korg,2,20,NA
2018,korg,2,22,NA
2018,korg,2,31,NA
2018,korg,2,21,NA
2018,korg,2,25,NA
2018,korg,2,19,NA
2018,korg,2,20,NA
2018,korg,2,17,NA
2018,korg,2,16,NA
2018,korg,2,34,NA
2018,korg,2,26,NA
2018,korg,2,27,NA
2018,korg,2,21,NA
2018,korg,2,32,NA
2018,korg,2,23,NA
2018,korg,2,19,NA
2018,korg,2,22,NA
2018,korg,2,17,NA
2018,korg,2,21,NA
2018,korg,2,14,NA
2018,korg,2,15,NA
2018,korg,2,30,NA
2018,korg,2,27,NA
2018,korg,2,29,NA
2018,korg,2,24,NA
2018,korg,2,27,NA
2018,korg,2,22,NA
2018,korg,2,23,NA
2018,korg,2,20,NA
2018,korg,2,16,NA
2018,korg,2,19,NA
2018,korg,2,16,NA
2018,korg,2,17,NA
2018,korg,2,15,NA
2018,korg,2,14,NA
2018,korg,2,13,NA
2018,korg,2,11,NA
2018,korg,2,11,NA
2018,korg,2,14,NA
2018,korg,2,14,NA
2018,korg,2,12,NA
2018,korg,2,12,NA
2018,korg,2,11,NA
2018,korg,2,14,NA
2018,korg,2,15,NA
2018,korg,2,11,NA
2018,korg,2,12,NA
2018,korg,2,11,NA
2018,korg,2,16,NA
2018,korg,2,15,NA
2018,korg,2,12,NA
2018,korg,2,11,NA
2018,korg,2,14,NA
2018,korg,2,12,NA
2018,korg,2,11,NA
2018,korg,2,12,NA
2018,korg,2,14,NA
2018,korg,2,11,NA
2018,korg,2,11,NA
2018,korg,2,11,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
2018,korg,3,1,NA
