date,time,Air_T,S,wind,wave,Water_T
22.07.2019,0:00,14.4,21,SW,1,10.36
22.07.2019,6:00,12.4,22,S,0,11.23
22.07.2019,12:00,19.6,21,SW,0,11.86
22.07.2019,18:00,21.5,22,SW,0,11.48
23.07.2019,0:00,15.2,22,SW,0,11.36
23.07.2019,6:00,12.8,23,S,1,12.36
23.07.2019,12:00,17.9,21,SE,1,12.48
23.07.2019,18:00,19.1,22,SE,1,14.43
24.07.2019,0:00,14.4,23,SE,1,11.55
24.07.2019,6:00,14.6,34,NW,1,12.74
24.07.2019,12:00,17.7,20,SE,1,14.05
24.07.2019,18:00,20.7,22,SE,3,15.74
25.07.2019,0:00,14.4,20,NE,2,15.18
25.07.2019,6:00,14.1,20,SW,1,15.55
25.07.2019,12:00,19.7,22,W,1,12.48
25.07.2019,18:00,20.5,22,W,1,17.37
26.07.2019,0:00,16.3,23,NA,0,14.99
26.07.2019,6:00,14.7,21,NA,0,13.92
26.07.2019,12:00,23,22,NA,0,15.3
26.07.2019,18:00,21.2,21,NA,0,15.68
27.07.2019,0:00,19.6,20,N,1,17.68
27.07.2019,6:00,16.3,19,N,1,16.99
27.07.2019,12:00,19.1,19,NW,1,17.12
27.07.2019,18:00,22.1,19,NW,1,17.37
28.07.2019,0:00,12.8,20,NW,3,18.43
28.07.2019,6:00,8.7,19,NW,1,17.05
28.07.2019,12:00,11.5,20,NW,1,16.74
28.07.2019,18:00,10.9,20,NW,1,14.74
29.07.2019,0:00,7.3,20,NW,1,14.61
29.07.2019,6:00,7,20,N,1,13.36
29.07.2019,12:00,9.2,20,NW,1,12.99
29.07.2019,18:00,9.5,20,NW,1,12.74
30.07.2019,0:00,8.2,21,N,1,12.36
30.07.2019,6:00,7.9,21,W,2,11.86
30.07.2019,12:00,8.9,21,NW,2,10.98
30.07.2019,18:00,10,22,NW,2,9.23
31.07.2019,0:00,7.1,24,NW,4,8.98
31.07.2019,6:00,7.7,23,N,1,8.48
31.07.2019,12:00,9.8,21,W,1,7.98
31.07.2019,18:00,12.1,22,W,1,8.16
01.08.2019,0:00,8.3,24,NW,1,8.16
01.08.2019,6:00,7.9,21,N,2,7.85
01.08.2019,12:00,11.6,21,NA,0,7.22
01.08.2019,18:00,10.5,21,NW,1,7.98
02.08.2019,0:00,9.4,22,E,0,7.22
02.08.2019,6:00,7.8,24,NE,1,7.41
