"","Station","Long","Lat","Depth","Date","Constructed","No","Month"
"21651","O21",74.0120895938746,72.4166206638183,11,2017-04-27 03:00:00,22.9939117431641,23.1963996887207,4
"21652","O22",73.4988268904882,72.3711318563435,11.75,2017-04-27 03:00:00,19.4450416564941,18.1052589416504,4
"21653","O24",73.7349002111026,72.3173051555688,11.5,2017-04-27 03:00:00,17.7218399047852,17.8426990509033,4
"21654","O25",73.2754109884043,72.282942782585,11.8,2017-04-27 03:00:00,16.72145652771,15.9418697357178,4
"21655","O27",73.511001269064,72.2293820655896,11.75,2017-04-27 03:00:00,14.8257904052734,14.7026462554932,4
"21656","O28",73.0558876226892,72.1926233720616,13.25,2017-04-27 03:00:00,15.3140316009521,15.0298608144124,4
"21657","O29",73.173592183646,72.1660093114438,15.3,2017-04-27 03:00:00,14.9215822219849,14.2607975006104,4
"21658","O30",73.2909574022571,72.1393245109186,13.15,2017-04-27 03:00:00,13.2702299753825,12.9122784932454,4
"21659","O31",72.8975084958415,72.3432616514305,6,2017-04-27 03:00:00,17.3870468139648,16.9547309875488,4
"21660","O32",74.2612625656355,72.3415358637732,13,2017-04-27 03:00:00,22.5508054097493,22.7488931020101,4
"21661","O33",74.6168795621217,72.3361383600141,13,2017-04-27 03:00:00,21.8848425547282,21.933749516805,4
"21662","O34",73.8061251510736,72.1644999939066,12.5,2017-04-27 03:00:00,15.2815637588501,15.224523862203,4
"21663","O35",73.9523029893319,72.1653343248511,12.5,2017-04-27 03:00:00,16.3548927307129,16.369436899821,4
"21664","O36",74.098493829918,72.1660598482393,12.5,2017-04-27 03:00:00,17.5723597208659,17.5999736785889,4
"21665","O37",73.9608594675773,72.2173660098347,12.5,2017-04-27 03:00:00,17.8884474436442,17.8773727416992,4
"21666","O38",73.957730413716,72.1205579229866,12.5,2017-04-27 03:00:00,15.6591294606527,15.6273393630981,4
"21667","O39",74.9820934374295,72.3398930731416,9.5,2017-04-27 03:00:00,20.3049030303955,20.0824909210205,4
"21668","O40",72.6353944576255,72.0003672427614,9.25,2017-04-27 03:00:00,12.3947696685791,12.0375099182129,4
"21669","O41",72.9252015044986,72.0016095187983,15.5,2017-04-27 03:00:00,15.3640699386597,14.7360277175903,4
"21670","O42",73.215044405428,72.0022627843704,14,2017-04-27 03:00:00,12.2012901306152,12.0035915374756,4
"21671","O43",73.5048834157483,72.00153157603,9.4,2017-04-27 03:00:00,13.5014543533325,13.2964525222778,4
"21672","O44",73.7946966111388,72.0003692003054,11.75,2017-04-27 03:00:00,15.2035007476807,15.0007476806641,4
"21673","O45",74.0844835302265,72.0010840289,11.25,2017-04-27 03:00:00,16.0345401763916,15.8401308059692,4
