ID;x;y
10;10.071100;8.077200
10;10.119800;7.816900
10;10.306100;7.562900
10;10.610900;7.325800
10;11.034200;6.987100
10;11.525300;6.716200
10;11.982500;6.411400
10;12.321100;6.208200
10;12.676700;6.072700
10;13.218600;5.835700
10;13.828200;5.920300
10;14.336200;6.038900
10;14.810300;6.275900
10;15.149000;6.546900
10;15.487700;6.953300
10;15.589300;7.275000
10;15.657000;7.529000
10;15.707800;7.783000
10;15.724700;8.037000
10;15.640100;8.392600
10;15.521500;8.663500
10;15.267500;8.900600
10;15.115100;9.036100
10;14.861100;9.137700
10;14.539400;9.154600
10;14.183800;9.103800
10;13.912900;9.036100
10;13.523400;8.968300
10;13.201700;8.900600
10;12.829100;8.832900
10;12.490500;8.748200
10;12.050200;8.680500
10;11.677700;8.578900
10;11.305100;8.528100
10;11.000300;8.460300
10;10.746300;8.341800
10;10.526200;8.240200
10;10.356900;8.206300
10;10.170600;8.189400
13;9.357800;4.777300
13;9.442500;4.616500
13;9.683800;4.337100
13;9.912400;4.159300
13;10.141000;3.981500
13;10.395000;3.854500
13;10.610900;3.752900
13;10.822500;3.625900
13;11.059600;3.532700
13;11.322100;3.456500
13;11.677700;3.448100
13;11.999400;3.490400
13;12.287300;3.583500
13;12.659800;3.719000
13;13.023900;3.879900
13;13.277900;4.074600
13;13.430300;4.303200
13;13.481100;4.514900
13;13.472600;4.726500
13;13.430300;4.997500
13;13.294800;5.200700
13;13.125500;5.344600
13;12.812200;5.488500
13;12.456600;5.530900
13;12.134900;5.505500
13;11.880900;5.471600
13;11.584500;5.437700
13;11.305100;5.403900
13;10.953800;5.289600
13;10.649000;5.213400
13;10.445800;5.200700
13;10.185400;5.130800
13;9.969500;5.054600
13;9.829800;5.016500
13;9.715500;4.991100
13;9.620300;4.938200
13;9.544100;4.938200
13;9.459400;4.904300
13;9.391700;4.862000
14;1.752600;7.035800
14;1.822500;6.800900
14;2.008700;6.546900
14;2.228900;6.309800
14;2.465900;6.021900
14;2.669100;5.869500
14;3.024700;5.683300
14;3.278700;5.463100
14;3.549700;5.293800
14;3.922200;5.073700
14;4.311700;5.005900
14;4.819700;5.039800
14;5.361500;5.158300
14;5.869500;5.259900
14;6.259000;5.429300
14;6.716200;5.767900
14;6.970200;6.191300
14;7.088700;6.614600
14;7.004100;6.902500
14;6.868600;7.325800
14;6.648500;7.630600
14;6.292900;7.816900
14;6.021900;7.918500
14;5.717100;7.969300
14;5.395400;7.969300
14;5.175300;7.918500
14;4.819700;7.833800
14;4.531800;7.766100
14;4.210100;7.681400
14;3.854500;7.613700
14;3.515800;7.562900
14;3.244900;7.495100
14;2.940100;7.427400
14;2.719900;7.359700
14;2.499800;7.325800
14;2.245800;7.207300
14;2.076500;7.173400
14;1.941000;7.173400
14;1.822500;7.173400
15;11.779300;9.713400
15;11.796200;9.459400
15;11.931700;9.239300
15;12.050200;9.036100
15;12.338100;8.748200
15;12.693700;8.426500
15;13.184700;7.986200
15;13.557300;7.698300
15;13.879000;7.478200
15;14.234600;7.258100
15;14.759500;7.258100
15;15.301400;7.325800
15;15.758600;7.495100
15;16.198900;7.783000
15;16.588300;8.053900
15;16.910100;8.409500
15;17.113300;8.900600
15;17.198000;9.239300
15;17.198000;9.577900
15;17.113300;9.899700
15;16.944000;10.153700
15;16.723800;10.407700
15;16.385100;10.560100
15;16.165000;10.627800
15;15.843300;10.661700
15;15.487700;10.610900
15;15.182900;10.509300
15;14.827300;10.441500
15;14.539400;10.306100
15;14.302300;10.272200
15;14.014500;10.187500
15;13.692700;10.136700
15;13.387900;10.102900
15;13.133900;10.069000
15;12.863000;10.001300
15;12.558200;9.916600
15;12.321100;9.848900
15;12.117900;9.815000
15;11.931700;9.815000
16;2.971800;18.796000
16;3.024700;18.493400
16;3.160200;18.307100
16;3.397300;18.087000
16;3.685100;17.782200
16;3.973000;17.528200
16;4.311700;17.240300
16;4.701100;16.986300
16;4.989000;16.817000
16;5.344600;16.664500
16;5.751000;16.596800
16;6.191300;16.681500
16;6.614600;16.783100
16;6.987100;16.901600
16;7.359700;17.071000
16;7.664500;17.291100
16;7.867700;17.629800
16;8.003100;17.951500
16;8.020100;18.290200
16;8.003100;18.595000
16;7.884600;18.849000
16;7.749100;19.069100
16;7.545900;19.221500
16;7.308900;19.357000
16;7.037900;19.441600
16;6.665400;19.492400
16;6.326700;19.458600
16;5.869500;19.390800
16;5.513900;19.323100
16;5.158300;19.272300
16;4.768900;19.255400
16;4.464100;19.170700
16;4.159300;19.136800
16;3.922200;19.103000
16;3.651300;19.052200
16;3.448100;18.967500
16;3.295700;18.933600
16;3.177100;18.899800
16;3.058600;18.882800
17;1.473200;9.613900
17;1.551500;9.408600
17;1.754700;9.222300
17;2.059500;8.968300
17;2.364300;8.748200
17;2.703000;8.595800
17;3.007800;8.443400
