Ecology;Site;Site_code;Latitude;Longitude;Year;Date;Sample;N;ID;DN;Rate_of_aneuploid_cells;Ploidy_of_aneuploid_cells;BTN_genotype;COI-test_Hemo;COI-test_Foot;Sex;L;Last_ring;Increment;Age;ring1;ring2;ring3;ring4;ring5;ring6;ring7;ring8;ring9;ring10;ring11;ring12;ring13;OGP_sample;OGP_site
yes;Marchekan's littor near the ships;MCHK;"59,5411507";"150,7803444";2021;05.07.2021;Single;64;56;no;0;NA;healthy;NA;NA;NA;"37,5";"35,8";"1,7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,815950112"
yes;Marchekan's littor near the ships;MCHK;"59,5411507";"150,7803444";2021;05.07.2021;Single;64;57;no;0;NA;healthy;NA;NA;NA;"36,3";"35,2";"1,1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,815950112"
yes;Marchekan's littor near the ships;MCHK;"59,5411507";"150,7803444";2021;05.07.2021;Single;64;58;no;0;NA;healthy;NA;NA;NA;"34,8";"34,5";"0,3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,815950112"
yes;Marchekan's littor near the ships;MCHK;"59,5411507";"150,7803444";2021;05.07.2021;Single;64;59;no;0;NA;healthy;NA;NA;NA;"35,5";34;"1,5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,815950112"
yes;Marchekan's littor near the ships;MCHK;"59,5411507";"150,7803444";2021;05.07.2021;Single;64;60;no;0;NA;healthy;NA;NA;NA;"37,1";"36,2";"0,9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,815950112"
yes;Marchekan's littor near the ships;MCHK;"59,5411507";"150,7803444";2021;05.07.2021;Single;64;61;no;0;NA;healthy;NA;NA;NA;"35,2";"34,3";"0,9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,815950112"
yes;Marchekan's littor near the ships;MCHK;"59,5411507";"150,7803444";2021;05.07.2021;Single;64;62;no;0;NA;healthy;NA;NA;NA;"39,3";"37,2";"2,1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,815950112"
yes;Marchekan's littor near the ships;MCHK;"59,5411507";"150,7803444";2021;05.07.2021;Single;64;63;no;0;NA;healthy;NA;NA;NA;"37,4";"36,5";"0,9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,815950112"
yes;Marchekan's littor near the ships;MCHK;"59,5411507";"150,7803444";2021;05.07.2021;Single;64;64;no;0;NA;healthy;NA;NA;NA;"37,1";"35,6";"1,5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,815950112"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;1;no;0;NA;healthy;NA;NA;male;"47,8";"47,4";"0,4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;2;no;0;NA;healthy;NA;NA;male;"51,6";"50,6";1;7;NA;"4,8";"12,2";"21,9";"33,2";"46,7";"50,6";NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;3;no;0;NA;healthy;NA;NA;female;"47,3";"46,1";"1,2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;4;no;0;NA;healthy;NA;NA;female;"48,9";"47,3";"1,6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;5;no;0;NA;healthy;NA;NA;male;"55,7";"55,2";"0,5";12;NA;"4,1";9;"12,8";"18,3";"26,1";"34,6";"39,8";"44,1";"48,2";"53,3";"55,2";NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;6;no;0;NA;healthy;NA;NA;male;"46,5";"46,1";"0,4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;7;no;0;NA;healthy;NA;NA;male;"43,3";"42,4";"0,9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;8;no;0;NA;healthy;NA;NA;male;"50,2";"48,1";"2,1";8;3;"5,5";"9,1";"16,1";"20,5";"31,8";44;"48,1";NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;9;no;0;NA;healthy;NA;NA;male;"47,4";"46,6";"0,8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;10;no;0;NA;healthy;NA;NA;female;"58,7";"58,5";"0,2";11;NA;6;"9,1";"16,9";"21,4";"29,6";"35,3";"42,3";"50,2";"55,1";"58,5";NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;11;no;0;NA;healthy;NA;NA;male;"49,7";48;"1,7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;12;yes;100;NA;BTN1;COI-X*/COI-U1;COI-X*;no gametes;"53,7";"52,9";"0,8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
yes;Gertnera Inlet;GER;"59,558174";"150,929357";2021;06.07.2021;Single;64;13;no;0;NA;healthy;NA;NA;male;"49,2";"48,6";"0,6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"0,842631788"
