Ecology;Site;Site_code;Latitude;Longitude;Year;Date;Sample;N;ID;DN;Rate_of_aneuploid_cells;Ploidy_of_aneuploid_cells;BTN_genotype;COI-test_Hemo;COI-test_Foot;Sex;L;Last_ring;Increment;Age;ring1;ring2;ring3;ring4;ring5;ring6;ring7;ring8;ring9;ring10;ring11;ring12;ring13;OGP_sample;OGP_site
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;8;no;0;NA;healthy;NA;NA;male;"49,9";"48,5";"1,4";9;NA;"5,2";"14,3";"20,4";"27,3";"36,9";"39,5";"43,4";"48,5";NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;9;no;0;NA;healthy;NA;NA;male;"50,7";49;"1,7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;10;no;0;NA;healthy;NA;NA;male;44;"41,6";"2,4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;11;no;0;NA;healthy;NA;NA;female;45;"42,2";"2,8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;12;no;0;NA;healthy;NA;NA;female;54;"51,5";"2,5";8;NA;"5,9";"11,4";"17,9";"33,3";"41,3";48;"51,5";NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;13;no;0;NA;healthy;NA;NA;male;"43,8";"42,2";"1,6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;14;no;0;NA;healthy;NA;NA;male;"51,6";"50,2";"1,4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;15;no;0;NA;healthy;NA;NA;female;"47,3";"44,2";"3,1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;16;no;0;NA;healthy;NA;NA;female;"46,7";"45,4";"1,3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;17;no;0;NA;healthy;NA;NA;female;"44,6";"43,5";"1,1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;18;no;0;NA;healthy;NA;NA;male;"45,4";"43,6";"1,8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;19;no;0;NA;healthy;NA;NA;male;51;"48,8";"2,2";7;NA;"5,5";"14,2";"24,5";35;"43,8";"48,8";NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;20;no;0;NA;healthy;NA;NA;female;"50,6";49;"1,6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;21;no;0;NA;healthy;NA;NA;no gametes;"48,5";"45,8";"2,7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;22;no;0;NA;healthy;NA;NA;male;"50,1";"47,9";"2,2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;23;no;0;NA;healthy;NA;NA;female;"50,7";"48,3";"2,4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;24;no;0;NA;healthy;NA;NA;female;"50,8";49;"1,8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;25;no;0;NA;healthy;NA;NA;female;"51,6";"49,5";"2,1";8;NA;"4,6";"12,4";"22,3";"34,9";41;"46,4";"49,5";NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;26;no;0;NA;healthy;NA;NA;male;"45,7";"44,9";"0,8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;27;no;0;NA;healthy;NA;NA;female;"42,2";"40,8";"1,4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;28;no;0;NA;healthy;NA;NA;male;"47,3";46;"1,3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;29;no;0;NA;healthy;NA;NA;female;"53,1";52;"1,1";9;NA;"5,8";"9,5";"16,8";29;"40,1";"45,7";"48,6";52;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;30;no;0;NA;healthy;NA;NA;no gametes;"43,5";"42,6";"0,9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;31;no;0;NA;healthy;NA;NA;male;"49,2";"48,5";"0,7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;32;no;0;NA;healthy;NA;NA;male;"52,6";"50,8";"1,8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;33;no;0;NA;healthy;NA;NA;no gametes;"50,5";50;"0,5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;34;no;0;NA;healthy;NA;NA;female;"56,6";"56,3";"0,3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;35;no;0;NA;healthy;NA;NA;male;"52,2";"50,7";"1,5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;36;no;0;NA;healthy;NA;NA;male;"48,5";"46,9";"1,6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;37;no;0;NA;healthy;NA;NA;female;"47,9";"45,8";"2,1";9;NA;"6,9";12;"18,3";"27,4";"33,3";"37,7";"41,6";"45,8";NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;38;no;0;NA;healthy;NA;NA;female;"49,6";48;"1,6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;39;no;0;NA;healthy;NA;NA;female;"42,1";"41,3";"0,8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;40;no;0;NA;healthy;NA;NA;male;"52,6";"51,3";"1,3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;41;no;0;NA;healthy;NA;NA;female;"47,9";"46,5";"1,4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;42;no;0;NA;healthy;NA;NA;no gametes;"56,5";"56,2";"0,3";10;NA;6;11;"18,6";"32,9";"42,7";"51,2";"53,5";"54,9";"56,2";NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;43;yes;75;"3,6";BTN2.1;COI-12/COI-1;COI-12;no gametes;"54,1";"52,9";"1,2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;44;no;0;NA;healthy;NA;NA;female;"50,7";"50,3";"0,4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;45;no;0;NA;healthy;NA;NA;female;"47,3";"46,2";"1,1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;46;no;0;NA;healthy;NA;NA;female;"49,4";"46,7";"2,7";7;NA;"5,4";"9,1";"19,2";"32,7";"44,2";"46,7";NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;47;no;0;NA;healthy;NA;NA;male;"49,4";"48,3";"1,1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;48;no;0;NA;healthy;NA;NA;female;"52,4";51;"1,4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;49;no;0;NA;healthy;NA;NA;female;"50,8";"48,8";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;50;no;0;NA;healthy;NA;NA;female;"51,6";"50,3";"1,3";8;NA;"7,2";"11,2";"17,5";"33,2";"41,7";"47,8";"50,3";NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;51;no;0;NA;healthy;NA;NA;male;"45,1";"44,4";"0,7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;52;no;0;NA;healthy;NA;NA;male;"52,2";"50,8";"1,4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;53;no;0;NA;healthy;NA;NA;female;"56,1";"54,5";"1,6";10;NA;6;"11,4";"20,8";"34,7";"42,9";47;"49,6";"52,7";"54,5";NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;54;no;0;NA;healthy;NA;NA;male;"47,1";"46,5";"0,6";8;NA;"6,1";"9,6";"20,2";"33,6";"41,5";"45,2";"46,5";NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;55;no;0;NA;healthy;NA;NA;no gametes;"47,6";"46,7";"0,9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;56;yes;100;NA;BTN1;t812KDK_LH*/COI-U1;t812KDK_LH*/COI-U1;no gametes;"47,9";"47,2";"0,7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;57;no;0;NA;healthy;NA;NA;female;"46,3";44;"2,3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;58;no;0;NA;healthy;NA;NA;female;"50,2";"49,5";"0,7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;59;no;0;NA;healthy;NA;NA;female;47;"45,3";"1,7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;60;no;0;NA;healthy;NA;NA;female;"43,7";43;"0,7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;61;no;0;NA;healthy;NA;NA;female;"47,7";"45,5";"2,2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;62;no;0;NA;healthy;NA;NA;male;"46,8";"45,3";"1,5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;63;no;0;NA;healthy;NA;NA;female;"45,3";44;"1,3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;12.07.2021;Single;64;64;no;0;NA;healthy;NA;NA;female;"45,7";"45,1";"0,6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;65;no;0;NA;healthy;NA;NA;NA;"52,8";52;"0,8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;66;no;0;NA;healthy;NA;NA;NA;"55,4";"55,1";"0,3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;67;no;0;NA;healthy;NA;NA;NA;"46,8";"45,8";1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;68;no;0;NA;healthy;NA;NA;NA;"47,3";46;"1,3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;69;no;0;NA;healthy;NA;NA;NA;"47,9";"45,9";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;70;no;0;NA;healthy;NA;NA;NA;"44,1";"41,7";"2,4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;71;yes;83;"3,8";BTN1;COI-U1;COI-12;NA;"48,2";"46,6";"1,6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;72;no;0;NA;healthy;NA;NA;NA;"51,9";"51,2";"0,7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;73;no;0;NA;healthy;NA;NA;NA;"52,7";"49,2";"3,5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;74;no;0;NA;healthy;NA;NA;NA;"50,2";"48,6";"1,6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;75;no;0;NA;healthy;NA;NA;NA;"41,9";"40,9";1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;76;yes;25;4;BTN1;COI-U1/COI-12;COI-12;NA;"49,7";"48,8";"0,9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;77;no;0;NA;healthy;NA;NA;NA;"42,1";"40,6";"1,5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;78;no;0;NA;healthy;NA;NA;NA;"46,5";"45,2";"1,3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;79;no;0;NA;healthy;NA;NA;NA;"50,7";"48,4";"2,3";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;80;no;0;NA;healthy;NA;NA;NA;"44,4";"42,3";"2,1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;81;no;0;NA;healthy;NA;NA;NA;"48,2";"47,3";"0,9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;82;no;0;NA;healthy;NA;NA;NA;"47,8";"45,6";"2,2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;83;no;0;NA;healthy;NA;NA;NA;"51,3";"49,8";"1,5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;84;yes;83;"4,3";BTN1;COI-U1;too short;NA;"45,6";"43,6";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;85;no;0;NA;healthy;NA;NA;NA;"57,8";"56,7";"1,1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;86;no;0;NA;healthy;NA;NA;NA;"50,7";"48,1";"2,6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;87;no;0;NA;healthy;NA;NA;NA;"48,8";47;"1,8";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;88;no;0;NA;healthy;NA;NA;NA;"49,8";"48,1";"1,7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;89;yes;100;NA;BTN2.2;COI-11/COI-2;COI-11/COI-2;NA;"46,7";"43,3";"3,4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;90;yes;17;"4,1";BTN1;COI-11/COI-U1;COI-11 (short);NA;"52,8";"50,6";"2,2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;91;no;0;NA;healthy;NA;NA;NA;"47,1";46;"1,1";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;92;no;0;NA;healthy;NA;NA;NA;"51,6";"49,4";"2,2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;93;no;0;NA;healthy;NA;NA;NA;"44,6";43;"1,6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;94;no;0;NA;healthy;NA;NA;NA;"50,5";"47,9";"2,6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;95;no;0;NA;healthy;NA;NA;NA;"45,7";44;"1,7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;96;yes;66;4;BTN1;COI-12/COI-U1;COI-12;NA;"49,3";"47,6";"1,7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;97;no;0;NA;healthy;NA;NA;NA;"53,4";52;"1,4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;98;no;0;NA;healthy;NA;NA;NA;"48,2";"45,8";"2,4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;99;yes;56;"4,1";BTN1;COI-12/COI-U1;COI-12;NA;"44,1";"42,4";"1,7";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;100;no;0;NA;healthy;NA;NA;NA;"51,5";49;"2,5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;101;yes;15;"4,1";BTN1;COI-13/COI-U1;COI-13;NA;"47,6";46;"1,6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;102;no;0;NA;healthy;NA;NA;NA;53;52;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;103;no;0;NA;healthy;NA;NA;NA;"48,8";"47,4";"1,4";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;104;no;0;NA;healthy;NA;NA;NA;"48,8";"46,8";2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;105;no;0;NA;healthy;NA;NA;NA;"48,7";"47,2";"1,5";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;106;no;0;NA;healthy;NA;NA;NA;"41,6";"40,7";"0,9";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;107;yes;22;"4,6";BTN2.1;J054_f/COI-1;J054_f/COI-1;NA;"40,5";"36,9";"3,6";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;108;yes;53;"4,1";BTN1;COI-12/COI-U1;COI-12 (short);NA;"44,9";"43,9";1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
yes;Veselaya Inlet;VES;"59,497289";"150,923172";2021;14.07.2021;Single;60;109;no;0;NA;healthy;NA;NA;NA;42;"39,8";"2,2";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;"1,098569146"
