"","sample.id","year","latitude","longitude","n.obs","nirv.gs.avg","nirv.gs.med","nirv.gs.q90","nirv.max","nirv.max.lwr","nirv.max.upr","nirv.max.doy"
"19657","S_898",2019,55.0839304,159.9912238,2,0.170170851585637,0.170170851585637,0.171735771754604,0.180431619514821,0.175830720234284,0.185032518795358,207
"19658","S_898",2020,55.0839304,159.9912238,5,0.165382149430247,0.15607716034416,0.185230584968818,0.185230584968818,0.154592175335144,0.198952321453443,208
"19659","S_899",2010,55.1157019,159.9280417,2,0.15891153017506,0.15891153017506,0.15907566940487,0.165919209713526,0.165714035676264,0.166124383750789,219
"19660","S_899",2011,55.1157019,159.9280417,3,0.161564526457429,0.160048996105825,0.163726911111209,0.163726911111209,0.160742928604684,0.165340322361414,207
"19661","S_899",2012,55.1157019,159.9280417,1,0.176530937473067,0.176530937473067,0.176530937473067,0.178077688684812,0.178077688684812,0.178077688684812,205
"19662","S_899",2013,55.1157019,159.9280417,1,0.188463178950501,0.188463178950501,0.188463178950501,0.188993534277338,0.188993534277338,0.188993534277338,203
"19663","S_899",2014,55.1157019,159.9280417,5,0.159133672838038,0.160771350719348,0.16472694891135,0.167616294408553,0.160985352100361,0.173636710218486,202
"19664","S_899",2015,55.1157019,159.9280417,1,0.163525606900801,0.163525606900801,0.163525606900801,0.164147159151735,0.164147159151735,0.164147159151735,202
"19665","S_899",2016,55.1157019,159.9280417,4,0.1663306240957,0.170005256244606,0.172813990351321,0.172813990351321,0.163072691892655,0.173741530031251,204
"19666","S_899",2017,55.1157019,159.9280417,6,0.15923117130833,0.160382885860488,0.164748955543277,0.164748955543277,0.157076820031655,0.16999899728965,206
"19667","S_899",2018,55.1157019,159.9280417,6,0.169892067023584,0.170350462648423,0.179686761715823,0.179686761715823,0.154932732804527,0.182639848407468,205
"19668","S_899",2019,55.1157019,159.9280417,4,0.159938428967898,0.157514306430449,0.169755177386105,0.169755177386105,0.153516082653913,0.17753557546839,206
"19669","S_899",2020,55.1157019,159.9280417,11,0.163047191562039,0.159471208400197,0.1712133111049,0.1712133111049,0.150044937606085,0.216706189490686,206
"19670","S_899",2021,55.1157019,159.9280417,5,0.158907843497918,0.159601698953722,0.160685821793588,0.161378675373852,0.157953323593041,0.164041648589412,204
"19671","S_899",2022,55.1157019,159.9280417,2,0.154567322052645,0.154567322052645,0.157050108364008,0.160802624059999,0.160509675912648,0.161095572207351,203
"19672","S_899",2023,55.1157019,159.9280417,1,0.153209408317068,0.153209408317068,0.153209408317068,0.153843489225431,0.153843489225431,0.153843489225431,199
"19673","S_899",2024,55.1157019,159.9280417,1,0.17158467717107,0.17158467717107,0.17158467717107,0.171943351927568,0.171943351927568,0.171943351927568,192
"19674","S_9",2005,55.0837361,160.0466773,3,0.227559492505922,0.226841153052186,0.228787381481351,0.230461215766394,0.230183448591146,0.239647245763794,200
"19675","S_9",2006,55.0837361,160.0466773,1,0.252837571083137,0.252837571083137,0.252837571083137,0.267223770802813,0.267223770802813,0.267223770802813,202
"19676","S_9",2007,55.0837361,160.0466773,4,0.24008935516896,0.240644219126223,0.249731739594277,0.249731739594277,0.229538272817699,0.251105544332071,199
"19677","S_9",2008,55.0837361,160.0466773,3,0.2530553811084,0.231382569732257,0.288297375917474,0.288297375917474,0.226012288391534,0.303842755855837,202
"19678","S_9",2009,55.0837361,160.0466773,9,0.204853541187363,0.217583375757984,0.22190431482598,0.222477004184784,0.209347306522289,0.236454826018783,200
"19679","S_9",2010,55.0837361,160.0466773,2,0.222453833280007,0.222453833280007,0.223914869742029,0.228096315727346,0.226270020149819,0.229922611304872,201
"19680","S_9",2011,55.0837361,160.0466773,2,0.221767242668091,0.221767242668091,0.222404530212302,0.241333839804224,0.232265704282318,0.250401975326129,197
"19681","S_9",2012,55.0837361,160.0466773,3,0.25960052594811,0.257599824979575,0.263513387304008,0.263513387304008,0.256462265085309,0.285899863981637,196
"19682","S_9",2013,55.0837361,160.0466773,1,0.220487518718609,0.220487518718609,0.220487518718609,0.243737237113445,0.243737237113445,0.243737237113445,183
"19683","S_9",2014,55.0837361,160.0466773,9,0.245190952408723,0.242416871739669,0.263597611846837,0.263597611846837,0.233342085143832,0.295246436908821,182
"19684","S_9",2015,55.0837361,160.0466773,2,0.214722341056433,0.214722341056433,0.235612536020255,0.24179714680378,0.215051580428314,0.268542713179246,180
"19685","S_9",2016,55.0837361,160.0466773,8,0.243174738610754,0.23891413503311,0.26442850836225,0.26442850836225,0.234435557898244,0.268833732844343,179
"19686","S_9",2017,55.0837361,160.0466773,7,0.218286142557409,0.21633542539615,0.238625142710938,0.238625142710938,0.229046574213747,0.260372451436171,179
"19687","S_9",2018,55.0837361,160.0466773,7,0.241611893667714,0.253130103228171,0.25471142657431,0.25527760507201,0.223800547252919,0.265243636029659,181
"19688","S_9",2019,55.0837361,160.0466773,4,0.190229369258524,0.187354735119181,0.199377417641256,0.20058538433432,0.195248285820934,0.216775605756196,181
"19689","S_9",2020,55.0837361,160.0466773,7,0.196077492508945,0.189418157525779,0.209396392262784,0.209644851715707,0.199434304706967,0.256519250801896,182
"19690","S_9",2021,55.0837361,160.0466773,6,0.220233996222993,0.229246497796441,0.231818281569716,0.237174595071408,0.232778615523526,0.266246607884752,184
"19691","S_9",2022,55.0837361,160.0466773,11,0.220789932744231,0.218037343152761,0.252708559038885,0.252708559038885,0.208166436559382,0.260716138281206,184
"19692","S_9",2023,55.0837361,160.0466773,7,0.22330809437924,0.223843005935318,0.251665565603627,0.251665565603627,0.218850474521183,0.254519165348602,183
"19693","S_9",2024,55.0837361,160.0466773,1,0.255111708315755,0.255111708315755,0.255111708315755,0.255817925379336,0.255817925379336,0.255817925379336,183
"19694","S_90",2005,55.0786171,159.9121455,2,0.164611409174478,0.164611409174478,0.166588887003347,0.166588887003347,0.162225981003391,0.169383481940196,184
"19695","S_90",2006,55.0786171,159.9121455,1,0.152026770639715,0.152026770639715,0.152026770639715,0.171249074933711,0.171249074933711,0.171249074933711,203
"19696","S_90",2009,55.0786171,159.9121455,7,0.168205964013313,0.170021397129955,0.181019394162437,0.181019394162437,0.158295525104371,0.193957023448954,214
"19697","S_90",2010,55.0786171,159.9121455,1,0.151726553380482,0.151726553380482,0.151726553380482,0.157056509519238,0.157056509519238,0.157056509519238,213
"19698","S_90",2011,55.0786171,159.9121455,2,0.175985753993503,0.175985753993503,0.185887245723688,0.185887245723688,0.165086606400868,0.189954682988695,165
"19699","S_90",2012,55.0786171,159.9121455,1,0.15836925861734,0.15836925861734,0.15836925861734,0.171895094059819,0.171895094059819,0.171895094059819,164
"19700","S_90",2013,55.0786171,159.9121455,4,0.179558810564025,0.164966543007642,0.208871588432332,0.208871588432332,0.163211750574737,0.226728796994377,164
"19701","S_90",2014,55.0786171,159.9121455,5,0.180264592823931,0.177841159395938,0.193899307021834,0.193899307021834,0.162027217747795,0.205722389181787,167
"19702","S_90",2015,55.0786171,159.9121455,3,0.170208686218357,0.158165109988301,0.188131641661728,0.188131641661728,0.16767462356914,0.197611695037716,167
"19703","S_90",2016,55.0786171,159.9121455,4,0.15793073306212,0.156053098032841,0.164906762826604,0.165534113143896,0.153045377353886,0.172356283636688,163
"19704","S_90",2017,55.0786171,159.9121455,9,0.176231787271295,0.177385780395021,0.193539198347613,0.193539198347613,0.1634819067276,0.20054664719136,184
"19705","S_90",2018,55.0786171,159.9121455,8,0.170152634380817,0.173721034854352,0.179132510796163,0.179132510796163,0.165403918353862,0.184397371899377,186
"19706","S_90",2019,55.0786171,159.9121455,3,0.161876092764653,0.161802070933049,0.167670925100382,0.167670925100382,0.157600017064425,0.169507997339714,185
"19707","S_90",2020,55.0786171,159.9121455,8,0.169549157213218,0.166840491708094,0.177306038218453,0.177306038218453,0.167841997050639,0.184217540452252,185
"19708","S_90",2021,55.0786171,159.9121455,10,0.175153979541065,0.175689782674933,0.180692929851858,0.180692929851858,0.169271436607588,0.181189003572317,187
"19709","S_90",2022,55.0786171,159.9121455,4,0.168074248736886,0.167168542070102,0.173098712211549,0.173935332059924,0.168100768470089,0.174639313729663,187
"19710","S_90",2023,55.0786171,159.9121455,4,0.170152644371458,0.170226982462311,0.178873205816295,0.178873205816295,0.164708987946026,0.181200030502405,186
"19711","S_90",2024,55.0786171,159.9121455,2,0.184419371756434,0.184419371756434,0.19141514168013,0.19141514168013,0.179888743724285,0.193948649578979,184
"19712","S_900",2005,55.1060904,160.080179,3,0.180269903648574,0.177989971792814,0.183553960128465,0.183553960128465,0.178851058353965,0.188115364696047,201
"19713","S_900",2007,55.1060904,160.080179,4,0.193176754925096,0.193695259667393,0.200827750634645,0.200827750634645,0.183887191430171,0.203386688626232,199
"19714","S_900",2008,55.1060904,160.080179,4,0.180098375867993,0.17656940227777,0.205015942620416,0.205015942620416,0.173499978881162,0.217548222249573,199
"19715","S_900",2009,55.1060904,160.080179,7,0.17261523282694,0.170615194973945,0.186205875143265,0.186205875143265,0.166898783889339,0.187564390743576,203
"19716","S_900",2010,55.1060904,160.080179,3,0.178041893335252,0.178436257283527,0.179601898390409,0.181183770309648,0.179726718926045,0.192575702942538,200
"19717","S_900",2011,55.1060904,160.080179,2,0.175432073631129,0.175432073631129,0.177220573297355,0.179184319001323,0.17694869441854,0.181419943584106,199
"19718","S_900",2012,55.1060904,160.080179,4,0.178157083737799,0.178761513118019,0.193231395443796,0.193231395443796,0.175103579928885,0.205430007239896,200
"19719","S_900",2013,55.1060904,160.080179,5,0.181860768637512,0.176045182438267,0.195621197365269,0.195621197365269,0.184079148025684,0.203882900561119,196
"19720","S_900",2014,55.1060904,160.080179,10,0.18518631651267,0.194679045146466,0.197885202802868,0.197885202802868,0.17420105266106,0.207392753807437,173
"19721","S_900",2015,55.1060904,160.080179,1,0.208012685569267,0.208012685569267,0.208012685569267,0.216647062959106,0.216647062959106,0.216647062959106,162
"19722","S_900",2016,55.1060904,160.080179,6,0.178769722173164,0.179633593943764,0.19593365797969,0.19593365797969,0.177491916897153,0.199658892391347,156
"19723","S_900",2017,55.1060904,160.080179,11,0.171376768363714,0.172146789655969,0.185700359972574,0.185700359972574,0.167257913045771,0.205270300577169,156
"19724","S_900",2018,55.1060904,160.080179,7,0.185974124062293,0.184848874391838,0.194437285606989,0.19540564177424,0.18593990060616,0.202279099249521,165
"19725","S_900",2019,55.1060904,160.080179,5,0.163609750869651,0.161131827754273,0.178427470854773,0.178427470854773,0.158390178191121,0.185215130472358,165
"19726","S_900",2020,55.1060904,160.080179,9,0.165800747078394,0.162207642151899,0.181762072253602,0.181762072253602,0.158543066875749,0.195759083029191,165
"19727","S_900",2021,55.1060904,160.080179,6,0.162113628071164,0.162087771105808,0.172151098763385,0.172151098763385,0.158060812489283,0.176303253454542,211
"19728","S_900",2022,55.1060904,160.080179,8,0.162594007403868,0.162343127434324,0.169279514725515,0.169279514725515,0.153555615176279,0.177311932702376,211
"19729","S_900",2023,55.1060904,160.080179,4,0.160321992571829,0.15591215909695,0.17113950176837,0.17113950176837,0.157263781773702,0.17679820231224,211
"19730","S_900",2024,55.1060904,160.080179,1,0.179397045351725,0.179397045351725,0.179397045351725,0.182967865915734,0.182967865915734,0.182967865915734,211
"19731","S_901",2016,55.0739248,159.9613747,4,0.159596842355126,0.155827515646285,0.169043451464095,0.170228786680215,0.167128425285288,0.176399767695316,196
"19732","S_901",2017,55.0739248,159.9613747,2,0.165403421820449,0.165403421820449,0.174525249123374,0.174525249123374,0.164148252324303,0.181561201754252,195
"19733","S_901",2018,55.0739248,159.9613747,4,0.16813641445683,0.165168609234336,0.179850067779201,0.179850067779201,0.161884961958958,0.185726823199772,195
"19734","S_901",2019,55.0739248,159.9613747,1,0.157093030881059,0.157093030881059,0.157093030881059,0.164085503977394,0.164085503977394,0.164085503977394,195
"19735","S_901",2020,55.0739248,159.9613747,3,0.176384293834663,0.16330922298702,0.19618171189896,0.19618171189896,0.176186320716882,0.205821783660998,197
"19736","S_902",2015,55.1148968,159.9275527,1,0.150455150219106,0.150455150219106,0.150455150219106,0.151571134975927,0.151571134975927,0.151571134975927,221
"19737","S_902",2016,55.1148968,159.9275527,4,0.163884854598943,0.164196294798949,0.176177024801799,0.176177024801799,0.159700491086096,0.180608632813039,223
