"","sample.id","latitude","longitude","first.yr","last.yr","n.yr.obs","si.avg","si.sd","trend.period","si","slope","intercept","tau","pval","total.change","total.change.pcnt","trend.cat"
"718","S_429",55.0868373,159.9649746,2004,2023,20,0.8332,0.0486,"2003to2023","ndvi.max",-0.00167,0.8941,-0.368,0.0301,-0.035,-3.9,"browning"
"719","S_43",55.0899388,160.0773932,2004,2023,20,0.9061,0.0251,"2003to2023","ndvi.max",0.00062,0.8207,0.099,0.5756,0.013,1.6,"no_trend"
"720","S_431",55.1505258,160.055016,2004,2023,20,0.8568,0.0276,"2003to2023","ndvi.max",-0.00086,0.832,-0.123,0.4841,-0.018,-2.2,"no_trend"
"721","S_432",55.0837982,159.9042737,2004,2023,19,0.8106,0.0517,"2003to2023","ndvi.max",-0.00747,0.7516,-0.621,4e-04,-0.157,-20.9,"browning"
"722","S_433",55.1090527,159.879449,2004,2023,20,0.8253,0.0373,"2003to2023","ndvi.max",-0.00165,0.8747,-0.135,0.4415,-0.035,-4,"no_trend"
"723","S_434",55.1181027,159.93139,2004,2023,20,0.8132,0.0497,"2003to2023","ndvi.max",-0.00198,0.8156,-0.251,0.1417,-0.042,-5.1,"no_trend"
"724","S_435",55.1334456,159.9345706,2004,2023,19,0.7784,0.0253,"2003to2023","ndvi.max",0.00012,0.8647,0.033,0.8796,0.003,0.3,"no_trend"
"725","S_436",55.0863008,160.092336,2004,2023,20,0.8932,0.0356,"2003to2023","ndvi.max",-0.00055,0.7805,-0.088,0.6243,-0.012,-1.5,"no_trend"
"726","S_437",55.1193092,159.9144838,2004,2023,20,0.813,0.0283,"2003to2023","ndvi.max",-0.00042,0.8466,-0.053,0.7796,-0.009,-1.1,"no_trend"
"727","S_438",55.1024271,160.0363509,2004,2023,20,0.8358,0.0279,"2003to2023","ndvi.max",-0.00142,1.0289,-0.193,0.2629,-0.03,-2.9,"no_trend"
"728","S_439",55.0964252,160.0126889,2004,2023,20,0.8332,0.0258,"2003to2023","ndvi.max",-0.00089,0.9825,-0.146,0.4011,-0.019,-1.9,"no_trend"
"729","S_44",55.1090493,159.8799192,2004,2023,20,0.8277,0.0346,"2003to2023","ndvi.max",-0.00172,0.7275,-0.322,0.0589,-0.036,-4.9,"browning"
"730","S_440",55.0872525,159.9804954,2004,2023,20,0.8625,0.0361,"2003to2023","ndvi.max",-0.00199,0.8863,-0.205,0.2342,-0.042,-4.7,"no_trend"
"731","S_441",55.1089881,159.9245941,2004,2023,20,0.8441,0.0294,"2003to2023","ndvi.max",-0.00297,1.2156,-0.392,0.0209,-0.062,-5.1,"browning"
"732","S_442",55.1384249,160.0514023,2004,2023,20,0.856,0.0226,"2003to2023","ndvi.max",-0.00077,0.665,-0.135,0.4415,-0.016,-2.4,"no_trend"
"733","S_443",55.0941864,160.0225046,2004,2023,20,0.8733,0.041,"2003to2023","ndvi.max",-0.00055,1.1744,-0.135,0.4415,-0.012,-1,"no_trend"
"734","S_444",55.1325971,159.9397269,2004,2023,20,0.8394,0.0317,"2003to2023","ndvi.max",-0.00138,1.1219,-0.205,0.2342,-0.029,-2.6,"no_trend"
"735","S_445",55.0945149,160.0154613,2004,2023,19,0.8321,0.0478,"2003to2023","ndvi.max",0.00147,0.9465,0.111,0.5445,0.031,3.3,"no_trend"
"736","S_446",55.1002322,160.1021196,2004,2023,19,0.8413,0.0458,"2003to2023","ndvi.max",-0.00059,0.7083,-0.124,0.4954,-0.012,-1.7,"no_trend"
"737","S_447",55.099186,160.0682385,2004,2023,20,0.8648,0.0277,"2003to2023","ndvi.max",-0.00174,1.0341,-0.345,0.0424,-0.037,-3.6,"browning"
"738","S_448",55.1085743,160.0106448,2004,2023,20,0.8408,0.0198,"2003to2023","ndvi.max",-0.00057,0.9466,-0.158,0.363,-0.012,-1.3,"no_trend"
"739","S_449",55.0926359,160.0144735,2004,2023,19,0.8332,0.027,"2003to2023","ndvi.max",0.00029,1.1094,0.111,0.5445,0.006,0.5,"no_trend"
"740","S_450",55.1207638,160.0975102,2004,2023,20,0.8505,0.0264,"2003to2023","ndvi.max",-0.00188,0.9962,-0.357,0.0358,-0.039,-3.9,"browning"
"741","S_451",55.086305,160.0918661,2004,2023,20,0.8992,0.0379,"2003to2023","ndvi.max",-0.00099,0.988,-0.146,0.4011,-0.021,-2.1,"no_trend"
"742","S_452",55.1356999,159.9567411,2004,2023,20,0.8051,0.028,"2003to2023","ndvi.max",-0.00102,0.6684,-0.146,0.4011,-0.021,-3.1,"no_trend"
"743","S_453",55.1370587,159.9553618,2004,2023,20,0.7987,0.0237,"2003to2023","ndvi.max",-0.00037,0.8214,-0.088,0.6243,-0.008,-1,"no_trend"
"744","S_454",55.1083735,160.09623,2004,2023,19,0.8538,0.0258,"2003to2023","ndvi.max",-0.00093,1.0124,-0.098,0.5959,-0.02,-2,"no_trend"
"745","S_455",55.14441,159.9461235,2004,2023,20,0.8065,0.0252,"2003to2023","ndvi.max",-0.00048,0.9307,-0.099,0.5756,-0.01,-1.1,"no_trend"
"746","S_456",55.089518,160.000293,2004,2023,20,0.8391,0.0497,"2003to2023","ndvi.max",4e-05,0.8999,0.006,1,0.001,0.1,"no_trend"
"747","S_46",55.1054665,159.8906559,2004,2023,20,0.8356,0.0404,"2003to2023","ndvi.max",-0.00376,0.8361,-0.602,4e-04,-0.079,-9.4,"browning"
"748","S_460",55.1317703,159.9420602,2004,2023,20,0.8146,0.0312,"2003to2023","ndvi.max",-0.00111,1.0368,-0.251,0.1417,-0.023,-2.2,"no_trend"
"749","S_461",55.1414883,159.9747647,2004,2023,20,0.8249,0.015,"2003to2023","ndvi.max",-0.00073,1.0299,-0.228,0.1837,-0.015,-1.5,"no_trend"
"750","S_462",55.1139836,159.9411713,2004,2023,20,0.8049,0.0547,"2003to2023","ndvi.max",-0.00138,0.8329,-0.135,0.4415,-0.029,-3.5,"no_trend"
"751","S_463",55.1018356,159.9432368,2004,2023,20,0.8423,0.034,"2003to2023","ndvi.max",-0.00071,0.8922,-0.135,0.4415,-0.015,-1.7,"no_trend"
"752","S_465",55.1418173,160.0947932,2004,2023,19,0.8802,0.0431,"2003to2023","ndvi.max",0.00069,0.9414,0.124,0.4954,0.014,1.5,"no_trend"
"753","S_466",55.1096344,159.9457719,2004,2023,20,0.8352,0.0266,"2003to2023","ndvi.max",-0.00158,0.5978,-0.31,0.0689,-0.033,-5.5,"browning"
"754","S_467",55.1348615,159.9256626,2004,2023,19,0.8125,0.0242,"2003to2023","ndvi.max",-0.00225,1.0187,-0.333,0.0582,-0.047,-4.6,"browning"
"755","S_468",55.1207759,159.8985232,2004,2023,20,0.8392,0.0284,"2003to2023","ndvi.max",-0.00024,0.9266,-0.064,0.7264,-0.005,-0.5,"no_trend"
"756","S_469",55.1220434,159.9093715,2004,2023,20,0.8269,0.0299,"2003to2023","ndvi.max",-0.00059,0.6374,-0.076,0.6746,-0.012,-1.9,"no_trend"
"757","S_47",55.13,159.995188,2004,2023,20,0.819,0.0146,"2003to2023","ndvi.max",0.00017,0.9325,0.041,0.8337,0.004,0.4,"no_trend"
"758","S_472",55.1129344,159.937384,2004,2023,20,0.8135,0.0426,"2003to2023","ndvi.max",-0.00302,0.723,-0.275,0.1075,-0.063,-8.7,"no_trend"
"759","S_473",55.1143962,159.8861512,2004,2023,20,0.7975,0.038,"2003to2023","ndvi.max",-0.00283,0.5312,-0.31,0.0689,-0.059,-11.1,"browning"
"760","S_475",55.1146089,160.1509618,2004,2023,20,0.8555,0.0315,"2003to2023","ndvi.max",-0.00029,0.8606,-0.029,0.8887,-0.006,-0.7,"no_trend"
"761","S_476",55.0942772,159.9444691,2004,2023,20,0.8296,0.0337,"2003to2023","ndvi.max",-0.00113,0.888,-0.181,0.2939,-0.024,-2.7,"no_trend"
"762","S_477",55.134203,159.9755283,2004,2023,20,0.8678,0.0205,"2003to2023","ndvi.max",-0.00074,0.9555,-0.088,0.6243,-0.016,-1.7,"no_trend"
"763","S_478",55.1390656,160.0707153,2004,2023,20,0.8455,0.0345,"2003to2023","ndvi.max",-0.00051,0.8837,-0.135,0.4415,-0.011,-1.2,"no_trend"
"764","S_48",55.0967613,159.9370055,2004,2023,20,0.8484,0.0238,"2003to2023","ndvi.max",-0.00099,0.8451,-0.123,0.4841,-0.021,-2.5,"no_trend"
