"","sample.id","latitude","longitude","first.yr","last.yr","n.yr.obs","si.avg","si.sd","trend.period","si","slope","intercept","tau","pval","total.change","total.change.pcnt","trend.cat"
"483","S_436",55.0863008,160.092336,2005,2023,18,0.2553,0.0247,"2005to2023","nirv.max",-0.00192,0.3083,-0.265,0.1494,-0.036,-11.7,"no_trend"
"484","S_438",55.1024271,160.0363509,2005,2023,18,0.176,0.0091,"2005to2023","nirv.max",-0.00064,0.1593,-0.265,0.1494,-0.012,-7.5,"no_trend"
"485","S_439",55.0964252,160.0126889,2005,2023,18,0.1741,0.0112,"2005to2023","nirv.max",8e-05,0.1585,0.074,0.7108,0.002,1.3,"no_trend"
"486","S_440",55.0872525,159.9804954,2005,2023,18,0.1947,0.0123,"2005to2023","nirv.max",-8e-05,0.1679,-0.044,0.8368,-0.002,-1.2,"no_trend"
"487","S_442",55.1384249,160.0514023,2005,2023,18,0.2003,0.0144,"2005to2023","nirv.max",-0.00034,0.2653,-0.103,0.5923,-0.006,-2.3,"no_trend"
"488","S_444",55.1325971,159.9397269,2005,2023,19,0.205,0.018,"2005to2023","nirv.max",-0.00137,0.2774,-0.438,0.0124,-0.026,-9.4,"browning"
"489","S_446",55.1002322,160.1021196,2006,2023,18,0.187,0.0152,"2005to2023","nirv.max",-0.00102,0.1932,-0.324,0.0765,-0.019,-9.8,"browning"
"490","S_447",55.099186,160.0682385,2005,2023,19,0.2224,0.0164,"2005to2023","nirv.max",-0.00119,0.2068,-0.307,0.0814,-0.023,-11.1,"browning"
"491","S_448",55.1085743,160.0106448,2005,2023,19,0.1896,0.0117,"2005to2023","nirv.max",5e-05,0.2169,0.007,1,0.001,0.5,"no_trend"
"492","S_45",55.1001928,159.9464893,2005,2023,17,0.1728,0.0091,"2005to2023","nirv.max",0.00042,0.1784,0.2,0.3004,0.008,4.5,"no_trend"
"493","S_450",55.1207638,160.0975102,2005,2023,19,0.1836,0.0149,"2005to2023","nirv.max",-0.00084,0.2723,-0.229,0.1978,-0.016,-5.9,"no_trend"
"494","S_451",55.086305,160.0918661,2005,2023,18,0.2474,0.0204,"2005to2023","nirv.max",-0.00055,0.2445,-0.044,0.8368,-0.01,-4.1,"no_trend"
"495","S_457",55.1081,160.1550072,2005,2023,18,0.3086,0.0161,"2005to2023","nirv.max",0.00044,0.304,0.074,0.7108,0.008,2.6,"no_trend"
"496","S_459",55.1044767,159.9150855,2005,2023,18,0.1701,0.0067,"2005to2023","nirv.max",6e-05,0.2212,0.044,0.8368,0.001,0.5,"no_trend"
