"","sample.id","latitude","longitude","first.yr","last.yr","n.yr.obs","si.avg","si.sd","trend.period","si","slope","intercept","tau","pval","total.change","total.change.pcnt","trend.cat"
"591","S_476",55.0942772,159.9444691,2004,2023,20,0.5989,0.0277,"2003to2023","kndvi.max",-0.00086,0.6518,-0.099,0.5756,-0.018,-2.8,"no_trend"
"592","S_477",55.134203,159.9755283,2004,2023,20,0.6355,0.0209,"2003to2023","kndvi.max",-0.00046,0.7292,-0.088,0.6243,-0.01,-1.4,"no_trend"
"593","S_478",55.1390656,160.0707153,2004,2023,20,0.6103,0.0357,"2003to2023","kndvi.max",-0.00107,0.6444,-0.205,0.2342,-0.022,-3.4,"no_trend"
"594","S_48",55.0967613,159.9370055,2004,2023,19,0.6201,0.0182,"2003to2023","kndvi.max",-0.00098,0.53,-0.242,0.1727,-0.021,-4,"no_trend"
"595","S_480",55.1227558,159.8858658,2004,2023,20,0.5739,0.0305,"2003to2023","kndvi.max",-0.00289,0.7798,-0.45,0.0078,-0.061,-7.8,"browning"
"596","S_481",55.0818306,159.9150384,2004,2023,19,0.5975,0.0445,"2003to2023","kndvi.max",-0.0029,0.5216,-0.425,0.0153,-0.061,-11.7,"browning"
"597","S_482",55.1299089,159.9387227,2004,2023,20,0.6041,0.029,"2003to2023","kndvi.max",-0.00064,0.761,-0.123,0.4841,-0.013,-1.7,"no_trend"
"598","S_483",55.1394217,159.9634191,2004,2023,20,0.588,0.0288,"2003to2023","kndvi.max",-0.00172,0.7804,-0.228,0.1837,-0.036,-4.6,"no_trend"
"599","S_485",55.1351423,159.9590807,2004,2023,20,0.5801,0.0262,"2003to2023","kndvi.max",-0.00217,0.7765,-0.368,0.0301,-0.046,-5.9,"browning"
"600","S_486",55.0983318,160.042357,2004,2023,19,0.6208,0.0366,"2003to2023","kndvi.max",-9e-05,0.4619,-0.02,0.9396,-0.002,-0.4,"no_trend"
"601","S_488",55.1482195,159.9758703,2004,2023,20,0.5933,0.0351,"2003to2023","kndvi.max",-0.00221,0.8051,-0.415,0.0143,-0.046,-5.7,"browning"
"602","S_49",55.1051671,159.9988029,2004,2023,20,0.5893,0.0363,"2003to2023","kndvi.max",0.00177,0.5312,0.216,0.2079,0.037,7,"no_trend"
"603","S_490",55.0844473,160.0579757,2004,2023,19,0.6824,0.0219,"2003to2023","kndvi.max",-0.00223,0.6627,-0.399,0.023,-0.047,-7.1,"browning"
"604","S_491",55.1480596,159.9956375,2004,2023,19,0.5977,0.0189,"2003to2023","kndvi.max",-0.00077,0.8185,-0.163,0.3633,-0.016,-2,"no_trend"
"605","S_492",55.1141691,159.9519934,2004,2023,20,0.6507,0.0308,"2003to2023","kndvi.max",-0.00267,0.6631,-0.368,0.0301,-0.056,-8.4,"browning"
"606","S_495",55.1187515,159.9521024,2004,2023,20,0.592,0.0216,"2003to2023","kndvi.max",-0.00063,0.7091,-0.17,0.3273,-0.013,-1.8,"no_trend"
"607","S_496",55.1416863,160.0792575,2004,2023,20,0.6139,0.0315,"2003to2023","kndvi.max",-0.0025,0.8616,-0.357,0.0358,-0.052,-6,"browning"
"608","S_499",55.1310592,159.929339,2004,2023,20,0.5851,0.024,"2003to2023","kndvi.max",-0.00134,0.777,-0.24,0.1617,-0.028,-3.6,"no_trend"
"609","S_5",55.0947581,159.9858503,2004,2023,19,0.5962,0.0259,"2003to2023","kndvi.max",-0.00014,0.5185,-0.007,1,-0.003,-0.6,"no_trend"
"610","S_501",55.1354661,160.0188536,2004,2023,20,0.6263,0.0229,"2003to2023","kndvi.max",-0.00035,0.885,-0.076,0.6746,-0.007,-0.8,"no_trend"
"611","S_503",55.1315925,160.0620454,2004,2023,20,0.641,0.0399,"2003to2023","kndvi.max",-7e-04,0.7621,-0.123,0.4841,-0.015,-2,"no_trend"
"612","S_505",55.0933039,159.9308134,2004,2023,20,0.6025,0.0353,"2003to2023","kndvi.max",-0.00102,0.6096,-0.193,0.2629,-0.021,-3.4,"no_trend"
"613","S_506",55.0900917,159.9960768,2004,2023,19,0.6129,0.0341,"2003to2023","kndvi.max",0.00038,0.7012,0.046,0.8202,0.008,1.1,"no_trend"
"614","S_507",55.0937213,160.0455278,2004,2023,20,0.6245,0.026,"2003to2023","kndvi.max",0.00054,0.6319,0.076,0.6746,0.011,1.7,"no_trend"
"615","S_509",55.0974359,160.0832366,2004,2023,19,0.6589,0.0221,"2003to2023","kndvi.max",-0.00173,0.6874,-0.425,0.0153,-0.036,-5.2,"browning"
"616","S_510",55.0730225,159.9388,2004,2023,20,0.6212,0.0256,"2003to2023","kndvi.max",-0.00073,0.5946,-0.053,0.7796,-0.015,-2.5,"no_trend"
"617","S_511",55.1365325,160.0202926,2004,2023,20,0.6054,0.0178,"2003to2023","kndvi.max",-0.00012,0.5022,-0.064,0.7264,-0.003,-0.6,"no_trend"
"618","S_514",55.0963028,160.148085,2004,2023,20,0.6537,0.0144,"2003to2023","kndvi.max",-0.00079,0.4108,-0.146,0.4011,-0.017,-4.1,"no_trend"
"619","S_516",55.1046579,159.8906379,2004,2023,20,0.5861,0.0666,"2003to2023","kndvi.max",-0.0063,0.3784,-0.497,0.0033,-0.132,-34.9,"browning"
"620","S_517",55.0908766,160.0313515,2004,2023,20,0.6194,0.0241,"2003to2023","kndvi.max",-0.00066,0.7548,-0.099,0.5756,-0.014,-1.9,"no_trend"
"621","S_52",55.1019512,160.0603189,2004,2023,20,0.6295,0.0247,"2003to2023","kndvi.max",-0.00093,0.7833,-0.135,0.4415,-0.02,-2.6,"no_trend"
"622","S_523",55.0708116,159.9457956,2004,2023,19,0.642,0.0271,"2003to2023","kndvi.max",-0.00339,0.7079,-0.464,0.008,-0.071,-10,"browning"
"623","S_524",55.0892869,159.9955867,2004,2023,20,0.6209,0.0434,"2003to2023","kndvi.max",-0.00224,0.939,-0.228,0.1837,-0.047,-5,"no_trend"
"624","S_526",55.137514,159.9313714,2004,2023,20,0.5776,0.0424,"2003to2023","kndvi.max",-0.00218,0.636,-0.263,0.1237,-0.046,-7.2,"no_trend"
"625","S_528",55.0842085,159.9564515,2004,2023,20,0.6081,0.0332,"2003to2023","kndvi.max",-8e-04,0.5787,-0.146,0.4011,-0.017,-2.9,"no_trend"
"626","S_530",55.0963276,160.0559388,2004,2023,19,0.6348,0.0248,"2003to2023","kndvi.max",-0.00014,0.7231,-0.02,0.9396,-0.003,-0.4,"no_trend"
"627","S_531",55.1104247,159.948142,2004,2023,20,0.5957,0.0258,"2003to2023","kndvi.max",-0.00139,0.7058,-0.181,0.2939,-0.029,-4.1,"no_trend"
"628","S_533",55.088129,159.9720562,2004,2023,20,0.6202,0.017,"2003to2023","kndvi.max",-0.00142,0.7423,-0.333,0.0501,-0.03,-4,"browning"
"629","S_535",55.1017978,160.1656401,2004,2023,20,0.6597,0.0235,"2003to2023","kndvi.max",8e-05,0.5323,0.041,0.8337,0.002,0.4,"no_trend"
"630","S_54",55.1056132,160.0100998,2004,2023,20,0.6161,0.0193,"2003to2023","kndvi.max",-0.00081,0.6545,-0.228,0.1837,-0.017,-2.6,"no_trend"
"631","S_543",55.1272417,159.8991388,2004,2023,20,0.5932,0.0351,"2003to2023","kndvi.max",0.00126,0.6962,0.17,0.3273,0.026,3.7,"no_trend"
"632","S_544",55.1113469,160.0953708,2004,2023,19,0.6564,0.0292,"2003to2023","kndvi.max",-0.00151,0.8695,-0.268,0.1297,-0.032,-3.7,"no_trend"
"633","S_545",55.1341707,159.9454107,2004,2023,20,0.5533,0.0336,"2003to2023","kndvi.max",0.00084,0.5769,0.099,0.5756,0.018,3.1,"no_trend"
"634","S_546",55.1104903,159.9396783,2004,2023,19,0.5849,0.0401,"2003to2023","kndvi.max",8e-05,0.6107,0.007,1,0.002,0.3,"no_trend"
"635","S_547",55.1062884,160.0576122,2004,2023,19,0.6127,0.0355,"2003to2023","kndvi.max",-0.001,0.7471,-0.111,0.5445,-0.021,-2.8,"no_trend"
"636","S_549",55.0977928,160.0733731,2004,2023,19,0.638,0.0215,"2003to2023","kndvi.max",-0.00155,0.7551,-0.307,0.0814,-0.033,-4.4,"browning"
"637","S_55",55.1072109,160.0124914,2004,2023,20,0.6408,0.0217,"2003to2023","kndvi.max",-8e-04,0.7529,-0.205,0.2342,-0.017,-2.3,"no_trend"
"638","S_551",55.1174914,159.9407834,2004,2023,20,0.5799,0.0389,"2003to2023","kndvi.max",-0.00179,0.6211,-0.357,0.0358,-0.038,-6.1,"browning"
"639","S_554",55.1101344,159.8790025,2004,2023,20,0.5918,0.0334,"2003to2023","kndvi.max",-0.00045,0.624,-0.076,0.6746,-0.009,-1.4,"no_trend"
"640","S_557",55.1408136,160.024167,2004,2023,20,0.6078,0.0276,"2003to2023","kndvi.max",0.00035,0.5161,0.053,0.7796,0.007,1.4,"no_trend"
"641","S_559",55.1239695,160.0072699,2004,2023,19,0.4888,0.0458,"2003to2023","kndvi.max",-0.00394,0.5797,-0.359,0.0408,-0.083,-14.3,"browning"
"642","S_560",55.0870754,159.9344289,2004,2023,20,0.5931,0.0374,"2003to2023","kndvi.max",-0.00164,0.5988,-0.24,0.1617,-0.034,-5.7,"no_trend"
"643","S_562",55.1408049,159.9926329,2004,2023,20,0.6126,0.0279,"2003to2023","kndvi.max",-0.00147,0.7492,-0.345,0.0424,-0.031,-4.1,"browning"
"644","S_563",55.0958391,160.0183156,2004,2023,19,0.6261,0.0276,"2003to2023","kndvi.max",2e-04,0.6675,0.033,0.8796,0.004,0.6,"no_trend"
"645","S_564",55.1097108,160.0036191,2004,2023,20,0.6319,0.0249,"2003to2023","kndvi.max",-0.00094,0.536,-0.123,0.4841,-0.02,-3.7,"no_trend"
"646","S_567",55.1504547,159.9994632,2004,2023,19,0.5856,0.0257,"2003to2023","kndvi.max",0.00067,0.7137,0.085,0.6494,0.014,2,"no_trend"
"647","S_569",55.0878206,159.9071846,2004,2023,19,0.651,0.033,"2003to2023","kndvi.max",0.00194,0.4681,0.412,0.0189,0.041,8.8,"greening"
"648","S_570",55.0866679,159.9861213,2004,2023,20,0.6257,0.0254,"2003to2023","kndvi.max",-0.00181,0.7418,-0.415,0.0143,-0.038,-5.1,"browning"
"649","S_571",55.1035848,160.0584812,2004,2023,20,0.6415,0.0326,"2003to2023","kndvi.max",-0.00081,0.7518,-0.123,0.4841,-0.017,-2.3,"no_trend"
"650","S_572",55.0856654,159.9766965,2004,2023,20,0.6418,0.0345,"2003to2023","kndvi.max",-0.00335,0.7605,-0.439,0.0096,-0.07,-9.2,"browning"
"651","S_573",55.1302811,159.9937834,2004,2023,19,0.658,0.0225,"2003to2023","kndvi.max",0.00042,0.6785,0.072,0.7049,0.009,1.3,"no_trend"
"652","S_575",55.0880989,159.9758157,2004,2023,20,0.6392,0.032,"2003to2023","kndvi.max",-0.00289,0.5382,-0.287,0.0931,-0.061,-11.3,"browning"
"653","S_576",55.1365584,160.0490002,2004,2023,20,0.6126,0.0352,"2003to2023","kndvi.max",-0.00021,0.7656,-0.029,0.8887,-0.004,-0.5,"no_trend"
"654","S_577",55.1360445,159.9812204,2004,2023,19,0.6101,0.0364,"2003to2023","kndvi.max",-0.00056,0.6562,-0.072,0.7049,-0.012,-1.8,"no_trend"
"655","S_578",55.0932715,159.9350435,2004,2023,20,0.6106,0.0267,"2003to2023","kndvi.max",-0.00089,0.5703,-0.205,0.2342,-0.019,-3.3,"no_trend"
"656","S_579",55.1392091,160.0542468,2004,2023,20,0.5881,0.0236,"2003to2023","kndvi.max",0.00072,0.5285,0.064,0.7264,0.015,2.8,"no_trend"
"657","S_58",55.1053514,160.0091527,2004,2023,19,0.6118,0.0209,"2003to2023","kndvi.max",-0.00129,0.6894,-0.307,0.0814,-0.027,-3.9,"browning"
"658","S_581",55.1390372,159.9436433,2004,2023,20,0.5604,0.0323,"2003to2023","kndvi.max",0.00011,0.67,0.041,0.8337,0.002,0.3,"no_trend"
"659","S_582",55.1107271,159.9439165,2004,2023,20,0.5822,0.0217,"2003to2023","kndvi.max",-0.00039,0.6703,-0.099,0.5756,-0.008,-1.2,"no_trend"
"660","S_583",55.0849979,159.9240406,2004,2023,20,0.5937,0.0405,"2003to2023","kndvi.max",-0.0048,0.5846,-0.52,0.0021,-0.101,-17.3,"browning"
"661","S_586",55.1277076,159.9090297,2004,2023,20,0.5868,0.0443,"2003to2023","kndvi.max",-0.00094,0.4485,-0.135,0.4415,-0.02,-4.5,"no_trend"
"662","S_587",55.1361336,160.066872,2004,2023,20,0.6123,0.0223,"2003to2023","kndvi.max",-0.00112,0.7446,-0.228,0.1837,-0.024,-3.2,"no_trend"
"663","S_588",55.1131276,159.9472654,2004,2023,20,0.5997,0.035,"2003to2023","kndvi.max",-0.00211,0.7076,-0.275,0.1075,-0.044,-6.2,"no_trend"
"664","S_59",55.0986532,160.0978446,2004,2023,19,0.6304,0.0271,"2003to2023","kndvi.max",-0.00097,0.8106,-0.203,0.2558,-0.02,-2.5,"no_trend"
"665","S_590",55.1043894,160.0589727,2004,2023,19,0.6453,0.02,"2003to2023","kndvi.max",0.00019,0.7812,0.02,0.9396,0.004,0.5,"no_trend"
"666","S_591",55.1230126,159.95879,2004,2023,20,0.6356,0.0349,"2003to2023","kndvi.max",-0.00015,0.6459,-0.029,0.8887,-0.003,-0.5,"no_trend"
"667","S_595",55.0928485,159.9886239,2004,2023,20,0.6163,0.033,"2003to2023","kndvi.max",-0.00081,0.6999,-0.053,0.7796,-0.017,-2.4,"no_trend"
"668","S_599",55.1190678,159.9107151,2004,2023,19,0.5649,0.0353,"2003to2023","kndvi.max",-0.0015,0.7077,-0.163,0.3633,-0.032,-4.5,"no_trend"
"669","S_6",55.1498949,160.095956,2004,2023,20,0.6161,0.0272,"2003to2023","kndvi.max",-0.00121,0.541,-0.17,0.3273,-0.025,-4.6,"no_trend"
"670","S_60",55.0988627,160.0743421,2004,2023,19,0.6397,0.0288,"2003to2023","kndvi.max",-0.00212,0.8645,-0.386,0.028,-0.045,-5.2,"browning"
"671","S_601",55.1130909,159.9519678,2004,2023,19,0.6047,0.023,"2003to2023","kndvi.max",-0.00048,0.7654,-0.046,0.8202,-0.01,-1.3,"no_trend"
"672","S_602",55.1417428,159.9766536,2004,2023,20,0.5775,0.0292,"2003to2023","kndvi.max",0.00113,0.7352,0.228,0.1837,0.024,3.3,"no_trend"
"673","S_603",55.1200156,159.8919204,2004,2023,19,0.5746,0.0386,"2003to2023","kndvi.max",-0.00316,0.5863,-0.399,0.023,-0.066,-11.3,"browning"
"674","S_605",55.0939585,160.0492948,2004,2023,20,0.6424,0.0326,"2003to2023","kndvi.max",-4e-05,0.7649,-0.029,0.8887,-0.001,-0.1,"no_trend"
"675","S_608",55.089128,159.9819514,2004,2023,20,0.6266,0.032,"2003to2023","kndvi.max",-0.00152,0.7751,-0.158,0.363,-0.032,-4.1,"no_trend"
"676","S_609",55.1375514,160.0273778,2004,2023,19,0.6233,0.0276,"2003to2023","kndvi.max",2e-04,0.4877,0.033,0.8796,0.004,0.8,"no_trend"
"677","S_610",55.0981781,160.0287185,2004,2023,19,0.6258,0.0265,"2003to2023","kndvi.max",-0.00218,0.7827,-0.425,0.0153,-0.046,-5.9,"browning"
"678","S_611",55.1337259,159.9331654,2004,2023,19,0.5755,0.0345,"2003to2023","kndvi.max",-0.0015,0.7062,-0.229,0.1978,-0.032,-4.5,"no_trend"
"679","S_612",55.1133214,159.885657,2004,2023,20,0.5661,0.0327,"2003to2023","kndvi.max",-0.00214,0.4435,-0.298,0.0802,-0.045,-10.1,"browning"
"680","S_613",55.0978177,159.9398511,2004,2023,20,0.6076,0.0259,"2003to2023","kndvi.max",-0.00146,0.6989,-0.31,0.0689,-0.031,-4.4,"browning"
"681","S_615",55.0913932,160.00175,2004,2023,20,0.6411,0.0177,"2003to2023","kndvi.max",-0.00028,0.6527,-0.088,0.6243,-0.006,-0.9,"no_trend"
"682","S_617",55.0827481,159.9362079,2004,2023,20,0.6217,0.0251,"2003to2023","kndvi.max",-0.00032,0.6782,-0.076,0.6746,-0.007,-1,"no_trend"
"683","S_618",55.0910186,160.0144326,2004,2023,20,0.6316,0.0195,"2003to2023","kndvi.max",-0.00081,0.768,-0.17,0.3273,-0.017,-2.2,"no_trend"
"684","S_62",55.1328024,159.982082,2004,2023,20,0.5957,0.0204,"2003to2023","kndvi.max",-3e-05,0.6242,-0.029,0.8887,-0.001,-0.2,"no_trend"
"685","S_623",55.0935998,160.0281309,2004,2023,19,0.6147,0.031,"2003to2023","kndvi.max",-0.00296,0.8102,-0.333,0.0582,-0.062,-7.7,"browning"
"686","S_625",55.0918964,160.1291553,2004,2023,20,0.6375,0.0178,"2003to2023","kndvi.max",0.00033,0.5619,0.076,0.6746,0.007,1.2,"no_trend"
"687","S_627",55.1330485,160.0804362,2004,2023,20,0.658,0.0325,"2003to2023","kndvi.max",-0.00099,0.9101,-0.205,0.2342,-0.021,-2.3,"no_trend"
"688","S_628",55.080297,159.973746,2004,2023,20,0.6523,0.0278,"2003to2023","kndvi.max",-0.00296,0.9774,-0.462,0.0064,-0.062,-6.3,"browning"
"689","S_630",55.1349584,160.015076,2004,2023,19,0.6498,0.0255,"2003to2023","kndvi.max",0.00022,0.5312,0.033,0.8796,0.005,0.9,"no_trend"
"690","S_631",55.1423479,160.0957491,2004,2023,20,0.5998,0.0213,"2003to2023","kndvi.max",0.00066,0.4704,0.088,0.6243,0.014,3,"no_trend"
