Sample_ID,Year,Period,Transect,High,N,W,Age1,Age2,Age3,Age4,Age5,Age6,Age7,Age8,Age9,Age10,Age11,Age12,Age2_3,Age4_6,Age7_9,Age10_12,OGP,max_L,PT,N_for_PT,Ptros
SN_1.5_10,2010,2,SN,1.5,400,215.3,0,0,40,220,120,20,0,0,0,0,0,0,40,360,0,0,0.89,28.4,0.44,52,0.178873254
SN_1_10,2010,2,SN,1,250,517.1,0,0,10,150,90,50,20,10,10,0,10,0,10,290,40,10,0.89,57.3,0.44,52,0.178873254
SN_0.5_10,2010,2,SN,0.5,566.6,649.3,33.33333333,233.3333333,0,100,166.6666667,0,0,33.33333333,0,0,0,0,233.3333333,266.6666667,33.33333333,0,0.95,45.6,0.54,13,0.272098818
SN_-0.5_10,2010,2,SN,-0.5,1533.33,806,300,966.6666667,133.3333333,33.33333333,100,33.33333333,0,0,0,0,0,0,1100,166.6666667,0,0,0.95,43.6,0.54,13,0.272098818
SN_-1.5_10,2010,2,SN,-1.5,466.67,1117,66.66666667,66.66666667,0,33.33333333,166.6666667,66.66666667,33.33333333,33.33333333,0,0,0,0,66.66666667,266.6666667,66.66666667,0,0.86,55.3,0.16,12,0.045825756
SN_-3.5_10,2010,2,SN,-3.5,3266.67,3602,666.6666667,633.3333333,500,866.6666667,300,166.6666667,100,33.33333333,0,0,0,0,1133.333333,1333.333333,133.3333333,0,0.79,54.2,0.045454545,22,0.025220713
SS_1.5_10,2010,2,SS,1.5,32.5,73.7,0,0,7.5,2.5,12.5,5,0,2.5,0,2.5,0,0,7.5,20,2.5,2.5,0.79,55.5,0.84,19,0.653848696
SS_1_10,2010,2,SS,1,156,132,6,42,42,12,30,6,18,0,0,0,0,0,84,48,18,0,0.79,40.9,0.84,19,0.653848696
SS_0.5_10,2010,2,SS,0.5,2133.33,1751,966.67,600,233.33,133.33,100,33.33,0,0,33.33,0,0,33.33,833.33,266.66,33.33,33.33,0.81,77.4,0.32,19,0.102293229
SS_-0.5_10,2010,2,SS,-0.5,900,3106,0,200,266.67,33.33,166.67,100,33.33,0,0,66.67,66.67,0,466.67,300,33.33,133.34,0.81,82.6,0.32,19,0.102293229
SS_-1.5_10,2010,2,SS,-1.5,133.3,1058.3,0,33.33,0,0,33.33,0,33.33,0,0,33.33,0,0,33.33,33.33,33.33,33.33,0.86,80.9,0.16,12,0.045825756
BS_0.5_10,2010,2.5,BS,0.5,3610,4039.3,0,20,330,1120,1500,410,160,30,10,20,10,0,350,3030,200,30,0.75,61.6,0.07,42,0.028692704
BS_0.5_12,2012,3,BS,0.5,31642,15290.2,21554,4329,2132,1469,1196,494,156,260,52,0,0,0,6461,3159,468,0,1.04,56.1,0.377777778,45,0.134703052
MidN_0.5_12,2012,3,MidN,0.5,3402.67,466,106.7,1141.3,1413.3,394.7,85.3,80,69.3,74.7,26.7,10.7,0,0,2554.6,560,170.7,10.7,0.61,48.5,0.980392157,51,0.801248788
MidN_-1.5_12,2012,3,MidN,-1.5,844,1154.2,26.7,248,88,129.3,172,122.7,29.3,8,5.3,6.7,6.7,1.3,336,424,42.6,14.7,1,58.1,0.670731707,82,0.430932208
MoS_0.5_12,2012,3,MoS,0.5,49997.3,4366.4,12604,22637.3,7648,4265.3,2028,452,226.7,77.3,53.3,5.3,0,0,30285.3,6745.3,357.3,5.3,0.62,37.3,0.783783784,74,0.582351107
MoS_-1.5_12,2012,3,MoS,-1.5,3481.33,1471.6,1424,1652,216,49.3,16,13.3,13.3,5.3,5.3,1.3,0,85.3,1868,78.6,23.9,86.6,0.71,92.3,0.685714286,35,0.450873293
BS_0.5_18,2018,4,BS,0.5,1364,641.8,192,744,124,108,96,48,32,16,4,0,0,0,868,252,52,0,0.76,48.9,0.065989009,40,0.028095194
BS_-1.5_18,2018,4,BS,-1.5,15624,15953.09333,840,2576,3388,4386.666667,2389.333333,578.6666667,560,504,280,18.66666667,0,93.33333333,5964,7354.666667,1344,112,0.77,77.2,0.06008665,40,0.027237849
MidN_0.5_18,2018,4,MidN,0.5,2626.7,1489.6,26.66666667,40,453.3333333,600,720,480,280,26.66666667,0,0,0,0,493.3333333,1800,306.6666667,0,0.71,35.9,0.18,40,0.050786653
MidN_-1.5_18,2018,4,MidN,-1.5,961.3,2091,0,0,84,224,186.67,177.33,121.33,74.67,84,0,0,9.33,84,588,280,158.67,1.02,68.3,0.35,40,0.118156978
MoS_0.5_18,2018,4,MoS,0.5,7626.7,1468.9,653.33,2400,2613.33,1520,373.3333333,53.33,13.33,0,0,0,0,0,5013.33,1946.663333,13.33,0,0.63,30.3,0.087065772,39,0.031375648
MoS_-1.5_18,2018,4,MoS,-1.5,494.7,875.7,46.67,74.67,112,84,46.67,74.67,9.33,18.67,9.33,0,0,18.67,186.67,205.34,37.33,28,0.91,84.4,0.43,23,0.171078917
