Square,Sample,Morph,Length,Status,Site
4,A,E,24,dead,VorKorg
4,A,E,28,dead,VorKorg
4,A,E,22,dead,VorKorg
4,A,E,25,dead,VorKorg
4,A,E,20,dead,VorKorg
4,A,E,17,dead,VorKorg
4,A,E,21,dead,VorKorg
4,A,E,18,dead,VorKorg
4,A,E,15,dead,VorKorg
4,A,E,16,dead,VorKorg
4,A,E,18,dead,VorKorg
4,A,E,19,dead,VorKorg
4,A,E,20,dead,VorKorg
4,A,E,19,dead,VorKorg
4,A,E,15,dead,VorKorg
4,A,E,15,dead,VorKorg
4,A,E,22,dead,VorKorg
4,A,E,16,dead,VorKorg
4,A,E,16,dead,VorKorg
4,A,E,15,dead,VorKorg
4,A,E,14,dead,VorKorg
4,A,E,15,dead,VorKorg
4,A,E,15,dead,VorKorg
4,A,E,16,dead,VorKorg
4,A,E,14,dead,VorKorg
4,A,E,15,dead,VorKorg
4,A,E,14,dead,VorKorg
4,A,E,14,dead,VorKorg
4,A,E,14,dead,VorKorg
4,A,E,14,dead,VorKorg
4,A,E,14,dead,VorKorg
4,A,E,17,dead,VorKorg
4,A,E,11,dead,VorKorg
4,A,E,18,dead,VorKorg
6,B,T,26,dead,VorKorg
6,B,T,25,dead,VorKorg
6,B,T,21,dead,VorKorg
6,B,T,19,dead,VorKorg
6,B,T,24,dead,VorKorg
6,B,T,25,dead,VorKorg
6,B,T,23,dead,VorKorg
6,B,T,19,dead,VorKorg
6,B,T,25,dead,VorKorg
6,B,T,19,dead,VorKorg
6,B,T,18,dead,VorKorg
6,B,T,19,dead,VorKorg
6,B,T,24,dead,VorKorg
6,B,T,20,dead,VorKorg
6,B,T,21,dead,VorKorg
6,B,T,20,dead,VorKorg
6,B,T,25,dead,VorKorg
6,B,T,23,dead,VorKorg
6,B,T,17,dead,VorKorg
6,B,T,18,dead,VorKorg
6,B,T,22,dead,VorKorg
6,B,T,18,dead,VorKorg
6,B,T,20,dead,VorKorg
6,B,T,17,dead,VorKorg
6,B,T,20,dead,VorKorg
6,B,T,22,dead,VorKorg
6,B,T,19,dead,VorKorg
6,B,T,20,dead,VorKorg
6,B,T,25,dead,VorKorg
6,B,T,20,dead,VorKorg
6,B,T,18,dead,VorKorg
6,B,T,19,dead,VorKorg
6,B,T,18,dead,VorKorg
6,B,T,17,dead,VorKorg
6,B,T,17,dead,VorKorg
6,B,T,13,dead,VorKorg
6,B,T,14,dead,VorKorg
6,B,T,18,dead,VorKorg
6,B,T,12,dead,VorKorg
6,B,E,21,dead,VorKorg
6,B,E,27,dead,VorKorg
6,B,E,22,dead,VorKorg
6,B,E,24,dead,VorKorg
6,B,E,25,dead,VorKorg
6,B,E,26,dead,VorKorg
6,B,E,24,dead,VorKorg
6,B,E,23,dead,VorKorg
6,B,E,16,dead,VorKorg
6,B,E,18,dead,VorKorg
6,B,E,21,dead,VorKorg
6,B,E,18,dead,VorKorg
6,B,E,18,dead,VorKorg
6,B,E,18,dead,VorKorg
6,B,E,18,dead,VorKorg
6,B,E,13,dead,VorKorg
6,B,E,19,dead,VorKorg
6,B,E,20,dead,VorKorg
6,B,E,12,dead,VorKorg
6,B,E,15,dead,VorKorg
10,B,T,33,dead,Vor4
10,B,T,30,dead,Vor4
10,B,T,41,dead,Vor4
10,B,T,35,dead,Vor4
10,B,T,28,dead,Vor4
10,B,T,27,dead,Vor4
10,B,T,28,dead,Vor4
10,B,T,34,dead,Vor4
10,B,T,19,dead,Vor4
10,B,T,36,dead,Vor4
10,B,T,24,dead,Vor4
10,B,T,29,dead,Vor4
10,B,T,22,dead,Vor4
