Sample,ID,N_dots,Morphotype
Kuz1,28,10,E
Kuz1,29,0,E
Kuz1,30,27,E
Kuz1,31,28,E
Kuz1,32,29,E
Kuz1,33,0,E
Kuz1,34,11,E
Kuz1,35,2,E
Kuz1,36,0,E
Kuz1,37,19,E
Kuz1,38,4,E
Kuz1,39,6,E
Kuz1,40,0,E
Kuz1,41,0,E
Kuz1,42,36,E
Kuz1,43,13,E
Kuz1,44,8,E
Kuz1,45,42,E
Kuz1,46,19,E
Kuz1,47,6,E
Kuz1,48,11,E
Kuz1,49,5,E
Kuz1,50,2,E
Kuz1,51,3,E
Kuz1,52,10,E
Kuz1,53,26,E
Kuz1,54,17,E
Kuz1,55,6,E
Kuz1,56,0,E
Kuz1,57,7,E
Kuz1,58,8,E
Kuz1,59,20,E
Kuz1,60,14,E
Kuz1,61,18,E
Kuz1,62,14,E
Kuz1,63,30,E
Kuz1,64,5,E
Kuz1,65,5,E
Kuz1,66,19,E
Kuz1,67,0,E
Kuz1,68,1,E
Kuz1,69,12,E
Kuz1,70,2,E
Kuz1,71,15,E
Kuz1,72,17,E
Kuz1,73,0,E
Kuz1,74,41,E
Kuz1,75,1,E
Kuz1,76,36,E
Kuz1,77,0,E
Kuz1,78,2,E
Kuz1,79,0,E
Kuz1,80,0,E
Kuz1,81,0,E
Kuz1,82,14,E
Kuz1,83,4,E
Kuz1,84,15,E
Kuz1,85,0,E
Kuz1,86,0,E
Kuz1,87,9,E
Kuz1,88,0,E
Kuz1,89,0,E
Kuz1,90,7,E
Kuz1,91,6,E
Kuz1,92,3,E
Buoytrea 1,101,31,E
Buoytrea 1,102,11,E
Buoytrea 1,103,12,E
Buoytrea 1,104,48,E
Buoytrea 1,105,12,E
Buoytrea 1,106,16,E
Buoytrea 1,107,11,E
Buoytrea 1,108,9,E
Buoytrea 1,109,43,T
Buoytrea 1,5,4,T
Buoytrea 1,45,4,T
Buoytrea 1,18,19,T
Buoytrea 1,44,15,T
Buoytrea 1,50,33,T
Buoytrea 1,110,3,T
Buoytrea 1,46,0,T
Buoytrea 1,10,10,T
Buoytrea 1,48,5,T
Buoytrea 1,19,59,T
Buoytrea 1,2,17,T
Buoytrea 1,52,15,T
Buoytrea 1,59,50,T
Buoytrea 1,9,46,T
Buoytrea 1,2!,31,T
Buoytrea 1,6,85,T
Buoytrea 1,111,0,T
Buoytrea 1,60,4,T
Buoytrea 1,12,37,T
Buoytrea 1,112,23,T
Buoytrea 1,113,58,T
Buoytrea 1,7,28,T
Buoytrea 1,16,7,T
Buoytrea 1,33,56,T
Buoytrea 1,1,0,T
Buoytrea 1,35,22,T
Buoytrea 1,49,80,T
Buoytrea 1,32,36,T
Buoytrea 1,114,6,T
Buoytrea 1,34,3,T
Buoytrea 1,20,90,T
Buoytrea 1,51,33,T
Buoytrea 1,115,53,T
Buoytrea 1,55,28,T
Buoytrea 1,47,38,T
Buoytrea 1,19!,0,T
Buoytrea 1,8,15,T
Buoytrea 1,22,17,T
Buoytrea 1,36,0,T
Buoytrea 1,42,6,T
Buoytrea 1,11,100,T
Buoytrea 1,30,0,T
Buoytrea 1,53,26,T
Buoytrea 1,116,32,T
Buoytrea 1,117,12,T
Buoytrea 1,39,12,T
Buoytrea 1,13,1,T
Buoytrea 1,41,6,T
Buoytrea 1,15,27,T
Buoytrea 1,4,14,T
Buoytrea 1,26,64,T
Buoytrea 1,40,3,T
Buoytrea 1,69,0,T
Buoytrea 1,118,5,T
Buoytrea 1,38,22,T
Buoytrea 1,54,29,T
Buoytrea 1,27,2,T
Buoytrea 1,21,26,T
Buoytrea 1,28,5,T
Buoytrea 1,119,22,T
Buoytrea 1,191!,47,T
Buoytrea 1,37,7,T
Buoytrea 1,44!,7,T
Buoytrea 1,24,3,T
Buoytrea 1,25,17,T
Buoytrea 1,23,3,T
Buoytrea 1,120,9,T
Buoytrea 1,121,57,T
Buoytrea 1,59,3,T
Buoytrea 1,25!,8,T
Buaytred 10,10-4,0,E
Buaytred 10,10-7,11,E
Buaytred 10,10-30,9,E
Buaytred 10,10-10,7,E
Buaytred 10,10-25,4,E
Buaytred 10,10-8,0,E
Buaytred 10,10-28,29,T
Buaytred 10,10-5,22,T
Buaytred 10,10-11,2,T
Buaytred 10,10-24,2,T
Buaytred 10,10-6,11,T
Buaytred 10,10-22,37,T
Buaytred 10,10-21,22,T
Buaytred 10,10-3,15,T
Buaytred 10,10-29,1,T
Buaytred 10,10-18,7,T
Buaytred 10,10-14,13,T
Buaytred 10,10-21,32,T
Buaytred 10,10-19,0,T
Buaytred 10,10-20,14,T
Buaytred 10,10-27,0,T
