Year,t_peak,t_3,t_4,Su_start,t_6,t_7,t_8,Su_duration,Su_end,t_May,t_June,t_Spring,t_July,t_Aug,t_Sep,t_Summer,S_Apr,S_May,S_Jun_Aug,S_Sep,Ice_clear_G,Ice_clear_K,Ice_clear_M,Ice_thick_G,Ice_thick_K,Ice_thick_M,Su_start_1,Su_duration_1,Su_end_1,t Spring,t_Summer_1,NAO,NAO_1,AOI_DJFM,AOI_1
1997,210,160,160,160,170,170,180,130,290,2.3,7.1,4.7,10,8.6,7.4,8.6,NA,NA,26.6,27,147,150,149,27.7,76.9,52.3,180,110,290,3.6,7.3,-0.275,-1.825,0.2,-1.16
1998,210,170,170,180,180,180,190,100,280,NA,4.6,NA,11.2,11.5,8.7,10.5,27.5,NA,27,26.2,158,161,160,58.2,62.3,60.3,160,130,290,4.7,8.6,0,-0.275,-0.65,0.2
1999,190,170,180,180,180,180,190,120,300,1.1,4.1,2.6,10.7,6.5,5.9,7.7,28.9,27.7,26.6,27.7,146,149,148,47.5,54,50.8,180,100,280,NA,10.5,1.35,0,0.11,-0.65
2000,200,150,160,160,160,170,180,140,300,2,7.5,4.7,13.6,11.2,6.3,10.4,27.6,26.9,25.5,27,127,130,129,47,66.3,56.7,180,120,300,2.6,7.7,1.325,1.35,0.73,0.11
2001,200,160,170,170,170,190,NA,NA,240,0.6,5.2,2.9,8.7,5.7,5.7,6.7,26.2,28,26.4,26.9,154,131,143,67,39.8,53.4,160,140,300,4.7,10.4,-1.075,1.325,-1.41,0.73
2002,190,160,160,170,170,170,190,120,290,1,7.1,4.1,10.9,6.5,7.3,8.2,27.4,26.2,25.2,24.5,153,129,141,49.3,43.8,46.6,170,NA,240,2.9,6.7,-0.25,-1.075,0.57,-1.41
2003,220,150,160,170,170,180,180,130,300,2,6.2,4.1,11.3,12.8,6.7,10.2,26.6,25.3,25.9,27.5,134,139,137,74.7,45.2,59.9,170,120,290,4.1,8.2,-0.075,-0.25,-0.25,0.57
2004,220,160,170,180,180,190,190,120,300,1,4.6,2.8,10.4,12.5,8.1,10.3,27.5,26.1,26,26.7,137,153,145,45,68.6,56.8,170,130,300,4.1,10.2,-0.2,-0.075,-0.66,-0.25
2005,210,170,170,170,190,190,200,100,270,NA,4,NA,11.7,10.5,7,9.7,27.3,24.7,27,27.1,138,142,140,44.5,54.3,49.4,180,120,300,2.8,10.3,0,-0.2,-0.26,-0.66
2006,250,150,160,170,180,180,190,130,300,3,5.6,4.3,8.4,8.5,10.6,9.2,NA,28.4,27.5,27.4,130,131,131,41.4,46.4,43.9,170,100,270,NA,9.7,-0.55,0,-1.01,-0.26
2007,220,150,150,160,180,180,190,140,300,3,6.5,4.7,10.4,12.2,8.1,10.2,NA,27.8,26.9,26.7,115,140,128,42.2,44.6,43.4,170,130,300,4.3,9.2,1.525,-0.55,1.05,-1.01
2008,190,160,160,170,180,180,NA,90,260,1.5,6,3.7,9,6.5,5.1,6.9,NA,27.6,26.8,27.2,148,145,147,20.2,41.1,30.7,160,140,300,4.7,10.2,1.075,1.525,0.79,1.05
2009,230,160,170,170,170,190,190,110,280,1.9,6,3.9,8.3,10.6,6.3,8.4,28,27.5,26.7,27,132,145,139,47,57.3,52.1,170,90,260,3.7,6.9,0.725,1.075,0.22,0.79
2010,230,150,180,180,190,210,220,110,290,3.1,4.4,3.8,6.7,10.3,8.1,8.4,NA,27,27,26.8,135,141,138,47.3,72.2,59.7,170,110,280,3.9,8.4,-2.85,0.725,-2.67,0.22
2011,240,150,160,160,160,160,180,150,300,2.5,7.7,5.1,12.4,13.3,12.2,12.6,28.5,28,27.3,26.8,123,137,130,62.2,61.4,61.8,180,110,290,3.8,8.4,-1.15,-2.85,-0.33,-2.67
2012,230,140,160,160,150,160,170,140,290,3.7,7.6,5.6,9.8,10.9,9.4,10,28.6,27.8,27.3,26.9,130,140,135,43,53,48,160,150,300,5.1,12.6,1.85,-1.15,0.75,-0.33
2013,200,150,160,160,150,160,160,140,290,3.4,9.5,6.4,10.7,12,7.6,10.1,28.2,27.7,27,27.3,126,143,135,47.2,57.2,52.2,160,140,290,5.6,10,-0.95,1.85,-1.64,0.75
2014,210,150,150,160,160,160,160,140,290,4,8.5,6.3,11.3,11.9,9,10.7,27.9,27.6,27,27.3,128,141,135,32.3,66.4,49.4,160,140,290,6.4,10.1,2.3,-0.95,0.44,-1.64
2015,220,140,140,160,190,190,190,130,280,NA,5.3,NA,9.1,9.6,9.7,9.5,28,NA,27.1,26.7,123,138,131,49,68.4,58.7,160,140,290,6.3,10.7,2.975,2.3,1.1,0.44
2016,200,140,140,140,160,180,190,150,290,5.3,6.6,6,12.8,12.7,8,11.2,NA,26.9,26.8,26.9,124,127,126,38.7,67.6,53.1,160,130,280,NA,9.5,1.15,2.975,0.06,1.1
2017,220,160,170,170,180,180,180,140,310,1.4,5.9,3.6,9.1,10.6,8.4,9.4,27.8,27.6,26.5,25.8,94,143,119,34,58,46,140,150,290,6,11.2,0.8,1.15,1.11,0.06
2018,220,140,150,150,150,150,180,140,290,4.4,5.4,4.9,12.4,11,9.5,11,27.5,26.7,26.6,26.4,NA,NA,NA,NA,NA,NA,170,140,310,3.6,9.4,0.775,0.8,-0.29,1.11
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,173.4545455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
