Year,Period,Position,Site,Site_number,Sample,N_T,N_E,Lat,Lon,Period_label
2002,old,intertidal,Matrenin,2,Matrenin_fecundity_10_years,0,4,66.309527,33.629944,Enoi?e?aneea eieeaeoee ?aeiaei
2002,old,intertidal,Matrenin,2,Matrenin_fecundity_6_years,0,10,66.309527,33.629944,Enoi?e?aneea eieeaeoee ?aeiaei
2002,old,intertidal,Matrenin,2,Matrenin_fecundity_2_3_years,0,7,66.309527,33.629944,Enoi?e?aneea eieeaeoee ?aeiaei
2002,old,intertidal,Matrenin,2,Matrenin_fecundity_9_years,0,3,66.309527,33.629944,Enoi?e?aneea eieeaeoee ?aeiaei
2002,old,intertidal,Matrenin,2,Matrenin_fecundity_4_years,0,12,66.309527,33.629944,Enoi?e?aneea eieeaeoee ?aeiaei
2002,old,intertidal,Matrenin,2,Matrenin_fecundity_8_years,0,6,66.309527,33.629944,Enoi?e?aneea eieeaeoee ?aeiaei
2002,old,intertidal,Matrenin,2,Matrenin_fecundity_7_years,0,9,66.309527,33.629944,Enoi?e?aneea eieeaeoee ?aeiaei
2002,old,intertidal,Matrenin,2,Matrenin_fecundity_5_years,0,11,66.309527,33.629944,Enoi?e?aneea eieeaeoee ?aeiaei
2001,old,intertidal,Matrenin,2,Matrenin_mitochondria_4,0,17,66.309527,33.629944,Enoi?e?aneea eieeaeoee ?aeiaei
2001,old,intertidal,Matrenin,2,Matrenin_mitochondria_Aq,12,7,66.309527,33.629944,Enoi?e?aneea eieeaeoee ?aeiaei
2001,old,intertidal,Matrenin,2,Matrenin_mitochondria_8,0,9,66.309527,33.629944,Enoi?e?aneea eieeaeoee ?aeiaei
2001,old,intertidal,Matrenin,2,Matrenin_mitochondria_10,0,10,66.309527,33.629944,Enoi?e?aneea eieeaeoee ?aeiaei
2001,old,intertidal,Matrenin,2,Matrenin_mitochondria_7,0,17,66.309527,33.629944,Enoi?e?aneea eieeaeoee ?aeiaei
2001,old,intertidal,Matrenin,2,Matrenin_mitochondria_3,0,13,66.309527,33.629944,Enoi?e?aneea eieeaeoee ?aeiaei
2001,old,intertidal,Matrenin,2,Matrenin_mitochondria_no_label,0,20,66.309527,33.629944,Enoi?e?aneea eieeaeoee ?aeiaei
2001,old,intertidal,Matrenin,2,Matrenin_mitochondria_2,0,8,66.309527,33.629944,Enoi?e?aneea eieeaeoee ?aeiaei
2001,old,intertidal,Matrenin,2,Matrenin_mitochondria_5,0,14,66.309527,33.629944,Enoi?e?aneea eieeaeoee ?aeiaei
2004,old,intertidal,Luvenga,8,Luvenga_next_to_stream,0,52,67.101887,32.697699,Enoi?e?aneea eieeaeoee ?aeiaei
2019,new,intertidal,Luvenga,8,Luvenga_next_to_stream,820,136,67.101887,32.697699,Ia?aiienaiea iinaeaiee
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
