Year,Station,Taxa,B,N
1987,St9,Terebellides stroemi,6.37,1150
1987,St9,Tridonta borealis,50.2,10
1987,St10,Ampelisca macrocephala,0.17,10
1987,St10,Aricidea nolani,1.63,1080
1987,St10,Diastylis glabra,1.17,60
1987,St10,Harmothoe imbricata,1.43,50
1987,St10,Macoma calcarea,0.24,40
1987,St10,Micronephthys minuta,5.55,1200
1987,St10,Nereis sp.,2.31,10
1987,St10,Opistobranchia,0.05,40
1987,St10,Scoloplos armiger,7.05,1930
1987,St10,Terebellides stroemi,2.03,710
1987,St10,Tridonta borealis,593,100
1987,St11,Ampelisca macrocephala,0.14,10
1987,St11,Aricidea nolani,2.16,1160
1987,St11,Capitella capitata,0.02,10
1987,St11,Diastylis glabra,4.4,360
1987,St11,Diplocirrus longisetosus,0.08,10
1987,St11,Harmothoe imbricata,0.78,50
1987,St11,Macoma balthica,0.34,90
1987,St11,Micronephthys minuta,5.27,1410
1987,St11,Mytilus edulis,0.04,10
1987,St11,Onoba aculeus,0.02,10
1987,St11,Pholoe minuta,0.03,10
1987,St11,Scoloplos armiger,3.96,1460
1987,St11,Spionidae,0.03,40
1987,St11,Terebellides stroemi,1.42,530
1987,St11,Tridonta borealis,878,150
1987,St12,Anonyx nugax,4.12,200
1987,St12,Aricidea nolani,1.9,950
1987,St12,Chaetozone setosa,0.09,10
1987,St12,Harmothoe imbricata,0.96,20
1987,St12,Macoma balthica,1.3,120
1987,St12,Micronephthys minuta,3.22,330
1987,St12,Monoculodes sp.,0.04,10
1987,St12,Mytilus edulis,1437,220
1987,St12,Opistobranchia,0.01,10
1987,St12,Orchomenella minuta,0.22,40
1987,St12,Pontoporeia femorata,0.11,10
1987,St12,Priapulus caudatus,0.1,10
1987,St12,Saccoglossus mereschkowskii,0.07,20
1987,St12,Scoloplos armiger,7.64,850
1987,St12,Spionidae,0.16,120
1987,St12,Terebellides stroemi,8.6,460
1987,St13,Aricidea nolani,1.62,1450
1987,St13,Diastylis glabra,0.19,10
1987,St13,Harmothoe imbricata,2.05,70
1987,St13,Hydrobia ulvae,0.03,10
1987,St13,Macoma balthica,1.04,80
1987,St13,Micronephthys minuta,5.26,790
1987,St13,Mytilus edulis,193,40
1987,St13,Nephthys sp.,19.2,10
1987,St13,Nereis sp.,8.71,10
1987,St13,Opistobranchia,0.01,10
1987,St13,Phyllodoce sp.,0.04,10
1987,St13,Saccoglossus mereschkowskii,0.11,40
1987,St13,Scoloplos armiger,3,1130
1987,St13,Spionidae,0.4,460
1987,St13,Terebellides stroemi,1.59,870
1987,St14,Aricidea nolani,0.8,400
1987,St14,Eteone longa,0.17,30
1987,St14,Harmothoe imbricata,2.29,110
1987,St14,Heteromastus filiformis,0.05,80
1987,St14,Macoma balthica,0.95,30
1987,St14,Micronephthys minuta,7.06,1010
1987,St14,Mytilus edulis,0.43,30
1987,St14,Nereis sp.,7,10
1987,St14,Oenopota sp.,2.47,20
1987,St14,Paroediceros lynceus,0.08,10
1987,St14,Pholoe minuta,0.02,10
1987,St14,Phyllodoce sp.,0.08,10
1987,St14,Saccoglossus mereschkowskii,0.03,20
1987,St14,Scalibregma inflatum,0.32,10
1987,St14,Scoloplos armiger,6.9,1070
1987,St14,Serripes groenlandicus,0.01,10
1987,St14,Spionidae,0.32,540
1987,St14,Terebellides stroemi,7.97,840
1987,St15,Aricidea nolani,0.92,770
1987,St15,Diastylis glabra,0.44,40
1987,St15,Eteone longa,0.04,10
1987,St15,Harmothoe imbricata,1.65,60
1987,St15,Macoma balthica,0.22,30
1987,St15,Micronephthys minuta,4.28,1050
1987,St15,Opistobranchia,0.03,30
1987,St15,Paroediceros lynceus,0.09,30
1987,St15,Scoloplos armiger,7.26,1790
1987,St15,Spionidae,0.03,90
1987,St15,Terebellides stroemi,4.97,730
1987,St16,Aricidea nolani,2.68,1050
1987,St16,Diastylis glabra,0.13,10
1987,St16,Eteone longa,0.37,90
1987,St16,Harmothoe imbricata,0.38,20
1987,St16,Macoma balthica,0.27,20
1987,St16,Micronephthys minuta,5.41,640
1987,St16,Monoculodes sp.,0.07,60
1987,St16,Onoba aculeus,0.03,10
1987,St16,Phyllodoce sp.,0.11,10
1987,St16,Saccoglossus mereschkowskii,0.07,10
1987,St16,Scoloplos armiger,9.13,1750
1987,St16,Spionidae,0.01,10
1987,St16,Terebellides stroemi,8.7,730
1987,St17,Ampelisca macrocephala,0.1,10
1987,St17,Aricidea nolani,4.22,1300
1987,St17,Diaphana minuta,0.07,10
1987,St17,Diastylis glabra,0.14,10
1987,St17,Eteone longa,0.09,30
1987,St17,Harmothoe imbricata,0.15,10
1987,St17,Macoma balthica,0.3,10
1987,St17,Micronephthys minuta,5.54,820
1987,St17,Monoculodes sp.,0.01,10
1987,St17,Nephthys sp.,13.9,10
1987,St17,Saccoglossus mereschkowskii,0.3,10
1987,St17,Scalibregma inflatum,0.05,10
1987,St17,Scoloplos armiger,6.63,1550
1987,St17,Spionidae,0.16,160
1987,St17,Terebellides stroemi,9.64,1010
1987,St17,Tridonta borealis,36.5,10
1987,St18,Ampelisca macrocephala,0.4,10
1987,St18,Aricidea nolani,3.01,1020
1987,St18,Eteone longa,0.13,10
1987,St18,Harmothoe imbricata,0.25,10
1987,St18,Heteromastus filiformis,0.01,10
1987,St18,Macoma balthica,0.07,10
1987,St18,Micronephthys minuta,3.6,570
1987,St18,Nereis sp.,5,10
1987,St18,Saccoglossus mereschkowskii,0.02,10
1987,St18,Scoloplos armiger,6.16,1640
1987,St18,Spionidae,0.02,10
1987,St18,Terebellides stroemi,1.7,360
1987,St19,Aricidea nolani,0.9,180
1987,St19,Eteone longa,0.05,10
1987,St19,Harmothoe imbricata,0.16,30
1987,St19,Macoma balthica,0.51,30
1987,St19,Micronephthys minuta,1.16,110
1987,St19,Mytilus edulis,170,20
1987,St19,Nereis sp.,2.32,10
1987,St19,Paroediceros lynceus,0.1,10
1987,St19,Phyllodoce sp.,0.55,20
1987,St19,Priapulus caudatus,1.35,40
1987,St19,Scalibregma inflatum,0.02,10
1987,St19,Scoloplos armiger,5.73,450
1987,St19,Spionidae,0.05,30
1987,St19,Terebellides stroemi,3.28,460
1987,St20,Anonyx nugax,10.97,210
1987,St20,Aricidea nolani,1.18,1000
1987,St20,Diastylis glabra,0.07,10
1987,St20,Eteone longa,0.03,10
1987,St20,Harmothoe imbricata,1.92,40
1987,St20,Hydrobia ulvae,0.03,10
1987,St20,Macoma balthica,0.6,40
1987,St20,Micronephthys minuta,3.75,560
1987,St20,Monoculodes sp.,0.44,10
1987,St20,Mytilus edulis,745,70
1987,St20,Orchomenella minuta,0.73,40
1987,St20,Paroediceros lynceus,0.07,10
1987,St20,Priapulus caudatus,4.31,60
1987,St20,Scoloplos armiger,4.77,600
1987,St20,Terebellides stroemi,1.41,630
1988,St1,Anonyx nugax,2.1,10
1988,St1,Aricidea nolani,1.44,940
1988,St1,Balanus crenatus,20.9,10
1988,St1,Capitella capitata,0.02,50
1988,St1,Corophium bonelli,0.12,20
1988,St1,Eteone longa,0.07,10
1988,St1,Harmothoe imbricata,1.42,70
1988,St1,Macoma balthica,0.78,30
1988,St1,Micronephthys minuta,2.37,350
1988,St1,Mytilus edulis,440.9,20
1988,St1,Opistobranchia,0.06,50
1988,St1,Polydora quadrilobata,0.13,210
1988,St1,Scoloplos armiger,5.39,850
1988,St1,Terebellides stroemi,16.71,480
1988,St1,Tridonta borealis,22.7,10
1988,St2,Aricidea nolani,1.99,910
1988,St2,Brachidiastylis resima,0.02,10
1988,St2,Diastylis glabra,0.18,20
1988,St2,Diastylis scorpioides,1.17,10
1988,St2,Diplocirrus longisetosus,0.03,10
1988,St2,Eteone longa,0.05,10
1988,St2,Harmothoe imbricata,0.03,10
1988,St2,Hydrobia ulvae,0.06,10
1988,St2,Macoma calcarea,4.57,20
1988,St2,Micronephthys minuta,2.68,670
1988,St2,Monobrachium parasitum,0.01,1
1988,St2,Nemertini,1.29,10
1988,St2,Nephthys sp.,3.21,10
1988,St2,Polydora quadrilobata,0.03,30
1988,St2,Scalibregma inflatum,0.05,10
1988,St2,Scoloplos armiger,1.45,470
1988,St2,Serripes groenlandicus,26,20
1988,St2,Spionidae,0.01,10
1988,St2,Terebellides stroemi,26.16,350
1988,St2,Tridonta borealis,772,110
1988,St3,Ampelisca macrocephala,0.27,40
1988,St3,Aricidea nolani,7,5360
1988,St3,Brachidiastylis resima,0.04,30
1988,St3,Capitella capitata,0.02,20
1988,St3,Castalia punctata,0.03,10
1988,St3,Chaetozone setosa,0.02,10
1988,St3,Corophium bonelli,0.02,20
1988,St3,Diaphana minuta,0.04,10
1988,St3,Diastylis glabra,1.47,130
1988,St3,Diastylis scorpioides,0.21,10
1988,St3,Diastylis sulcata,0.09,30
1988,St3,Diplocirrus longisetosus,0.81,70
1988,St3,Eteone longa,0.08,30
1988,St3,Harmothoe imbricata,0.4,50
1988,St3,Lumbriconereis fragilis,0.02,10
1988,St3,Macoma calcarea,1.97,100
1988,St3,Micronephthys minuta,8.59,2050
1988,St3,Monobrachium parasitum,0.01,1
1988,St3,Mya sp.,3.66,60
1988,St3,Mytilus edulis,0.01,10
1988,St3,Oenopota sp.,0.02,10
1988,St3,Onoba aculeus,0.01,10
1988,St3,Opistobranchia,0.02,40
1988,St3,Pholoe minuta,0.09,50
1988,St3,Polydora quadrilobata,0.01,10
1988,St3,Scoloplos armiger,1.43,610
1988,St3,Spionidae,0.02,20
1988,St3,Terebellides stroemi,19.2,1050
1988,St4,Ampelisca macrocephala,1.42,10
1988,St4,Aricidea nolani,4.36,2350
1988,St4,Capitella capitata,0.01,10
1988,St4,Diastylis glabra,0.15,10
1988,St4,Diastylis scorpioides,0.12,10
1988,St4,Diplocirrus longisetosus,0.34,30
1988,St4,Eteone longa,0.08,20
1988,St4,Harmothoe imbricata,0.66,30
1988,St4,Hydrobia ulvae,0.06,10
1988,St4,Macoma calcarea,1.04,50
1988,St4,Micronephthys minuta,4.82,720
1988,St4,Nemertini,1.84,20
1988,St4,Nephthys sp.,5.03,10
1988,St4,Nereis sp.,15,40
1988,St4,Phyllodoce sp.,0.39,10
1988,St4,Polydora quadrilobata,0.02,20
1988,St4,Scoloplos armiger,2.22,660
1988,St4,Serripes groenlandicus,4.94,20
1988,St4,Terebellides stroemi,18.03,450
1988,St4,Tridonta borealis,576,100
1988,St5,Aricidea nolani,2.78,1840
1988,St5,Diastylis glabra,0.13,10
1988,St5,Diastylis scorpioides,0.81,10
1988,St5,Diastylis sulcata,0.12,10
1988,St5,Diplocirrus longisetosus,0.24,10
1988,St5,Harmothoe imbricata,0.28,30
1988,St5,Macoma balthica,0.23,20
1988,St5,Micronephthys minuta,3.54,620
1988,St5,Nemertini,0.92,10
1988,St5,Onoba aculeus,0.16,30
1988,St5,Opistobranchia,0.05,30
1988,St5,Pholoe minuta,0.04,10
1988,St5,Phyllodoce sp.,0.05,10
1988,St5,Polydora quadrilobata,0.06,140
1988,St5,Pontoporeia femorata,0.24,20
