sample_ID,pop_ID,species,location,edulis,trossulus,L,l,a,MorphotypE
GROR347,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999985,0.000015,80.9,50.3,50.3,E
GROR348,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999988,0.000012,66.5,40.1,38.4,E
GROR349,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999975,0.000025,80.1,53.5,43.9,E
GROR350,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999986,0.000014,75.8,45.9,45.9,E
GROR351,MDICOA,edulis,Mount Desert Island College of the Atlantic,0.999985,0.000015,NA,NA,NA,E
GRYE331,JPC,edulis,Jonesport Central,0.999985,0.000015,54.8,29.4,29.4,E
GRYE336,JPC,edulis,Jonesport Central,0.999985,0.000015,53.8,27.8,27.8,E
GRYE338,JPC,edulis,Jonesport Central,0.999981,0.000019,NA,NA,NA,E
GRYE339,JPC,edulis,Jonesport Central,0.999987,0.000013,57.7,30.5,30.5,E
GRYE340,JPC,edulis,Jonesport Central,0.999985,0.000015,47.2,23.6,23.6,E
GRYE341,JPC,edulis,Jonesport Central,0.999983,0.000017,NA,NA,NA,E
GRYE342,JPC,edulis,Jonesport Central,0.999985,0.000015,50.2,26.9,26.9,E
GRYE343,JPC,edulis,Jonesport Central,0.999985,0.000015,55.8,29.6,29.6,E
GRYE344,JPC,edulis,Jonesport Central,0.999984,0.000016,53.6,30,26.6,E
GRYE345,JPC,edulis,Jonesport Central,0.999983,0.000017,NA,NA,NA,E
GRYE346,JPC,edulis,Jonesport Central,0.999988,0.000012,58.3,28.7,29.8,E
GRYE347,JPC,edulis,Jonesport Central,0.999984,0.000016,52.2,29.7,29.7,E
GRYE348,JPC,edulis,Jonesport Central,0.999986,0.000014,51.3,28.7,25.7,E
GRYE350,JPC,edulis,Jonesport Central,0.999986,0.000014,NA,NA,NA,E
GRYE354,JPC,edulis,Jonesport Central,0.999985,0.000015,NA,NA,NA,E
GRYE355,JPC,edulis,Jonesport Central,0.999984,0.000016,NA,NA,NA,E
GRYE356,JPC,edulis,Jonesport Central,0.999984,0.000016,NA,NA,NA,E
GRYE357,JPC,edulis,Jonesport Central,0.999986,0.000014,53.4,28.5,28.5,E
GRYE357,JPC,edulis,Jonesport Central,0.999986,0.000014,53.2,28,28,E
GRYE358,JPC,edulis,Jonesport Central,0.999977,0.000023,49.4,28.5,24,E
GRYE359,JPC,edulis,Jonesport Central,0.999986,0.000014,NA,NA,NA,E
GRYE360,JPC,edulis,Jonesport Central,0.999984,0.000016,55.6,28.8,28.8,E
GRYE361,JPC,edulis,Jonesport Central,0.999985,0.000015,NA,NA,NA,E
GRYE362,JPC,edulis,Jonesport Central,0.999966,0.000034,NA,NA,NA,E
GRYE364,JPC,edulis,Jonesport Central,0.999984,0.000016,NA,NA,NA,E
GRYE365,JPC,edulis,Jonesport Central,0.999976,0.000024,54.6,30.2,23.8,E
