sample_ID,pop_ID,species,location,edulis,trossulus
GYO376,KIM,edulis,Kent Island Mooring,0.999978,0.000022
GYO377,KIM,trossulus,Kent Island Mooring,0.000044,0.999956
GYO378,KIM,edulis,Kent Island Mooring,0.999985,0.000015
GYO379,KIM,edulis,Kent Island Mooring,0.999985,0.000015
GYO380,KIM,edulis,Kent Island Mooring,0.999986,0.000014
GYO381,KIM,edulis,Kent Island Mooring,0.999985,0.000015
GYO382,KIM,edulis,Kent Island Mooring,0.999988,0.000012
GYO383,KIM,edulis,Kent Island Mooring,0.999981,0.000019
GYO385,KIM,edulis,Kent Island Mooring,0.999985,0.000015
GYO387,KIM,edulis,Kent Island Mooring,0.999984,0.000016
GYO388,KIM,edulis,Kent Island Mooring,0.999983,0.000017
GYO389,KIM,edulis,Kent Island Mooring,0.999984,0.000016
GYO390,KIM,edulis,Kent Island Mooring,0.999985,0.000015
GYO391,KIM,edulis,Kent Island Mooring,0.999988,0.000012
GYO392,KIM,hybrid,Kent Island Mooring,0.849272,0.150728
GYO393,KIM,edulis,Kent Island Mooring,0.999985,0.000015
GYO394,KIM,edulis,Kent Island Mooring,0.999984,0.000016
GYO395,KIM,edulis,Kent Island Mooring,0.999979,0.000021
GYO396,KIM,edulis,Kent Island Mooring,0.999983,0.000017
GYO397,KIM,edulis,Kent Island Mooring,0.999986,0.000014
GYO398,KIM,edulis,Kent Island Mooring,0.999986,0.000014
MDRW002,MDRW,hybrid,Mount Desert Rock West,0.759609,0.240391
MDRW005,MDRW,trossulus,Mount Desert Rock West,0.000056,0.999944
MDRW006,MDRW,edulis,Mount Desert Rock West,0.999725,0.000275
MDRW008,MDRW,edulis,Mount Desert Rock West,0.999877,0.000123
MDRW009,MDRW,edulis,Mount Desert Rock West,0.999975,0.000025
MDRW010,MDRW,trossulus,Mount Desert Rock West,0.000215,0.999785
MDRW011,MDRW,trossulus,Mount Desert Rock West,0.000078,0.999922
MDRW012,MDRW,edulis,Mount Desert Rock West,0.999915,0.000085
MDRW013,MDRW,trossulus,Mount Desert Rock West,0.000056,0.999944
OR060,BI,edulis,Bailey Island,0.999988,0.000012
OR061,BI,edulis,Bailey Island,0.999982,0.000018
OR062,BI,edulis,Bailey Island,0.999988,0.000012
OR063,BI,edulis,Bailey Island,0.999984,0.000016
OR064,BI,edulis,Bailey Island,0.999937,0.000063
OR065,BI,edulis,Bailey Island,0.999855,0.000145
OR066,BI,edulis,Bailey Island,0.999983,0.000017
OR068,BI,edulis,Bailey Island,0.999963,0.000037
OR069,BI,edulis,Bailey Island,0.999985,0.000015
OR070,BI,edulis,Bailey Island,0.999987,0.000013
OR072,BI,edulis,Bailey Island,0.999985,0.000015
OR073,BI,edulis,Bailey Island,0.999984,0.000016
OR077,BI,edulis,Bailey Island,0.99998,0.00002
OR078,BI,edulis,Bailey Island,0.999984,0.000016
OR079,BI,trossulus,Bailey Island,0.000056,0.999944
OR080,BI,edulis,Bailey Island,0.999985,0.000015
OR081,BI,edulis,Bailey Island,0.999988,0.000012
OR082,BI,edulis,Bailey Island,0.999988,0.000012
OR083,BI,edulis,Bailey Island,0.999988,0.000012
OR084,BI,edulis,Bailey Island,0.999982,0.000018
OR085,BI,edulis,Bailey Island,0.999989,0.000011
OR087,BI,edulis,Bailey Island,0.999987,0.000013
OR089,BI,edulis,Bailey Island,0.999988,0.000012
OR244,MDRE,trossulus,Mount Desert Rock East,0.000044,0.999956
OR253,MDRE,edulis,Mount Desert Rock East,0.999973,0.000027
OR254,MDRE,edulis,Mount Desert Rock East,0.999979,0.000021
OR255,MDRE,edulis,Mount Desert Rock East,0.999953,0.000047
OR256,MDRE,edulis,Mount Desert Rock East,0.99998,0.00002
OR257,MDRE,edulis,Mount Desert Rock East,0.999979,0.000021
OR258,MDRE,edulis,Mount Desert Rock East,0.999958,0.000042
OR260,MDRE,hybrid,Mount Desert Rock East,0.513607,0.486393
