population;site;sample_type;substrate;L;z;structure;species;hybride_score
vor5;Voronya;unsystematic;any;34.9;0.864197531;0.056;edulis;1
vor5;Voronya;unsystematic;any;36.4;0.865853659;0.014;edulis;1
vor5;Voronya;unsystematic;any;30.9;0.96969697;0.01;edulis;0
vor5;Voronya;unsystematic;any;36.3;0.982857143;0.011;edulis;0
vor5;Voronya;unsystematic;any;14;0.793650794;0.064;hybrid;2
vor5;Voronya;unsystematic;any;15.5;0.814285714;0.01;edulis;0
vor5;Voronya;unsystematic;any;15;1;0.013;edulis;1
vor5;Voronya;unsystematic;any;13.2;0.961538462;0.043;edulis;1
vor5;Voronya;unsystematic;any;23.9;0.754545455;0.014;edulis;0
vor5;Voronya;unsystematic;any;22.8;0.747572816;0.011;edulis;0
vor5;Voronya;unsystematic;any;35.7;0.944444444;0.189;hybrid;2
vor5;Voronya;unsystematic;any;28.8;0.894736842;0.084;hybrid;1
vor5;Voronya;unsystematic;any;26.4;0.696721311;0.043;edulis;1
vor5;Voronya;unsystematic;any;25.5;0.769230769;0.013;edulis;1
vor5;Voronya;unsystematic;any;31.3;0.73943662;0.011;edulis;0
vor5;Voronya;unsystematic;any;25.2;0;0.015;edulis;1
vor5;Voronya;unsystematic;any;28.7;0.948905109;0.011;edulis;0
vor5;Voronya;unsystematic;any;28.3;0.984848485;0.011;edulis;0
vor5;Voronya;unsystematic;any;29.9;0.546666667;0.042;edulis;1
vor5;Voronya;unsystematic;any;32.5;0.952380952;0.09;hybrid;1
vor5;Voronya;unsystematic;any;30.3;0.893939394;0.022;edulis;0
vor5;Voronya;unsystematic;any;36.1;1;0.011;edulis;0
vor5;Voronya;unsystematic;any;31.6;0.649253731;0.012;edulis;0
vor5;Voronya;unsystematic;any;34;0.625806452;0.011;edulis;0
vor5;Voronya;unsystematic;any;33.9;1;0.011;edulis;0
voronya;Voronya;unsystematic;any;11.2;0.795454545;0.013;edulis;1
voronya;Voronya;unsystematic;any;9.8;0.6;0.011;edulis;0
voronya;Voronya;unsystematic;any;8.3;0.714285714;0.044;edulis;1
voronya;Voronya;unsystematic;any;11.5;0;0.973;trossulus;7
voronya;Voronya;unsystematic;any;10.9;1.022727273;0.011;edulis;0
voronya;Voronya;unsystematic;any;23.4;0.68627451;0.011;edulis;0
voronya;Voronya;unsystematic;any;18.1;0.76056338;0.014;edulis;1
voronya;Voronya;unsystematic;any;19.8;0.731707317;0.013;edulis;0
voronya;Voronya;unsystematic;any;27.1;0.888888889;0.01;edulis;0
voronya;Voronya;unsystematic;any;30.5;1;0.018;edulis;2
voronya;Voronya;unsystematic;any;26.7;0.865384615;0.012;edulis;0
voronya;Voronya;unsystematic;any;24.9;0.626086957;0.926;trossulus;6
voronya;Voronya;unsystematic;any;24.5;1;0.018;edulis;1
voronya;Voronya;unsystematic;any;28.5;1;0.011;edulis;0
voronya;Voronya;unsystematic;any;30.8;0.921985816;0.011;edulis;0
voronya;Voronya;unsystematic;any;31.3;0.970149254;0.011;edulis;0
voronya;Voronya;unsystematic;any;31.1;1;0.011;edulis;0
voronya;Voronya;unsystematic;any;36.8;1;0.011;edulis;0
voronya;Voronya;unsystematic;any;37;1;0.011;edulis;0
voronya;Voronya;unsystematic;any;32.5;0.591549296;0.041;edulis;1
voronya;Voronya;unsystematic;any;38.2;0.482233503;0.087;hybrid;1
voronya;Voronya;unsystematic;any;40.9;0.965;0.012;edulis;0
voronya;Voronya;unsystematic;any;42.8;0.87254902;0.012;edulis;0
voronya;Voronya;unsystematic;any;13.7;0;0.842;hybrid;6
voronya;Voronya;unsystematic;any;14.8;1.016666667;0.467;hybrid;4
voronya;Voronya;unsystematic;any;15.2;0;0.974;trossulus;7
