sample_ID,L,l,a,MorphotypE
WH243,57.9,33.1,31.4,E
WH255,57.1,27.8,27.8,E
WH252,67.7,35.4,35.4,E
WH268,56,27.9,27.9,E
WH267,59.7,32.6,32.6,E
WH204,48.4,32.8,32.8,E
WH289,56.9,30,30,E
WH285,53.9,29.3,29.3,E
WH287,22.5,12.5,9.2,E
WH338,61.3,33.1,32,E
WH256,64.7,35.5,34.1,E
WH247,62,33.1,33.1,E
WH248,53.4,32,32,E
WH253,54.9,30.7,30.7,E
WH290,67.8,38.7,36.5,E
WH215,58.1,32,32.5,E
WH245,52.7,27.2,27.2,E
WH286,64.2,35,29.4,E
WH298,55,27.4,27.4,E
WH297,55.4,34.5,34.5,E
WH203,56,32.2,32.2,E
WH234,36.2,32.8,32.8,E
WH293,61.3,30.9,30.9,E
WH211,51,25.2,25.2,E
WH294,53.5,27.5,27.4,E
WH214,66.2,35.6,31.4,E
WH210,55.2,29.1,29.1,E
WH234,63.3,32.4,26.9,E
WH259,58.7,32.3,26.8,E
WH231,54.9,30.8,30.8,E
WH218,61.6,36.6,18.3,E
WH287,61.6,65.3,33.2,E
WH261,58.8,29.4,24.7,E
WH257,57.1,33.1,33.1,E
WH284,54.9,29.8,29.8,E
WH265,62.4,33.7,33.7,E
WH219,56.9,29.2,29.2,E
WH264,51.5,33.7,33.7,E
WH221,62.8,34.1,34.1,E
WH244,58.7,32.8,32.8,E
WH213,53.2,29.7,29.7,E
WH283,56.7,32.4,32.4,E
WH220,61.3,34.8,28.6,E
WH240,NA,NA,NA,E
WH233,NA,NA,NA,E
WH263,NA,NA,NA,E
WH246,NA,NA,NA,E
WH250,NA,NA,NA,E
WH281,NA,NA,NA,E
WH262,NA,NA,NA,E
WH209,NA,NA,NA,E
WH202,NA,NA,NA,E
WH240,NA,NA,NA,E
WH249,NA,NA,NA,E
YE204,NA,NA,NA,E
YE205,NA,NA,NA,E
YE219,NA,NA,NA,E
YE211,NA,NA,NA,E
YE207,NA,NA,NA,E
YE202,NA,NA,NA,E
YE201,NA,NA,NA,E
YE206,NA,NA,NA,E
YE216,NA,NA,NA,E
YE217,NA,NA,NA,E
YE203,NA,NA,NA,E
YE214,NA,NA,NA,E
YE218,NA,NA,NA,E
YE213,NA,NA,NA,E
YE208,NA,NA,NA,E
YE209,NA,NA,NA,E
YE212,NA,NA,NA,E
GRYE347,52.2,29.7,29.7,E
GRYE380,54.1,28.4,28.4,E
GRYE343,55.8,29.6,29.6,E
GRYE342,50.2,26.9,26.9,E
GRYE365,54.6,30.2,23.8,E
GRYE378,52.1,24.8,24.8,E
GRYE382,62.7,30.8,30.8,E
GRYE383,52,25.9,25.9,E
GRYE344,53.6,30,26.6,E
GRYE388,52.1,25.9,25.9,E
GRYE386,47.3,25.4,25.4,E
GRYE374,52,25.6,25.6,E
GRYE379,53.3,28.2,0,T
GRYE360,55.6,28.8,28.8,E
