decimalLatitude	decimalLongitude
52.95	4.75
52.1	4.25
53.1	4.85
52.45	4.5
52.45	4.5
52.45	4.6
53.0	4.85
52.75	5.2
52.1	4.25
52.9	5.0
53.35	5.95
52.45	4.55
51.95	4.05
52.65	4.6
53.0	4.85
53.05	4.9
53.1	4.85
52.25	4.45
52.1	4.25
52.9	4.75
52.95	4.75
52.25	4.45
53.4	5.2
52.35	4.5
53.4	5.2
52.45	4.6
53.0	4.9
59.885277	19.062222
51.498628	0.634804
57.98866	11.54503
56.6416	12.73236
65.69094	23.17567
56.16047	14.9822
56.81994	12.60518
56.64225	12.7331
59.3458	18.91584
56.22843	12.71877
57.59416	11.90383
55.91541	14.31918
57.17331	17.04316
56.18433	12.55601
63.23131	19.07828
58.32579	11.78663
57.61523	18.76445
57.75288	18.94966
56.21875	12.7797
55.971183	12.756
56.220017	12.7829
55.971183	12.756
56.21875	12.7797
56.21875	12.7797
56.220017	12.7829
56.21875	12.7797
56.220017	12.7829
56.21875	12.7797
56.21875	12.7797
56.220017	12.7829
51.11673	4.54535
51.11673	4.54535
51.09909	4.50834
51.09909	4.50834
51.09909	4.50834
51.09909	4.50834
51.09909	4.50834
51.09909	4.50834
51.09909	4.50834
51.09909	4.50834
51.09909	4.50834
51.09909	4.50834
51.09909	4.50834
51.09909	4.50834
51.09909	4.50834
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
51.34116	4.26661
