Bay,Sex,Orient,L
Onega_Bay,Male,Right,15.5
Onega_Bay,Male,Right,24.5
Onega_Bay,Male,Right,23.3
Onega_Bay,Male,Right,22.5
Onega_Bay,Male,Right,21.8
Onega_Bay,Male,Right,21.8
Onega_Bay,Male,Right,20.3
Onega_Bay,Male,Right,20.2
Onega_Bay,Male,Right,21.5
Onega_Bay,Male,Right,19.8
Onega_Bay,Male,Right,20.3
Onega_Bay,Male,Right,19.4
Onega_Bay,Male,Right,23.6
Onega_Bay,Male,Right,22.1
Onega_Bay,Male,Right,20.4
Onega_Bay,Male,Right,23.3
Onega_Bay,Male,Right,22.8
Onega_Bay,Male,Right,23.5
Onega_Bay,Male,Right,23.2
Onega_Bay,Male,Right,23.0
Onega_Bay,Male,Right,19.3
Onega_Bay,Male,Right,19.5
Onega_Bay,Male,Right,20.7
Onega_Bay,Male,Right,20.8
Onega_Bay,Male,Right,19.9
Onega_Bay,Male,Right,20.0
Onega_Bay,Male,Right,17.6
Onega_Bay,Male,Right,16.9
Onega_Bay,Male,Right,16.3
Onega_Bay,Male,Right,18.0
Onega_Bay,Male,Right,17.2
Onega_Bay,Male,Right,16.1
Onega_Bay,Male,Right,15.6
Onega_Bay,Male,Right,17.8
Onega_Bay,Male,Right,17.3
Onega_Bay,Male,Right,21.9
Onega_Bay,Male,Right,17.8
Onega_Bay,Male,Right,17.8
Onega_Bay,Male,Right,17.5
Onega_Bay,Male,Right,17.5
Onega_Bay,Male,Right,17.0
Onega_Bay,Male,Right,19.0
Onega_Bay,Male,Right,18.4
Onega_Bay,Male,Right,18.6
Onega_Bay,Male,Right,14.8
Onega_Bay,Male,Right,15.1
Onega_Bay,Male,Right,14.8
Onega_Bay,Male,Right,9.6
Onega_Bay,Male,Right,14.5
Onega_Bay,Male,Right,15.6
Onega_Bay,Male,Right,15.4
Onega_Bay,Male,Right,13.6
Onega_Bay,Male,Right,16.2
Onega_Bay,Male,Right,15.3
Onega_Bay,Male,Right,22.3
Onega_Bay,Male,Right,19.5
Onega_Bay,Male,Right,19.3
Onega_Bay,Male,Right,19.5
Onega_Bay,Male,Right,19.2
Onega_Bay,Male,Right,21.0
Onega_Bay,Male,Right,21.8
Onega_Bay,Male,Right,17.2
Onega_Bay,Male,Right,19.3
Onega_Bay,Male,Right,18.1
Onega_Bay,Male,Right,17.8
Onega_Bay,Male,Right,17.3
Onega_Bay,Male,Right,15.8
Onega_Bay,Male,Right,17.7
Onega_Bay,Male,Right,18.8
Onega_Bay,Male,Right,17.4
Onega_Bay,Male,Right,16.3
Onega_Bay,Male,Right,15.9
Onega_Bay,Male,Right,14.1
Onega_Bay,Male,Right,16.3
Onega_Bay,Male,Right,19.3
Onega_Bay,Male,Right,20.5
Onega_Bay,Male,Right,16.8
Onega_Bay,Male,Right,17.2
Onega_Bay,Male,Right,18.8
Onega_Bay,Male,Right,16.8
Onega_Bay,Male,Right,16.4
Onega_Bay,Male,Right,17.0
Onega_Bay,Male,Right,19.9
Onega_Bay,Male,Right,15.9
Onega_Bay,Male,Right,15.4
Onega_Bay,Male,Right,15.8
Onega_Bay,Male,Right,15.8
Onega_Bay,Male,Right,14.9
Onega_Bay,Male,Right,12.7
Onega_Bay,Male,Right,20.4
Onega_Bay,Male,Right,14.7
Onega_Bay,Male,Right,14.2
Onega_Bay,Male,Right,18.4
Onega_Bay,Male,Right,14.2
