"Site";"Lat";"Lon";"Average_Fetch";"Sample";"Position";"Shore";"N_T";"N_E";"Salinity";"Shore_river";"River";"Drainage_Area";"River_Size";"Lat_river";"Lon_river";"Min_dist_river";"Shore_river_Large";"River_Large";"Drainage_Area_Large";"Lat_river_Large";"Lon_river_Large";"Min_dist_river_Large";"Shore_port";"Port";"Port_Status";"Lat_port";"Lon_port";"Min_dist_port";"North_Fetch";"East_Fetch";"South_Fetch";"West_Fetch";"Site_Exposition";"Dist_cut";"Prop_T";"Lat2";"Lon2";"Fetch"
"Anis";67,067413;32,565671;6,105;"Anis5";"Algae";"Karel";53;149;16;"Kand";"Luvenga";"175";"Small";67,100373;32,693133;6,62487354446738;"Kand";"Niva";"12800";67,130271;32,418253;9,46271421476713;"Karel";"Vitino";"Active";67,07657;32,33363;10,1031424966334;1,473;3,647;9,847;9,451;"Sheltered";14,6026660625711;0,262376237623762;67,06741304;32,56567104;2,80796922302163
"Anis";67,067413;32,565671;6,105;"Anis6";"Bottom";"Karel";2;30;16;"Kand";"Luvenga";"175";"Small";67,100373;32,693133;6,62487354446738;"Kand";"Niva";"12800";67,130271;32,418253;9,46271421476713;"Karel";"Vitino";"Active";67,07657;32,33363;10,1031424966334;1,473;3,647;9,847;9,451;"Sheltered";14,6026660625711;0,0625;67,06741305;32,56567105;2,80796922302163
"Bar";67,118095;32,44337;5,715;"Bar1";"Algae";"Kand";50;7;4;"Kand";"Niva";"12800";"Large";67,130271;32,418253;1,73545297719462;"Kand";"Niva";"12800";67,130271;32,418253;1,73545297719462;"Kand";"Kandalaksha";"Active";67,137283;32,407995;2,62483234023276;0,752;4,682;12,186;5,238;"Exposed";6,8714249626712;0,87719298245614;67,118095;32,44337;2,24231583073876
"Bar";67,118095;32,44337;5,715;"Bar2";"Bottom";"Kand";47;13;4;"Kand";"Niva";"12800";"Large";67,130271;32,418253;1,73545297719462;"Kand";"Niva";"12800";67,130271;32,418253;1,73545297719462;"Kand";"Kandalaksha";"Active";67,137283;32,407995;2,62483234023276;0,752;4,682;12,186;5,238;"Exposed";6,8714249626712;0,783333333333333;67,11809501;32,44337001;2,24231583073876
"Bar";67,118095;32,44337;5,715;"Bar3";"Algae";"Kand";24;1;4;"Kand";"Niva";"12800";"Large";67,130271;32,418253;1,73545297719462;"Kand";"Niva";"12800";67,130271;32,418253;1,73545297719462;"Kand";"Kandalaksha";"Active";67,137283;32,407995;2,62483234023276;0,752;4,682;12,186;5,238;"Exposed";6,8714249626712;0,96;67,11809502;32,44337002;2,24231583073876
"Bar";67,118095;32,44337;5,715;"Bar4";"Bottom";"Kand";66;5;4;"Kand";"Niva";"12800";"Large";67,130271;32,418253;1,73545297719462;"Kand";"Niva";"12800";67,130271;32,418253;1,73545297719462;"Kand";"Kandalaksha";"Active";67,137283;32,407995;2,62483234023276;0,752;4,682;12,186;5,238;"Exposed";6,8714249626712;0,929577464788732;67,11809503;32,44337003;2,24231583073876
"Bar";67,118095;32,44337;5,715;"Bar5";"Algae";"Kand";27;10;4;"Kand";"Niva";"12800";"Large";67,130271;32,418253;1,73545297719462;"Kand";"Niva";"12800";67,130271;32,418253;1,73545297719462;"Kand";"Kandalaksha";"Active";67,137283;32,407995;2,62483234023276;0,752;4,682;12,186;5,238;"Exposed";6,8714249626712;0,72972972972973;67,11809504;32,44337004;2,24231583073876
"Bar";67,118095;32,44337;5,715;"Bar6";"Bottom";"Kand";133;26;4;"Kand";"Niva";"12800";"Large";67,130271;32,418253;1,73545297719462;"Kand";"Niva";"12800";67,130271;32,418253;1,73545297719462;"Kand";"Kandalaksha";"Active";67,137283;32,407995;2,62483234023276;0,752;4,682;12,186;5,238;"Exposed";6,8714249626712;0,836477987421384;67,11809505;32,44337005;2,24231583073876
"BBS";66,553319;33,103466;2,283;"BBS1";"Algae";"Karel";32;148;18;"Karel";"Nilma";"167";"Small";66,505766;33,135072;5,46977699398337;"Karel";"Kovda";"26100";66,695493;32,871028;18,8435694292656;"Karel";"Kovda";"Abandoned";66,696754;32,875396;18,8577029701145;0,746;8,025;0,101;0,26;"Sheltered";75,6415385873598;0,177777777777778;66,553319;33,103466;0,239220807564231
"BBS";66,553319;33,103466;2,283;"BBS2";"Bottom";"Karel";42;81;18;"Karel";"Nilma";"167";"Small";66,505766;33,135072;5,46977699398337;"Karel";"Kovda";"26100";66,695493;32,871028;18,8435694292656;"Karel";"Kovda";"Abandoned";66,696754;32,875396;18,8577029701145;0,746;8,025;0,101;0,26;"Sheltered";75,6415385873598;0,341463414634146;66,55331901;33,10346601;0,239220807564231
"BBS";66,553319;33,103466;2,283;"BBS3";"Algae";"Karel";59;215;18;"Karel";"Nilma";"167";"Small";66,505766;33,135072;5,46977699398337;"Karel";"Kovda";"26100";66,695493;32,871028;18,8435694292656;"Karel";"Kovda";"Abandoned";66,696754;32,875396;18,8577029701145;0,746;8,025;0,101;0,26;"Sheltered";75,6415385873598;0,215328467153285;66,55331902;33,10346602;0,239220807564231
"BBS";66,553319;33,103466;2,283;"BBS4";"Bottom";"Karel";46;76;18;"Karel";"Nilma";"167";"Small";66,505766;33,135072;5,46977699398337;"Karel";"Kovda";"26100";66,695493;32,871028;18,8435694292656;"Karel";"Kovda";"Abandoned";66,696754;32,875396;18,8577029701145;0,746;8,025;0,101;0,26;"Sheltered";75,6415385873598;0,377049180327869;66,55331903;33,10346603;0,239220807564231
"BBS";66,553319;33,103466;2,283;"BBS5";"Algae";"Karel";16;99;18;"Karel";"Nilma";"167";"Small";66,505766;33,135072;5,46977699398337;"Karel";"Kovda";"26100";66,695493;32,871028;18,8435694292656;"Karel";"Kovda";"Abandoned";66,696754;32,875396;18,8577029701145;0,746;8,025;0,101;0,26;"Sheltered";75,6415385873598;0,139130434782609;66,55331904;33,10346604;0,239220807564231
"BBS";66,553319;33,103466;2,283;"BBS6";"Bottom";"Karel";51;151;18;"Karel";"Nilma";"167";"Small";66,505766;33,135072;5,46977699398337;"Karel";"Kovda";"26100";66,695493;32,871028;18,8435694292656;"Karel";"Kovda";"Abandoned";66,696754;32,875396;18,8577029701145;0,746;8,025;0,101;0,26;"Sheltered";75,6415385873598;0,252475247524752;66,55331905;33,10346605;0,239220807564231
"Belexp";66,90435;32,5155;10,205;"Belexp1";"Algae";"Karel";58;36;17;"Karel";"Knyazhegubskaya HPﾐ channel";"NA";"Large";66,871784;32,407422;5,9460307485272;"Karel";"Knyazhegubskaya HPﾐ channel";"NA";66,871784;32,407422;5,9460307485272;"Karel";"Vitino";"Active";67,07657;32,33363;20,6241385074082;5,024;30,28;4,701;0,814;"Exposed";29,6800568135664;0,617021276595745;66,90503333;32,51411667;4,83707721925981
"Belexp";66,90435;32,5155;10,205;"Belexp2";"Bottom";"Karel";2;3;17;"Karel";"Knyazhegubskaya HPﾐ channel";"NA";"Large";66,871784;32,407422;5,9460307485272;"Karel";"Knyazhegubskaya HPﾐ channel";"NA";66,871784;32,407422;5,9460307485272;"Karel";"Vitino";"Active";67,07657;32,33363;20,6241385074082;5,024;30,28;4,701;0,814;"Exposed";29,6800568135664;0,4;66,90503334;32,51411668;4,83707721925981
"Belexp";66,90435;32,5155;10,205;"Belexp3";"Algae";"Karel";54;39;17;"Karel";"Knyazhegubskaya HPﾐ channel";"NA";"Large";66,871784;32,407422;5,9460307485272;"Karel";"Knyazhegubskaya HPﾐ channel";"NA";66,871784;32,407422;5,9460307485272;"Karel";"Vitino";"Active";67,07657;32,33363;20,6241385074082;5,024;30,28;4,701;0,814;"Exposed";29,6800568135664;0,580645161290323;66,90503335;32,51411669;4,83707721925981
"Belexp";66,90435;32,5155;10,205;"Belexp4";"Bottom";"Karel";5;5;17;"Karel";"Knyazhegubskaya HPﾐ channel";"NA";"Large";66,871784;32,407422;5,9460307485272;"Karel";"Knyazhegubskaya HPﾐ channel";"NA";66,871784;32,407422;5,9460307485272;"Karel";"Vitino";"Active";67,07657;32,33363;20,6241385074082;5,024;30,28;4,701;0,814;"Exposed";29,6800568135664;0,5;66,90503336;32,5141167;4,83707721925981
"Belexp";66,90435;32,5155;10,205;"Belexp5";"Algae";"Karel";74;50;17;"Karel";"Knyazhegubskaya HPﾐ channel";"NA";"Large";66,871784;32,407422;5,9460307485272;"Karel";"Knyazhegubskaya HPﾐ channel";"NA";66,871784;32,407422;5,9460307485272;"Karel";"Vitino";"Active";67,07657;32,33363;20,6241385074082;5,024;30,28;4,701;0,814;"Exposed";29,6800568135664;0,596774193548387;66,90503337;32,51411671;4,83707721925981
"Belexp";66,90435;32,5155;10,205;"Belexp6";"Bottom";"Karel";7;3;17;"Karel";"Knyazhegubskaya HPﾐ channel";"NA";"Large";66,871784;32,407422;5,9460307485272;"Karel";"Knyazhegubskaya HPﾐ channel";"NA";66,871784;32,407422;5,9460307485272;"Karel";"Vitino";"Active";67,07657;32,33363;20,6241385074082;5,024;30,28;4,701;0,814;"Exposed";29,6800568135664;0,7;66,90503338;32,51411672;4,83707721925981
"Ber";67,103529;32,518556;4,663;"Ber1";"Algae";"Kand";83;49;17;"Kand";"Niva";"12800";"Large";67,130271;32,418253;5,25843993966124;"Kand";"Niva";"12800";67,130271;32,418253;5,25843993966124;"Kand";"Kandalaksha";"Active";67,137283;32,407995;6,07728626755927;0,001;2,957;13,31;2,382;"Exposed";10,3689831240835;0,628787878787879;67,103529;32,518556;4,20588658931616
"Ber";67,103529;32,518556;4,663;"Ber2";"Bottom";"Kand";0;13;17;"Kand";"Niva";"12800";"Large";67,130271;32,418253;5,25843993966124;"Kand";"Niva";"12800";67,130271;32,418253;5,25843993966124;"Kand";"Kandalaksha";"Active";67,137283;32,407995;6,07728626755927;0,001;2,957;13,31;2,382;"Exposed";10,3689831240835;0;67,10352901;32,51855601;4,20588658931616
"Ber";67,103529;32,518556;4,663;"Ber3";"Algae";"Kand";255;50;17;"Kand";"Niva";"12800";"Large";67,130271;32,418253;5,25843993966124;"Kand";"Niva";"12800";67,130271;32,418253;5,25843993966124;"Kand";"Kandalaksha";"Active";67,137283;32,407995;6,07728626755927;0,001;2,957;13,31;2,382;"Exposed";10,3689831240835;0,836065573770492;67,10352902;32,51855602;4,20588658931616
"Ber";67,103529;32,518556;4,663;"Ber4";"Bottom";"Kand";12;35;17;"Kand";"Niva";"12800";"Large";67,130271;32,418253;5,25843993966124;"Kand";"Niva";"12800";67,130271;32,418253;5,25843993966124;"Kand";"Kandalaksha";"Active";67,137283;32,407995;6,07728626755927;0,001;2,957;13,31;2,382;"Exposed";10,3689831240835;0,25531914893617;67,10352903;32,51855603;4,20588658931616
"Ber";67,103529;32,518556;4,663;"Ber5";"Algae";"Kand";86;85;17;"Kand";"Niva";"12800";"Large";67,130271;32,418253;5,25843993966124;"Kand";"Niva";"12800";67,130271;32,418253;5,25843993966124;"Kand";"Kandalaksha";"Active";67,137283;32,407995;6,07728626755927;0,001;2,957;13,31;2,382;"Exposed";10,3689831240835;0,502923976608187;67,10352904;32,51855604;4,20588658931616
"Ber";67,103529;32,518556;4,663;"Ber6";"Bottom";"Kand";13;38;17;"Kand";"Niva";"12800";"Large";67,130271;32,418253;5,25843993966124;"Kand";"Niva";"12800";67,130271;32,418253;5,25843993966124;"Kand";"Kandalaksha";"Active";67,137283;32,407995;6,07728626755927;0,001;2,957;13,31;2,382;"Exposed";10,3689831240835;0,254901960784314;67,10352905;32,51855605;4,20588658931616
"Bersakol";66,99566667;32,82041667;8,948;"Bersakol1";"Algae";"Kand";31;107;21;"Kand";"Kolvitsa";"1260";"Large";67,0832;32,991099;12,2290806198079;"Kand";"Kolvitsa";"1260";67,0832;32,991099;12,2290806198079;"Karel";"Vitino";"Active";67,07657;32,33363;22,9543446132868;3,648;0,084;19,931;12,127;"Exposed";28,1115429353273;0,22463768115942;66,99566667;32,82041667;8,68425796388665
"Bersakol";66,99566667;32,82041667;8,948;"Bersakol2";"Bottom";"Kand";1;105;21;"Kand";"Kolvitsa";"1260";"Large";67,0832;32,991099;12,2290806198079;"Kand";"Kolvitsa";"1260";67,0832;32,991099;12,2290806198079;"Karel";"Vitino";"Active";67,07657;32,33363;22,9543446132868;3,648;0,084;19,931;12,127;"Exposed";28,1115429353273;0,00943396226415094;66,99566668;32,82041668;8,68425796388665
"Bersakol";66,99566667;32,82041667;8,948;"Bersakol3";"Algae";"Kand";9;28;21;"Kand";"Kolvitsa";"1260";"Large";67,0832;32,991099;12,2290806198079;"Kand";"Kolvitsa";"1260";67,0832;32,991099;12,2290806198079;"Karel";"Vitino";"Active";67,07657;32,33363;22,9543446132868;3,648;0,084;19,931;12,127;"Exposed";28,1115429353273;0,243243243243243;66,99566669;32,82041669;8,68425796388665
"Bersakol";66,99566667;32,82041667;8,948;"Bersakol4";"Bottom";"Kand";3;181;21;"Kand";"Kolvitsa";"1260";"Large";67,0832;32,991099;12,2290806198079;"Kand";"Kolvitsa";"1260";67,0832;32,991099;12,2290806198079;"Karel";"Vitino";"Active";67,07657;32,33363;22,9543446132868;3,648;0,084;19,931;12,127;"Exposed";28,1115429353273;0,016304347826087;66,9956667;32,8204167;8,68425796388665
"Bersakol";66,99566667;32,82041667;8,948;"Bersakol5";"Algae";"Kand";13;72;21;"Kand";"Kolvitsa";"1260";"Large";67,0832;32,991099;12,2290806198079;"Kand";"Kolvitsa";"1260";67,0832;32,991099;12,2290806198079;"Karel";"Vitino";"Active";67,07657;32,33363;22,9543446132868;3,648;0,084;19,931;12,127;"Exposed";28,1115429353273;0,152941176470588;66,99566671;32,82041671;8,68425796388665
"Bersakol";66,99566667;32,82041667;8,948;"Bersakol6";"Bottom";"Kand";5;176;21;"Kand";"Kolvitsa";"1260";"Large";67,0832;32,991099;12,2290806198079;"Kand";"Kolvitsa";"1260";67,0832;32,991099;12,2290806198079;"Karel";"Vitino";"Active";67,07657;32,33363;22,9543446132868;3,648;0,084;19,931;12,127;"Exposed";28,1115429353273;0,0276243093922652;66,99566672;32,82041672;8,68425796388665
"BPK";66,67518333;34,36533333;0,474;"BPK_1";"Algae";"Kand";57;36;30;"Kand";"Umba";"6250";"Large";66,664609;34,297657;3,20378165377437;"Kand";"Umba";"6250";66,664609;34,297657;3,20378165377437;"Kand";"Umba";"Abandoned";66,67797;34,357655;0,458565516934744;0,784;0,18;0,489;0,444;"Sheltered";103,859687766537;0,576086956521739;66,67518333;34,36533333;0,535246260266644
"BPK";66,67518333;34,36533333;0,474;"BPK_2";"Bottom";"Kand";25;14;30;"Kand";"Umba";"6250";"Large";66,664609;34,297657;3,20378165377437;"Kand";"Umba";"6250";66,664609;34,297657;3,20378165377437;"Kand";"Umba";"Abandoned";66,67797;34,357655;0,458565516934744;0,784;0,18;0,489;0,444;"Sheltered";103,859687766537;0,684210526315789;66,67518334;34,36533334;0,535246260266644
"BPK";66,67518333;34,36533333;0,474;"BPK_3";"Algae";"Kand";10;0;30;"Kand";"Umba";"6250";"Large";66,664609;34,297657;3,20378165377437;"Kand";"Umba";"6250";66,664609;34,297657;3,20378165377437;"Kand";"Umba";"Abandoned";66,67797;34,357655;0,458565516934744;0,784;0,18;0,489;0,444;"Sheltered";103,859687766537;1;66,67518335;34,36533335;0,535246260266644
"BPK";66,67518333;34,36533333;0,474;"BPK_4";"Bottom";"Kand";19;9;30;"Kand";"Umba";"6250";"Large";66,664609;34,297657;3,20378165377437;"Kand";"Umba";"6250";66,664609;34,297657;3,20378165377437;"Kand";"Umba";"Abandoned";66,67797;34,357655;0,458565516934744;0,784;0,18;0,489;0,444;"Sheltered";103,859687766537;0,666666666666667;66,67518336;34,36533336;0,535246260266644
"BPK";66,67518333;34,36533333;0,474;"BPK_5";"Algae";"Kand";46;11;30;"Kand";"Umba";"6250";"Large";66,664609;34,297657;3,20378165377437;"Kand";"Umba";"6250";66,664609;34,297657;3,20378165377437;"Kand";"Umba";"Abandoned";66,67797;34,357655;0,458565516934744;0,784;0,18;0,489;0,444;"Sheltered";103,859687766537;0,781818181818182;66,67518337;34,36533337;0,535246260266644
"BPK";66,67518333;34,36533333;0,474;"BPK_6";"Bottom";"Kand";29;60;30;"Kand";"Umba";"6250";"Large";66,664609;34,297657;3,20378165377437;"Kand";"Umba";"6250";66,664609;34,297657;3,20378165377437;"Kand";"Umba";"Abandoned";66,67797;34,357655;0,458565516934744;0,784;0,18;0,489;0,444;"Sheltered";103,859687766537;0,244186046511628;66,67518338;34,36533338;0,535246260266644
"Bri";66,68527;34,33655;0,231;"Bri1";"Algae";"Kand";31;24;27;"Kand";"Umba";"6250";"Large";66,664609;34,297657;2,90082070983896;"Kand";"Umba";"6250";66,664609;34,297657;2,90082070983896;"Kand";"Umba";"Abandoned";66,67797;34,357655;1,26308018411005;0,177;0,012;0,506;0,229;"Sheltered";102,166037376693;0,471698113207547;66,68566667;34,33655;0,148565809345974
"Bri";66,68527;34,33655;0,231;"Bri2";"Bottom";"Kand";12;23;27;"Kand";"Umba";"6250";"Large";66,664609;34,297657;2,90082070983896;"Kand";"Umba";"6250";66,664609;34,297657;2,90082070983896;"Kand";"Umba";"Abandoned";66,67797;34,357655;1,26308018411005;0,177;0,012;0,506;0,229;"Sheltered";102,166037376693;0,314285714285714;66,68566668;34,33655001;0,148565809345974
"Bri";66,68527;34,33655;0,231;"Bri3";"Algae";"Kand";73;17;27;"Kand";"Umba";"6250";"Large";66,664609;34,297657;2,90082070983896;"Kand";"Umba";"6250";66,664609;34,297657;2,90082070983896;"Kand";"Umba";"Abandoned";66,67797;34,357655;1,26308018411005;0,177;0,012;0,506;0,229;"Sheltered";102,166037376693;0,8;66,68566669;34,33655002;0,148565809345974
"Bri";66,68527;34,33655;0,231;"Bri4";"Bottom";"Kand";14;18;27;"Kand";"Umba";"6250";"Large";66,664609;34,297657;2,90082070983896;"Kand";"Umba";"6250";66,664609;34,297657;2,90082070983896;"Kand";"Umba";"Abandoned";66,67797;34,357655;1,26308018411005;0,177;0,012;0,506;0,229;"Sheltered";102,166037376693;0,40625;66,6856667;34,33655003;0,148565809345974
"Bri";66,68527;34,33655;0,231;"Bri5";"Algae";"Kand";29;18;27;"Kand";"Umba";"6250";"Large";66,664609;34,297657;2,90082070983896;"Kand";"Umba";"6250";66,664609;34,297657;2,90082070983896;"Kand";"Umba";"Abandoned";66,67797;34,357655;1,26308018411005;0,177;0,012;0,506;0,229;"Sheltered";102,166037376693;0,666666666666667;66,68566671;34,33655004;0,148565809345974
"Bri";66,68527;34,33655;0,231;"Bri6";"Bottom";"Kand";20;27;27;"Kand";"Umba";"6250";"Large";66,664609;34,297657;2,90082070983896;"Kand";"Umba";"6250";66,664609;34,297657;2,90082070983896;"Kand";"Umba";"Abandoned";66,67797;34,357655;1,26308018411005;0,177;0,012;0,506;0,229;"Sheltered";102,166037376693;0,425531914893617;66,68566672;34,33655005;0,148565809345974
"Cher1";66,51925;32,97918333;0,92;"Cher1_1";"Algae";"Karel";32;28;18;"Karel";"Chernaya";"141";"Small";66,518961;32,949662;1,30833333385091;"Karel";"Kovda";"26100";66,695493;32,871028;20,1706156073919;"Karel";"Kovda";"Abandoned";66,696754;32,875396;20,2623730536022;0,567;2,29;0,595;0,226;"Sheltered";76,9006615435353;0,533333333333333;66,51925;32,97918333;0,702069262919438
"Cher1";66,51925;32,97918333;0,92;"Cher1_2";"Bottom";"Karel";32;24;18;"Karel";"Chernaya";"141";"Small";66,518961;32,949662;1,30833333385091;"Karel";"Kovda";"26100";66,695493;32,871028;20,1706156073919;"Karel";"Kovda";"Abandoned";66,696754;32,875396;20,2623730536022;0,567;2,29;0,595;0,226;"Sheltered";76,9006615435353;0,571428571428571;66,51925001;32,97918334;0,702069262919438
"Cher1";66,51925;32,97918333;0,92;"Cher1_3";"Algae";"Karel";8;34;18;"Karel";"Chernaya";"141";"Small";66,518961;32,949662;1,30833333385091;"Karel";"Kovda";"26100";66,695493;32,871028;20,1706156073919;"Karel";"Kovda";"Abandoned";66,696754;32,875396;20,2623730536022;0,567;2,29;0,595;0,226;"Sheltered";76,9006615435353;0,19047619047619;66,51925002;32,97918335;0,702069262919438
"Cher1";66,51925;32,97918333;0,92;"Cher1_4";"Bottom";"Karel";2;26;18;"Karel";"Chernaya";"141";"Small";66,518961;32,949662;1,30833333385091;"Karel";"Kovda";"26100";66,695493;32,871028;20,1706156073919;"Karel";"Kovda";"Abandoned";66,696754;32,875396;20,2623730536022;0,567;2,29;0,595;0,226;"Sheltered";76,9006615435353;0,0714285714285714;66,51925003;32,97918336;0,702069262919438
"Cher1";66,51925;32,97918333;0,92;"Cher1_5";"Algae";"Karel";8;29;18;"Karel";"Chernaya";"141";"Small";66,518961;32,949662;1,30833333385091;"Karel";"Kovda";"26100";66,695493;32,871028;20,1706156073919;"Karel";"Kovda";"Abandoned";66,696754;32,875396;20,2623730536022;0,567;2,29;0,595;0,226;"Sheltered";76,9006615435353;0,216216216216216;66,51925004;32,97918337;0,702069262919438
"Cher1";66,51925;32,97918333;0,92;"Cher1_6";"Bottom";"Karel";1;51;18;"Karel";"Chernaya";"141";"Small";66,518961;32,949662;1,30833333385091;"Karel";"Kovda";"26100";66,695493;32,871028;20,1706156073919;"Karel";"Kovda";"Abandoned";66,696754;32,875396;20,2623730536022;0,567;2,29;0,595;0,226;"Sheltered";76,9006615435353;0,0192307692307692;66,51925005;32,97918338;0,702069262919438
"Cher2";66,518;32,972;0,703;"Cher2_1";"Algae";"Karel";15;26;13;"Karel";"Chernaya";"141";"Small";66,518961;32,949662;0,995458996571554;"Karel";"Kovda";"26100";66,695493;32,871028;20,2334876872032;"Karel";"Kovda";"Abandoned";66,696754;32,875396;20,3289300040116;0,05;2,162;0,184;0,417;"Sheltered";76,9154092910763;0,365853658536585;66,518;32,972;0,440801201102481
"Cher2";66,518;32,972;0,703;"Cher2_2";"Bottom";"Karel";7;80;13;"Karel";"Chernaya";"141";"Small";66,518961;32,949662;0,995458996571554;"Karel";"Kovda";"26100";66,695493;32,871028;20,2334876872032;"Karel";"Kovda";"Abandoned";66,696754;32,875396;20,3289300040116;0,05;2,162;0,184;0,417;"Sheltered";76,9154092910763;0,0804597701149425;66,51800001;32,97200001;0,440801201102481
"Cher2";66,518;32,972;0,703;"Cher2_3";"Algae";"Karel";25;53;13;"Karel";"Chernaya";"141";"Small";66,518961;32,949662;0,995458996571554;"Karel";"Kovda";"26100";66,695493;32,871028;20,2334876872032;"Karel";"Kovda";"Abandoned";66,696754;32,875396;20,3289300040116;0,05;2,162;0,184;0,417;"Sheltered";76,9154092910763;0,320512820512821;66,51800002;32,97200002;0,440801201102481
"Cher2";66,518;32,972;0,703;"Cher2_4";"Bottom";"Karel";4;24;13;"Karel";"Chernaya";"141";"Small";66,518961;32,949662;0,995458996571554;"Karel";"Kovda";"26100";66,695493;32,871028;20,2334876872032;"Karel";"Kovda";"Abandoned";66,696754;32,875396;20,3289300040116;0,05;2,162;0,184;0,417;"Sheltered";76,9154092910763;0,142857142857143;66,51800003;32,97200003;0,440801201102481
