Date_Time;Object;Temperature
06.03.2023 6:44;Air;"4,8"
06.03.2023 6:49;Air;"4,9"
06.03.2023 6:54;Air;"4,9"
06.03.2023 6:59;Air;5
06.03.2023 7:04;Air;5
06.03.2023 7:09;Air;5
06.03.2023 7:14;Air;"5,1"
06.03.2023 7:19;Air;"5,1"
06.03.2023 7:24;Air;"5,2"
06.03.2023 7:29;Air;"5,3"
06.03.2023 7:34;Air;"5,3"
06.03.2023 7:39;Air;"5,3"
06.03.2023 7:44;Air;"5,4"
06.03.2023 7:49;Air;"5,5"
06.03.2023 7:54;Air;"5,5"
06.03.2023 7:59;Air;"5,5"
06.03.2023 8:04;Air;"5,5"
06.03.2023 8:09;Air;"5,5"
06.03.2023 8:14;Air;"5,6"
06.03.2023 8:19;Air;"5,6"
06.03.2023 8:24;Air;"5,6"
06.03.2023 8:29;Air;"5,6"
06.03.2023 8:34;Air;"5,6"
06.03.2023 8:39;Air;"5,6"
06.03.2023 8:44;Air;"5,7"
06.03.2023 8:49;Air;"5,7"
06.03.2023 8:54;Air;"5,8"
06.03.2023 8:59;Air;"5,8"
06.03.2023 9:04;Air;"5,9"
06.03.2023 9:09;Air;6
06.03.2023 9:14;Air;6
06.03.2023 9:19;Air;"6,1"
06.03.2023 9:24;Air;"6,2"
06.03.2023 9:29;Air;"6,3"
06.03.2023 9:34;Air;"6,3"
06.03.2023 9:39;Air;"6,4"
06.03.2023 9:44;Air;"6,5"
06.03.2023 9:49;Air;"6,6"
06.03.2023 9:54;Air;"6,7"
06.03.2023 9:59;Air;"6,8"
06.03.2023 10:04;Air;"6,8"
06.03.2023 10:09;Air;"6,8"
06.03.2023 10:14;Air;"6,8"
06.03.2023 10:19;Air;"6,9"
06.03.2023 10:24;Air;7
06.03.2023 10:29;Air;"7,1"
06.03.2023 10:34;Air;"7,2"
06.03.2023 10:39;Air;"7,2"
06.03.2023 10:44;Air;"7,2"
06.03.2023 10:49;Air;"7,2"
06.03.2023 10:54;Air;"7,2"
06.03.2023 10:59;Air;"7,3"
06.03.2023 11:04;Air;"7,4"
06.03.2023 11:09;Air;"7,5"
06.03.2023 11:14;Air;"7,6"
