"Station";"Asterocystis ornata";"Amphibalanus improvisus";"Bangia atropurpurea";"Bathyporeia pilosa";"Bryozoa";"Bylgides sarsi";"Bythinia sp.";"Ceraclea nigronervosa";"Ceramium tenuicorne";"Ceratopogonidae";"Chara sp.";"Chelicorophium curvispinum";"Chironomidae";"Chironomus muratensis";"Chironomus sp.";"Cladophora glomerata";"Cladophora rupestris";"Cladophora vagabunda";"Coccotylus truncatus";"Coleoptera";"Colletopterum sp.";"Cordylophora caspia";"Corophium sp.";"Cricotopus sp.";"Corophium volutator";"Cyanophthalma obscura";"Dreissena polymorpha";"Ectocarpus sp.";"Electra crustulenta";"Enchytraeidae";"Ephemeroptera";"Erpobdella sp.";"Fontinalis antipyretica";"Fucus vesiculosus";"Gammaridae";"Gammarus sp.";"Gammarus oceanicus";"Gammarus tigrinus";"Gammarus zaddachi";"Halicryptus spinulosus";"Heteroptera";"Hirudinea";"Helobdella stagnalis";"Hydra viridis";"Hydracarina";"Hydrobia sp.";"Jaera sp.";"Laonome sp.";"Lekanesphaera sp. juv.";"Macoma balthica";"Limnodrilus hoffmeisteri";"Limoniidae";"Lumbriculidae";"Lymnaea sp.";"Lyngbya aestuarii";"Lyngbya majuscula";"Manayunkia aestuarina";"Marenzelleria sp.";"Marenzelleria arctia";"Marenzelleria neglecta";"Megaloptera";"Monoporeia affinis";"Mytilopsis leucophaeata";"Nematoda";"Nemertini";"Oligochaeta";"Ostracoda";"Pontoporeia femorata";"Potamogeton crispus";"Potamogeton pectinatus";"Potamogeton perfoliatus";"Pisidiidae";"Piscicola geometra";"Pygospio elegans";"Pylaiella littoralis";"Planorbidae";"Plecoptera";"Potamopyrgus antipodarum";"Procladius gr. ferrugineus";"Prostoma sp.";"Rangia cuneata";"Rhizoclonium hieroglyphicum";"Rhizoclonium sp.";"Rhizoclonium riparium";"Saduria entomon";"Sphacelaria sp.";"Sphacelaria arctica";"Sphacelaria cirrosa";"Sphaeriidae sp.";"Spongia";"Stictochironomus crassiforceps";"Stigeoclonium tenue";"Stylaria lacustris";"Tenellia adspersa";"Theodoxus fluviatilis";"Theodoxus pallasi";"Trichoptera";"Turbellaria";"Tubificade juv.";"Ulva intestinalis";"Ulva prolifera";"Unio sp.";"Urospora sp.";"Valvata sp.";"Viviparus viviparus";"Xenochironomus xenolabis";"Zanichelia sp.";"sampling_station_name";"depth";"mud";"clay";"fine_sand";"medium_sand";"coarse_sand";"gravel";"stone_small";"stone_large"
"19-GFKop-19A";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,24;0;0;0;0;0;218,8;0;0;4,16;0;0;0;0;0;0;0;0;0;0;0;0,44;0;0;587,2;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;"19-GFKop-19A";3;0;80;5;5;5;0;5;0
"19-GFKop-20";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3,84713375796178;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;182,292993630573;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;0;0;0,0127388535031847;0;0;0;0;2466,11464968153;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1761,65605095541;0;0;0;0;0;0;0;0;0;0;0;0;0,210191082802548;15,031847133758;0;0;0;0;0;0;0;0;0;0;0;0;"19-GFKop-20";2;0;10;5;5;5;40;5;0
"19-GFKop-21";0;0;0;0;0;0;0;0;0;0;0;0;0,21656050955414;0;0;0;0;0;0;0;0;8,22292993630573;0;0;0,0363636363636364;0,136942675159236;8,65856012352828;0;0;0;0;0;0;0;0;0;0;16,2111561474619;0;0;0;0;0;0;0;0;0,324975873383517;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;67,5657209033005;0;0;0,0573248407643312;0;0;0;0;0;0;0;0;0;0;0;12,8620343563019;0;0;4,72250530785563;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8,47172360548157;0;0;0;0;0;0;0;0;0;0;0;"19-GFKop-21";4,5;0;20;0;0;10;50;5;0
"19-GFKop-24";0;0,0951167728237792;0;0;0;0;0;0;0;0;0;0,0421567175233299;0,248435787290772;0;0;0;0;0;0;0;0;0;0;0;0;0,0208333333333333;0;0;0;0;0;0;0;0;0;0;0;6,04185843201153;0;0;0;0;0;0;0;0;0;0,0101910828025478;0;0;0;0;0;0;0;0;0,208823384189997;0,01;0;0;0;0;198,537334701322;0;0;0,196857749469214;0;0;0;0;0;0;0;0;0;0;0;0,510196078431373;0;0;8,16723448378018;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"19-GFKop-24";2,2;0;20;0;0;10;50;10;0
"19-GFKop-27";0;30,3061224489796;0;0;0;0;0;0;0;0;0;0,204081632653061;0,204081632653061;0;0;0;0;0;0;0;0;0;0;0;0;0;27,3469387755102;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"19-GFKop-27";12,8;0;0;30;30;20;20;0;0
"19-GFKop-28";0;0;0;0;0;0;0;0;0;0;0;0,0870488322717622;0,216985138004246;0;0;0;0;0;0;0;0;32,3715498938429;0;0;0;0,0823779193205945;1,39235668789809;0;0;0;0;0;0;0;0;0;0;3,12781316348195;0;0;0;0;0;0;0;0;0,14692144373673;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;22,9783439490446;0;0;0,157112526539278;0;0;0;0;0;0;0;0;0;0;0;3,9932059447983;0;0;5,55031847133758;0;0;0;0;0;0;0;0;0;0;0;0;0,227176220806794;0;0;0,0367303609341826;0;0;0;0;0;0;0;0;0;0;"19-GFKop-28";5,5;0;10;0;0;50;10;30;0
"19-GFKopBa-1(2)";0;192;0;0;0;0;0;0;0;0;0;0;1,072;0;0;0,525;0;0;0;0;0;59,808;0;0;0;0,416;162,768;0;0;0;0;0;0;0;0;0;0;3,36;0;0;0;0;0;0;0;0;0,624;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0128;0;0,42;0;0;0;0;0;0;0;"19-GFKopBa-1(2)";1;0;0;0;0;0;0;0;100
"19-GFKopBe-1";0;0;0;0;0;0;0;0;0;0;0;0;1,27024567788899;0;0;0;0,636942675159236;0;198,726114649682;0;0;0;0;0;0;0,127388535031847;0;0;0;0;0;0;0;0;0;0;0;0,0714285714285714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0875037913254474;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7,14285714285714;0;0;0;0;0;0;"19-GFKopBe-1";0,5;0;0;10;10;10;60;0;10
"19-GFKur-3";0;544,232574850299;0;0;0;0;0;0;0;0;0;0;0,0241520958083832;0;0;9,38922155688623;0;0;0;0;0;5,329;0;0;0;0,211580838323353;44,1616766467066;0;0;0;0;0;0;0;0;0;0;0;0,0598802395209581;0;0;0;0;0;0;0;0,269461077844311;0;0;0,0179640718562874;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,00598802395209581;0;0;0;0;0;0;0;0;0;0;0;0,029940119760479;0;0;0;0,586826347305389;0;0;0;1,17365;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,587;0;0;0;0;"19-GFKur-3";9;0;0;20;20;0;50;10;0
"19-GFKur-7";0;308,832116788321;0;0;0;0;0;0;0;0;0;0;0,072992700729927;0;0;2,28;0;0;0;0;0;11,5328467153285;0;0;4,45255474452555;0;10,0729927007299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0072992700729927;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,0145985401459854;0;0,0437956204379562;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;29,43;0;0;0;0,981;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"19-GFKur-7";7;0;0;90;0;0;0;5;5
